Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Dataset_Name,Organ,Compartment,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
P13608,Aggrecan core protein ,PGCA,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.1346367001533484,1.341172893842063,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P02459,Collagen alpha-1(II) chain ,CO2A1,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,5.14067856470744,0.4309885402520497,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P07589,Fibronectin ,FINC,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,0.661134439210097,1.2988164822260535,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P12111,Collagen alpha-3(VI) chain ,CO6A3,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.8604340056578312,1.287050247192382,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P21809,Biglycan ,PGS1,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,10.757944186528526,13.178713003794364,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
O46390,Biglycan ,PGS1,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,,,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q29116,Tenascin ,TENA,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,6.546017448107404,0.040427621454000466,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P35445,Cartilage oligomeric matrix protein ,COMP,,ECM-affiliated Proteins,Matrisome-associated,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.6479744811852761,12.315953890482573,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P98160,Basement membrane-specific heparan sulfate proteoglycan core protein ,PGBM,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.027110929290453,0.8340768019358307,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P81282,Versican core protein ,CSPG2,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.4897248148918152,3.59537108739217,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P21793,Decorin ,PGS2,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.2150885512431453,11.420684814453125,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P55252,Hyaluronan and proteoglycan link protein 1 ,HPLN1,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,0.9565451219677928,7.921436309814453,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P12110,Collagen alpha-2(VI) chain ,CO6A2,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.96020007133484,2.69639039039612,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P12109,Collagen alpha-1(VI) chain ,CO6A1,COL6A1,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,0.700662938257059,2.2049773931503296,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,1.0,100.0
Q32S24,Collagen alpha-2(XI) chain ,COBA2,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,2.25288498401642,1.0659525593121864,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P24821,Tenascin ,TENA,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,7.1511520942052265,0.7418035169442486,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P02465,Collagen alpha-2(I) chain ,CO1A2,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,4.578642004479957,0.554807921250661,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q99715,Collagen alpha-1(XII) chain ,COCA1,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,2.6262589494387303,2.9057539006074293,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q3SWW8,Thrombospondin-4 ,TSP4,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,2.2280623912811284,0.6151879827181507,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q28178,Thrombospondin-1 ,TSP1,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,0.7734153568744659,0.6348139941692353,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P11047,Laminin subunit gamma-1 ,LAMC1,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.9371935625871013,2.1583316326141335,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P97927,Laminin subunit alpha-4 ,LAMA4,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.323297808567683,1.6094913085301716,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q29011,Aggrecan core protein (Fragments) ,PGCA,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.453429030875366,9.377799034118661,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q80X19,Collagen alpha-1(XIV) chain ,COEA1,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,0.44888706629474967,0.5223855674266816,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
O43854,EGF-like repeat and discoidin I-like domain-containing protein 3 ,EDIL3,EDIL3,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,,,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,1.0,100.0
P12107,Collagen alpha-1(XI) chain ,COBA1,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,2.340147584676743,1.9736011425654103,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
P49746,Thrombospondin-3 ,TSP3,,ECM Glycoproteins,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.6737112601598099,3.54272492726644,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q92954,Proteoglycan 4 ,PRG4,,Proteoglycans,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,0.23962065329154333,9.906963626543675,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
Q5R9N3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 ",PLOD1,,Collagens,Core matrisome,Caldeira_2017,Intervertebral_disc,Nucleus_pulposus,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,Bos taurus,1.735825012127559,6.323326110839846,iTRAQ 8-plex LC-MS/MS,Caldeira_2017,3.0,70.0
