Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Abundance_Young_transformed,Abundance_Old_transformed,Zscore_Young,Zscore_Old,Zscore_Delta,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",PDCD6,Kidney_Glomerular,Glomerular,Homo sapiens,414.808600472393,255.391475003135,8.69977578859282,8.002204483029475,-1.3047769085034278,-1.696308284373766,-0.39153137587033826,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R216,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",HDGFRP3,Kidney_Glomerular,Glomerular,Homo sapiens,2514.71437999517,2268.56443233033,11.296752420728538,11.14819973124762,-0.5118142498880283,-0.6682171394462927,-0.15640288955826442,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",HDLBP,Kidney_Glomerular,Glomerular,Homo sapiens,4709.128701469894,6285.8349165392165,12.20155076582405,12.618118165129005,-0.23554249127473914,-0.18785718769651114,0.047685303578228005,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R4M0,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,RPS9,Kidney_Glomerular,Glomerular,Homo sapiens,618.0703396111084,451.3523701491603,9.273959529493485,8.82130322041297,-1.1294552440401286,-1.428632050850462,-0.2991768068103333,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R571,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1,EHD1,Kidney_Glomerular,Glomerular,Homo sapiens,7561.781541710833,7496.043857345484,12.884701230534297,12.87210612652905,-0.026948851259778445,-0.10485554483596796,-0.07790669357618951,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,SERPINA1,Kidney_Glomerular,Glomerular,Homo sapiens,21467.44299590413,10523.296242020862,14.38992994272835,13.36143614328364,0.43265873499102175,0.05505437793252378,-0.377604357058498,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,SERPINA1,ECM Regulators,Matrisome-associated,exact_gene,100
A0A024RAC6,"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=1 SV=1",TCEB3,Kidney_Glomerular,Glomerular,Homo sapiens,19572.67263136317,37324.59607056957,14.256626855490808,15.187877679190933,0.3919558772334641,0.6519238013232793,0.2599679240898152,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B715,Meiotic recombination protein REC8 homolog (Fragment) OS=Homo sapiens GN=REC8 PE=1 SV=1,REC8,Kidney_Glomerular,Glomerular,Homo sapiens,14703.918034680284,14104.975810627468,13.844011122204222,13.784018850397308,0.26596750105604805,0.19315170641040713,-0.07281579464564092,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7A0,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18,Kidney_Glomerular,Glomerular,Homo sapiens,1258.892602495437,5187.49561750002,10.29908504342622,12.3411005805119,-0.8164427036561693,-0.27838476427036274,0.5380579393858066,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7B8,Protein IGHV3OR16-12 (Fragment) OS=Homo sapiens GN=IGHV3OR16-12 PE=1 SV=1,IGHV3OR16-12,Kidney_Glomerular,Glomerular,Homo sapiens,972.1082185126352,2348.90354450135,9.926456444554857,11.19838582497344,-0.9302213802837557,-0.6518166446943572,0.2784047355893985,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7C0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,CAPNS1,Kidney_Glomerular,Glomerular,Homo sapiens,1159.0218030816368,1326.03272834146,10.179936206309888,10.37398823670679,-0.8528236927962222,-0.921224508827831,-0.06840081603160886,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7D9,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15,Kidney_Glomerular,Glomerular,Homo sapiens,28987.751599863568,38430.48627691321,14.823205584647047,15.230001150976678,0.5649554220992905,0.6656894827435087,0.10073406064421819,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WSY9,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2",TXNRD1,Kidney_Glomerular,Glomerular,Homo sapiens,47498.740735416104,46021.4585672383,15.535632018450924,15.490050435428259,0.782488206963982,0.7506719272468252,-0.03181627971715684,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WSZ2,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=1,ACTN3,Kidney_Glomerular,Glomerular,Homo sapiens,47393.76626932367,56880.72118788567,15.532440132888564,15.795677499775023,0.7815135943971204,0.8505488989882966,0.06903530459117613,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WT12,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=1,GPX4,Kidney_Glomerular,Glomerular,Homo sapiens,33726.664292938665,34760.66690529964,15.041644791896854,15.08520964404784,0.6316538022014626,0.6183725434637831,-0.013281258737679491,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
