Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young
Schuler_2021_Soleus,Skeletal muscle,Soleus,16.642140874,16.642140874,15.023362682,15.023362682,Col11a2,Col11a2,100,exact_gene,Collagens,Core matrisome,LFQ,3,3,Q64739,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.8659428135066358,1.9406787534895753,0.07473593998293948
Schuler_2021_Soleus,Skeletal muscle,Soleus,15.308943494,15.308943494,13.839816414,13.839816414,Angptl7,Angptl7,100,exact_gene,Secreted Factors,Matrisome-associated,LFQ,3,3,Q8R1Q3,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.7280968888274235,0.47185989593929506,-1.2562369928881285
Schuler_2021_Soleus,Skeletal muscle,Soleus,15.627978694,15.627978694,14.301731706,14.301731706,Hp,Hp,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,Q61646,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.560133339735402,0.8233494240557735,-0.7367839156796285
Schuler_2021_Soleus,Skeletal muscle,Soleus,13.906284178,13.906284178,15.222812044,15.222812044,Col14a1,Col14a1,100,exact_gene,Collagens,Core matrisome,LFQ,3,3,Q80X19,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-1.3725164283744398,-1.0734870159031038,0.2990294124713359
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.560505376,14.560505376,15.901482762,15.901482762,Sparc,Sparc,100,exact_gene,ECM Glycoproteins,Core matrisome,LFQ,3,3,P07214,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-1.4149519278903686,-0.35271419782905683,1.0622377300613117
Schuler_2021_Soleus,Skeletal muscle,Soleus,16.297057006,16.297057006,15.210157262,15.210157262,Ppt1,Ppt1,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,O88531,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.2756924115094672,1.5604907180504481,0.28479830654098093
Schuler_2021_Soleus,Skeletal muscle,Soleus,15.8104791,15.8104791,14.749024018,14.749024018,Col12a1,Col12a1,100,exact_gene,Collagens,Core matrisome,LFQ,3,3,Q60847,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.2581902621170016,1.0244149540850807,-0.23377530803192087
Schuler_2021_Soleus,Skeletal muscle,Soleus,16.276469294,16.276469294,15.290657706,15.290657706,Fth1,Fth1,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,P09528,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.1624825230122342,1.5378086905629575,0.3753261675507233
Schuler_2021_Soleus,Skeletal muscle,Soleus,15.046023198,15.046023198,14.003213624,14.003213624,Ctsf,Ctsf,100,exact_gene,ECM Regulators,Matrisome-associated,LFQ,3,3,Q9R013,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.2546800981363206,0.1821936435217422,-1.0724864546145785
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.397070514,14.397070514,13.30846681,13.30846681,Col2a1,Col2a1,100,exact_gene,Collagens,Core matrisome,LFQ,3,3,P28481,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.320998649814823,-0.5327747131645497,-1.8537733629793727
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.462874728,14.462874728,15.613026584,15.613026584,Tfrc,Tfrc,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,Q62351,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-1.19812690915834,-0.46027646805888195,0.7378504410994581
Schuler_2021_Soleus,Skeletal muscle,Soleus,16.245915412,16.245915412,15.325550106,15.325550106,Aspn,Aspn,100,exact_gene,Proteoglycans,Core matrisome,LFQ,3,3,Q99MQ4,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.0895817826772802,1.5041466696752697,0.4145648869979895
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.65852153,14.65852153,13.711709724,13.711709724,Myoc,Myoc,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,O70624,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.1555738950634573,-0.24472720543056292,-1.4003011004940202
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.285640076,14.285640076,13.342922322,13.342922322,Comp,Comp,100,exact_gene,ECM Glycoproteins,Core matrisome,LFQ,3,3,Q9R0G6,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.159485374364726,-0.6555405774655179,-1.8150259518302438
Schuler_2021_Soleus,Skeletal muscle,Soleus,13.774593982,13.774593982,14.733422404,14.733422404,Epx,Epx,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,P49290,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-0.9672532784169061,-1.2185735920853127,-0.25132031366840657
Schuler_2021_Soleus,Skeletal muscle,Soleus,13.52080919,13.52080919,14.452041464,14.452041464,Pcolce,Pcolce,100,exact_gene,ECM Glycoproteins,Core matrisome,LFQ,3,3,Q61398,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-0.9304239696057678,-1.498175017831497,-0.5677510482257292
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.00196674,14.00196674,14.923587778,14.923587778,Cnp,Cnp,0,Unmatched,Non-ECM,Non-ECM,LFQ,3,3,P16330,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-0.9306037283922757,-0.9680710036061666,-0.03746727521389089
