Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome Category,Matrisome Division,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
A0A087WR50,Fibronectin;Anastellin,Fn1,Fn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,35.288985000000004,35.13815,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A0A087WSN6,,Fn1,Fn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.317155,27.5397,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A0A0R4J039,Histidine-rich glycoprotein,Hrg,Hrg,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.5958775,28.716105,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A0A0R4J0X5,Alpha-1-antitrypsin 1-3,Serpina1c,Serpina1c,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,33.6207475,34.602795,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A0A1B0GR98,RIKEN cDNA 1810010H24 gene,1810010H24Rik,1810010H24Rik,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.3022675,28.198765,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A1L353,Transforming growth factor-beta-induced protein ig-h3,Tgfbi,Tgfbi,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,32.546205,32.7408075,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A2ASQ1,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Agrn,Agrn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.790443333333332,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Svep1,Svep1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.1310625,28.172787500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A2AX52,Collagen alpha-4(VI) chain,Col6a4,Col6a4,Collagens,Core matrisome,Lung,Lung,Mus musculus,27.652074999999996,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A2BE45,Sushi-repeat-containing protein SRPX,Srpx,Srpx,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.223945,25.8127975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
