Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young
Dipali_2023,Ovary,Ovary,14351.441015625,13.808907983469226,36812.7166015625,15.167916597160275,Serpine2,Serpine2,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A087WQ70,Glia-derived nexin (Fragment);Glia-derived nexin,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,4680555.65,22.15824837817448,4736457.15,22.175376902024354,Fn1,Fn1,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free DIA (directDIA),5,5,A0A087WR50,Fibronectin,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,879133.35,19.745722489398524,547019.884375,19.06123375090584,S100a13,S100a13,1,Gene_Symbol_or_UniProt,Secreted Factors,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A0A0MQ90,Protein S100-A13,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,153837.3046875,17.231045865653925,90837.18125,16.470995318313967,Matn2,Matn2,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free DIA (directDIA),5,5,A0A0A0MQM7,Matrilin-2;Matrilin-2;Isoform 2 of Matrilin-2,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,1650513.375,20.654483398867953,2637642.05,21.330817361461374,S100a4,S100a4,1,Gene_Symbol_or_UniProt,Secreted Factors,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A0G2JGD2,Protein S100-A4 (Fragment);Protein S100-A4,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,44860.28984375,15.453151321301988,32882.74140625,15.00504295984442,Kng1,Kng1,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A0R4J038,Kininogen-1;Kininogen-1;Kininogen-1;Isoform LMW of Kininogen-1;Isoform 3 of Kininogen-1,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,539063.1875,19.040094866060063,276082.98125,18.07474243218179,Hrg,Hrg,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A0R4J039,Histidine-rich glycoprotein,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,247024.128125,17.914292438620105,262713.3875,18.003130194465808,Itih4,Itih4,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A0R4J1N1,"Inter alpha-trypsin inhibitor, heavy chain 4;Inter alpha-trypsin inhibitor, heavy chain 4;Isoform 2 of Inter alpha-trypsin inhibitor, heavy chain 4;Inter alpha-trypsin inhibitor, heavy chain 4;Inter alpha-trypsin inhibitor, heavy chain 4",Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,108609.8953125,16.728796025718328,98347.3609375,16.5855987191558,Adam9,Adam9,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A0A140LHU0,Disintegrin and metalloproteinase domain-containing protein 9,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,6900493.5,22.718268111583566,5472290.8,22.38371346704991,Col6a5,Col6a5,1,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free DIA (directDIA),5,5,A0A140T8W1,Collagen alpha-5(VI) chain,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,37740.13125,15.203811819800867,62670.48203125,15.935498469235695,P3h1,P3h1,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A2A7Q5,Prolyl 3-hydroxylase 1;Prolyl 3-hydroxylase 1;Prolyl 3-hydroxylase 1;Isoform 3 of Prolyl 3-hydroxylase 1,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,708613.7,19.43463983254192,577708.35625,19.13998183709693,Col15a1,Col15a1,1,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free DIA (directDIA),5,5,A2AJY2,Collagen alpha-1(XV) chain,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,24549.3541015625,14.583397446992434,9914.2990234375,13.275295056999138,Cst3,Cst3,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free DIA (directDIA),5,5,A2APX3,Cystatin (Fragment);Cystatin-C,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,149055.040625,17.185485638506105,192013.24375,17.550846295974434,Lamc3,Lamc3,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free DIA (directDIA),5,5,A2ATM9,Laminin subunit gamma-3 (Fragment);Laminin subunit gamma-3,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,3194164.2,21.607007047520028,2915119.45,21.475123569865517,Col6a4,Col6a4,1,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free DIA (directDIA),5,5,A2AX52,Collagen alpha-4(VI) chain,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,76174.80703125,16.21702631977908,58476.1,15.835559475068898,Clec10a,Clec10a,1,Gene_Symbol_or_UniProt,ECM-affiliated Proteins,Matrisome-associated,Label-free DIA (directDIA),5,5,A2CF65,C-type lectin domain family 10 member A (Fragment);C-type lectin domain family 10 member A;C-type lectin domain family 10 member A;C-type lectin domain family 10 member A,Mus musculus,Dipali_2023,Ovary,Ovary,,,
Dipali_2023,Ovary,Ovary,579158.3625,19.143598360742544,676204.275,19.36709961149301,Lgals9,Lgals9,1,Gene_Symbol_or_UniProt,ECM-affiliated Proteins,Matrisome-associated,Label-free DIA (directDIA),5,5,B1AQR8,Galectin;Galectin;Galectin-9;Isoform 2 of Galectin-9;Isoform 3 of Galectin-9,Mus musculus,Dipali_2023,Ovary,Ovary,,,
