Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,Abundance_Young_log2,Abundance_Old_log2,Zscore_Young,Zscore_Old,Zscore_Delta
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",PDCD6,Kidney_Glomerular,Glomerular,Homo sapiens,414.808600472393,255.391475003135,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,8.69977578859282,8.002204483029475,-1.3050269376153336,-1.6966333410567105,-0.39160640344137687
A0A024R216,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",HDGFRP3,Kidney_Glomerular,Glomerular,Homo sapiens,2514.71437999517,2268.56443233033,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.296752420728538,11.14819973124762,-0.5119123267788179,-0.6683451871890502,-0.1564328604102323
A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",HDLBP,Kidney_Glomerular,Glomerular,Homo sapiens,4709.128701469894,6285.8349165392165,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.20155076582405,12.618118165129005,-0.23558762732790325,-0.1878931860081756,0.047694441319727665
A0A024R4M0,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,RPS9,Kidney_Glomerular,Glomerular,Homo sapiens,618.0703396111084,451.3523701491603,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.273959529493485,8.82130322041297,-1.1296716769718922,-1.428905813821424,-0.2992341368495317
A0A024R571,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1,EHD1,Kidney_Glomerular,Glomerular,Homo sapiens,7561.781541710833,7496.043857345484,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.884701230534297,12.87210612652905,-0.026954015358946246,-0.10487563787914099,-0.07792162252019474
A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,SERPINA1,Kidney_Glomerular,Glomerular,Homo sapiens,21467.44299590413,10523.296242020862,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,SERPINA1,ECM Regulators,Matrisome-associated,exact_gene,100,14.38992994272835,13.36143614328364,0.4327416436312369,0.05506492777988182,-0.3776767158513551
A0A024RAC6,"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=1 SV=1",TCEB3,Kidney_Glomerular,Glomerular,Homo sapiens,19572.67263136317,37324.59607056957,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.256626855490808,15.187877679190933,0.39203098614997867,0.6520487268396744,0.26001774068969574
A0A075B715,Meiotic recombination protein REC8 homolog (Fragment) OS=Homo sapiens GN=REC8 PE=1 SV=1,REC8,Kidney_Glomerular,Glomerular,Homo sapiens,14703.918034680284,14104.975810627468,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.844011122204222,13.784018850397308,0.26601846733055173,0.1931887192892389,-0.07282974804131284
A0A075B7A0,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18,Kidney_Glomerular,Glomerular,Homo sapiens,1258.892602495437,5187.49561750002,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.29908504342622,12.3411005805119,-0.8165991552631734,-0.27843811001470037,0.5381610452484731
A0A075B7B8,Protein IGHV3OR16-12 (Fragment) OS=Homo sapiens GN=IGHV3OR16-12 PE=1 SV=1,IGHV3OR16-12,Kidney_Glomerular,Glomerular,Homo sapiens,972.1082185126352,2348.90354450135,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.926456444554857,11.19838582497344,-0.9303996348375206,-0.6519415496767617,0.278458085160759
A0A075B7C0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,CAPNS1,Kidney_Glomerular,Glomerular,Homo sapiens,1159.0218030816368,1326.03272834146,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.179936206309888,10.37398823670679,-0.8529871159447562,-0.9214010393475752,-0.06841392340281904
A0A075B7D9,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15,Kidney_Glomerular,Glomerular,Homo sapiens,28987.751599863568,38430.48627691321,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.823205584647047,15.230001150976678,0.5650636822175784,0.6658170461216546,0.10075336390407619
A0A087WSY9,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2",TXNRD1,Kidney_Glomerular,Glomerular,Homo sapiens,47498.740735416104,46021.4585672383,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.535632018450924,15.490050435428259,0.7826381520083716,0.750815775466455,-0.031822376541916664
A0A087WSZ2,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=1,ACTN3,Kidney_Glomerular,Glomerular,Homo sapiens,47393.76626932367,56880.72118788567,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.532440132888564,15.795677499775023,0.781663352680453,0.850711886227311,0.06904853354685803
A0A087WT12,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=1,GPX4,Kidney_Glomerular,Glomerular,Homo sapiens,33726.664292938665,34760.66690529964,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.041644791896854,15.08520964404784,0.6317748434600617,0.6184910396885872,-0.013283803771474534
A0A087WT59,Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,TTR,Kidney_Glomerular,Glomerular,Homo sapiens,57224.40830983797,37874.26258130534,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.804368231161375,15.208968270073886,0.8647099789644139,0.658942317914007,-0.2057676610504069
A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,COL1A2,Kidney_Glomerular,Glomerular,Homo sapiens,5897188.0502754375,8683829.352821417,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,COL1A2,Collagens,Core matrisome,exact_gene,100,22.491596013699887,23.04990011108401,2.906984058250775,3.2217997576895736,0.3148156994387987
A0A087WTI1,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,RAB1B,Kidney_Glomerular,Glomerular,Homo sapiens,9374.467194218052,5368.936762381613,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.194674868703304,12.390689383462043,0.06771168873859565,-0.2622297007149757,-0.3299413894535713
A0A087WTZ4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1,1,Kidney_Glomerular,Glomerular,Homo sapiens,3873.415612265053,2045.967758850182,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.919763006180085,10.999272663763387,-0.32164538640166196,-0.7170229273639676,-0.3953775409623056
A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=1,ERGIC2,Kidney_Glomerular,Glomerular,Homo sapiens,3014.2310967366266,1261.5879247272048,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.558052863682665,10.3021681431412,-0.4321113780292178,-0.9448758845384545,-0.5127645065092368
A0A087WU08,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1,HP,Kidney_Glomerular,Glomerular,Homo sapiens,2191.7626144954497,2720.86981915275,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.09853392092008,11.410382352329135,-0.572448099950907,-0.5826491634710258,-0.010201063520118847
A0A087WU70,Carbohydrate sulfotransferase 13 OS=Homo sapiens GN=CHST13 PE=1 SV=1,CHST13,Kidney_Glomerular,Glomerular,Homo sapiens,3351.1555391223733,6841.482918591671,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.710873375917277,12.74030421274792,-0.3854401143801819,-0.14795591483600723,0.23748419954417466
A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,FGA,Kidney_Glomerular,Glomerular,Homo sapiens,10928.73399122053,13389.331638065769,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGA,ECM Glycoproteins,Core matrisome,exact_gene,100,13.415970668554047,13.708904071852292,0.13529525110359022,0.16863698577915798,0.03334173467556775
A0A087WUA5,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,EHD4,Kidney_Glomerular,Glomerular,Homo sapiens,5271.064953511251,8706.26941474805,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.364152429577723,13.088004647638686,-0.18592920773584556,-0.03430786069628421,0.15162134703956134
A0A087WUB9,Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1,CTNNBL1,Kidney_Glomerular,Glomerular,Homo sapiens,515661.5003652617,424403.23068250035,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,18.97606760916503,18.69507951229703,1.8333444621353538,1.7983995041488816,-0.034944957986472236
A0A087WUC6,Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=1,SPCS2,Kidney_Glomerular,Glomerular,Homo sapiens,1357.7889105756267,1618.19260194575,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.408105633836088,10.661058888181108,-0.7833043531205061,-0.8275702077843979,-0.04426585466389188
A0A087WUD3,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1,OSTC,Kidney_Glomerular,Glomerular,Homo sapiens,894.7081067305144,1578.8812964279675,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.806884853328775,10.62560045098342,-0.9669167042900813,-0.83916001897235,0.1277566853177312
A0A087WUF0,Docosahexaenoic acid omega-hydroxylase CYP4F3 OS=Homo sapiens GN=CYP4F3 PE=1 SV=1,CYP4F3,Kidney_Glomerular,Glomerular,Homo sapiens,494.83959630152464,228.05593377015495,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,8.953729675210761,7.839556126609656,-1.2274696213641787,-1.749795970036291,-0.5223263486721124
A0A087WUF6,Fibroblast growth factor OS=Homo sapiens GN=FGF2 PE=1 SV=1,FGF2,Kidney_Glomerular,Glomerular,Homo sapiens,6755.423979781157,9685.149335194534,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGF2,Secreted Factors,Matrisome-associated,exact_gene,100,12.722044147782945,13.241707530373024,-0.07662935986909257,0.01593088445774871,0.09256024432684128
A0A087WUK2,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1,HNRNPDL,Kidney_Glomerular,Glomerular,Homo sapiens,16657.248010482832,11558.562327610663,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.023949056393382,13.496799154573235,0.3209713702112368,0.09930917165144572,-0.22166219855979108
A0A087WUL0,Triokinase/FMN cyclase OS=Homo sapiens GN=TKFC PE=1 SV=1,TKFC,Kidney_Glomerular,Glomerular,Homo sapiens,3068.0189857601395,4953.592602044253,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.583561855385767,12.27455071943529,-0.42432095212507726,-0.30019034687054974,0.12413060525452752
A0A087WUM3,BTB/POZ domain-containing protein KCTD14 OS=Homo sapiens GN=KCTD14 PE=1 SV=1,KCTD14,Kidney_Glomerular,Glomerular,Homo sapiens,2864.258429270407,5272.09155293926,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.484449552025628,12.364433330085467,-0.45458977123414307,-0.27081165539839175,0.18377811583575132
A0A087WUQ6,Glutathione peroxidase OS=Homo sapiens GN=GPX1 PE=1 SV=1,GPX1,Kidney_Glomerular,Glomerular,Homo sapiens,5821.222963720983,11031.670130662373,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.507354373606669,13.429494374293254,-0.14219544721442479,0.0773101847490436,0.2195056319634684
A0A087WUS0,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,RPS24,Kidney_Glomerular,Glomerular,Homo sapiens,2017.5398689074616,1627.3715860460277,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.979096366950928,10.669214237445148,-0.6089242345311422,-0.824904581050341,-0.21598034651919884
A0A087WUT0,Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=1,MYEF2,Kidney_Glomerular,Glomerular,Homo sapiens,3479.5208351147835,2131.1047509019268,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.765087495912276,11.058062604510726,-0.3688831649838692,-0.697807068830389,-0.3289239038465198
A0A087WUY4,Cytochrome P450 4A22 OS=Homo sapiens GN=CYP4A22 PE=1 SV=1,CYP4A22,Kidney_Glomerular,Glomerular,Homo sapiens,4347.917209988437,2425.210319226733,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.086440529247927,11.24448890245504,-0.2707422025965653,-0.6368724714707404,-0.36613026887417516
A0A087WUZ3,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1",SPTBN1,Kidney_Glomerular,Glomerular,Homo sapiens,12390.4278240394,13089.364431228663,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.597054813676689,13.676217641523797,0.19059820589740953,0.15795322231255754,-0.03264498358485199
A0A087WUZ8,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=1",MRPS34,Kidney_Glomerular,Glomerular,Homo sapiens,10744.154431894533,4498.195045746973,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.391398597217643,12.135451195573818,0.12779095993890907,-0.34565589316353795,-0.47344685310244705
A0A087WV24,Aromatic-L-amino-acid decarboxylase OS=Homo sapiens GN=DDC PE=1 SV=1,DDC,Kidney_Glomerular,Glomerular,Homo sapiens,24078.8728422806,13632.976458267867,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.555540153279308,13.734918776611705,0.4833188710372681,0.17714005416288195,-0.3061788168743862
A0A087WV68,TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=1 SV=1,TARDBP,Kidney_Glomerular,Glomerular,Homo sapiens,39913.31251705147,32138.04318392955,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.28461854190765,14.972039358520526,0.7059788346699567,0.5815006265455702,-0.12447820812438648
A0A087WV90,Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=1,DMD,Kidney_Glomerular,Glomerular,Homo sapiens,276864.68563076935,210477.45705649068,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,18.07882673349378,17.6833130522023,1.5593278078732797,1.467697330970047,-0.09163047690323278
A0A087WVA8,Testis-expressed sequence 2 protein OS=Homo sapiens GN=TEX2 PE=1 SV=1,TEX2,Kidney_Glomerular,Glomerular,Homo sapiens,26649.505017894164,29547.132839706133,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.701875251367229,14.850779348260069,0.5280094943318943,0.5418660364554161,0.013856542123521831
A0A087WVD1,Leukocyte receptor cluster member 9 OS=Homo sapiens GN=LENG9 PE=1 SV=1,LENG9,Kidney_Glomerular,Glomerular,Homo sapiens,7806.242364045152,5534.232350907713,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.930597341319443,12.434428162548167,-0.0129373794008727,-0.24793340817468323,-0.23499602877381054
A0A087WVQ6,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,CLTC,Kidney_Glomerular,Glomerular,Homo sapiens,324645.471565662,278589.40370111336,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,18.308510003893126,18.08778603829394,1.6294728971144659,1.599901847296981,-0.029571049817484818
A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,KCP,Kidney_Glomerular,Glomerular,Homo sapiens,5755.344276571047,12462.172447268938,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,KCP,ECM Glycoproteins,Core matrisome,exact_gene,100,12.49093716430953,13.605383726513379,-0.1472092499578147,0.13480071572865984,0.2820099656864745
A0A087WVZ9,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=1",POLR2E,Kidney_Glomerular,Glomerular,Homo sapiens,55899.18082667814,32827.9985052915,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.770565329475337,15.002683118693124,0.8543865995068872,0.5915167305410519,-0.2628698689658353
A0A087WW63,Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens GN=CACNA1A PE=1 SV=1,CACNA1A,Kidney_Glomerular,Glomerular,Homo sapiens,387848.9587668153,475538.1976410667,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,18.565139122706025,18.859204738575567,1.707847227163491,1.8520448572461743,0.14419763008268327
A0A087WW83,Probable G-protein-coupled receptor 179 OS=Homo sapiens GN=GPR179 PE=1 SV=1,GPR179,Kidney_Glomerular,Glomerular,Homo sapiens,349356.02508413297,579494.4878418917,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,18.414342625590212,19.144437902375255,1.6617940961319801,1.9452750945110069,0.28348099837902674
A0A087WW88,Charged multivesicular body protein 2b (Fragment) OS=Homo sapiens GN=CHMP2B PE=1 SV=1,CHMP2B,Kidney_Glomerular,Glomerular,Homo sapiens,3391.8054021927,3564.7660469905836,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.728262969841357,11.799996334254601,-0.3801293461402848,-0.4553014052625286,-0.07517205912224378
A0A087WWA3,Kinesin-like protein OS=Homo sapiens GN=KIF1B PE=1 SV=1,KIF1B,Kidney_Glomerular,Glomerular,Homo sapiens,1736.7140094457127,3838.6467096554534,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.762974949607909,11.906757857672075,-0.674927544568045,-0.4204057359568512,0.25452180861119383
A0A087WWE2,DNA-directed RNA polymerase OS=Homo sapiens GN=POLR2A PE=1 SV=1,POLR2A,Kidney_Glomerular,Glomerular,Homo sapiens,85426.26990000274,73669.18606236503,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,16.382409056766118,16.168793265867734,1.0412431902278896,0.9726670997679856,-0.06857609045990398
A0A087WWI6,DDB1- and CUL4-associated factor 7 (Fragment) OS=Homo sapiens GN=DCAF7 PE=1 SV=4,DCAF7,Kidney_Glomerular,Glomerular,Homo sapiens,11799.164029715968,19095.5175396319,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.526519293646144,14.221021950460846,0.16905671383047094,0.3360259061073994,0.16696919227692847
A0A087WWM1,Mucin-1 OS=Homo sapiens GN=MUC1 PE=1 SV=1,MUC1,Kidney_Glomerular,Glomerular,Homo sapiens,2055.46078783966,4956.51159396822,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,MUC1,ECM-affiliated Proteins,Matrisome-associated,exact_gene,100,11.00594784775805,12.275400431103279,-0.6007238135157209,-0.2999126133161551,0.3008112001995658
A0A087WWS1,THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1,THOC1,Kidney_Glomerular,Glomerular,Homo sapiens,13749.102744112868,10066.824224639053,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.747154778395352,13.29746431319363,0.2364386164853612,0.03415533641923069,-0.20228328006613053
A0A087WWT4,Tetraspanin OS=Homo sapiens GN=TSPAN10 PE=1 SV=1,TSPAN10,Kidney_Glomerular,Glomerular,Homo sapiens,782.8537114876548,753.0473392522636,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.61444062293677,9.558511288813245,-1.0256890201462951,-1.187944762115761,-0.1622557419694659
A0A087WWY8,Cilia- and flagella-associated protein 99 OS=Homo sapiens GN=CFAP99 PE=4 SV=1,CFAP99,Kidney_Glomerular,Glomerular,Homo sapiens,1293.5928190005714,2263.77360425579,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.33828269116023,11.145151124628068,-0.8046282246265355,-0.6693416432626772,0.1352865813638583
A0A087WX08,Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1,ADD3,Kidney_Glomerular,Glomerular,Homo sapiens,281767.2100521367,288174.1002512795,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,18.104149326016056,18.136586159373813,1.5670613076149233,1.6158524710120554,0.048791163397132076
A0A087WX99,Cadherin-4 OS=Homo sapiens GN=CDH4 PE=1 SV=1,CDH4,Kidney_Glomerular,Glomerular,Homo sapiens,1578.7000288735746,1833.0579501538652,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.625434913986483,10.840823508697985,-0.7169321627369106,-0.7688130212099054,-0.05188085847299473
