Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,Abundance_Young_log2,Abundance_Old_log2,Zscore_Young,Zscore_Old,Zscore_Delta
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",PDCD6,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,730.9782900751511,458.77863184058305,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.515657049670123,8.84479560830152,-1.1830857469629008,-1.610172751502582,-0.4270870045396813
A0A024R216,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",HDGFRP3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,13786.031738391432,11422.19905217379,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.751024266622847,13.479679111721133,0.1578523698495099,-0.024844947062817285,-0.18269731691232718
A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",HDLBP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,8983.40546259456,11746.849992002732,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.133207322115068,13.52010912870624,-0.037751517054804146,-0.01101615718855757,0.026735359866246575
A0A024R4M0,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,RPS9,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,911.2369423451206,1191.4724613994504,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.833264785161063,10.219740234111997,-1.082529573932715,-1.1398830574349388,-0.0573534835022238
A0A024R571,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1,EHD1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,15631.629245738848,6620.815938486846,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.932272824603753,12.693011194472387,0.21523655581597412,-0.2939189208002431,-0.5091554766162172
A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,SERPINA1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,32890.233963063285,11244.756686309209,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,SERPINA1,ECM Regulators,Matrisome-associated,exact_gene,100,15.005415513566414,13.457093117664538,0.5549988155437021,-0.032570320169263874,-0.587569135712966
A0A024RAC6,"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=1 SV=1",TCEB3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,42722.50583799257,43330.34060181053,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.382742417201314,15.403123251508063,0.6744623712792257,0.6330549705599631,-0.04140740071926263
A0A075B715,Meiotic recombination protein REC8 homolog (Fragment) OS=Homo sapiens GN=REC8 PE=1 SV=1,REC8,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,21565.75068449627,22895.023412165832,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.39652121138008,14.482809431944972,0.3622198811355069,0.31826839914191524,-0.04395148199359167
A0A075B7A0,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,29.339529613858733,1354.483828334892,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,4.923126813003159,10.404592185797705,-2.6371034345699385,-1.0766558072794394,1.560447627290499
A0A075B7B8,Protein IGHV3OR16-12 (Fragment) OS=Homo sapiens GN=IGHV3OR16-12 PE=1 SV=1,IGHV3OR16-12,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,767.7992993786247,2595.289210751142,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.586463211131647,11.342235384361398,-1.16066816757831,-0.7559418492629885,0.40472631831532146
A0A075B7C0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,CAPNS1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1041.752768839153,965.490848552788,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.026181427706979,9.916612261776661,-1.0214512149366288,-1.2435657503207687,-0.22211453538413983
A0A075B7D9,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,3550.0308111374766,7218.763765209787,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.79402216287014,12.817735916741833,-0.46174413292839145,-0.25125774712265303,0.21048638580573842
A0A087WSY9,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2",TXNRD1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,24179.419478532232,10752.148819368684,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.56155165202519,13.392471562238253,0.4144693312917076,-0.05467364779505005,-0.46914297908675767
A0A087WSZ2,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=1,ACTN3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,17561.744676957693,52390.986787967035,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,14.10023070405879,15.677058551898066,0.26841284751478106,0.7267525247715028,0.4583396772567217
A0A087WT12,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=1,GPX4,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,5301.91935734292,13100.944637487764,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.372571093927833,13.677493337163094,-0.27857269244713145,0.0428159534701698,0.32138864591730126
A0A087WT59,Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,TTR,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,51224.833604373365,30266.279285557433,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,15.644583936133168,14.885471377224148,0.7573626855410909,0.4559959552217835,-0.3013667303193074
A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,COL1A2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,9746025.348132012,7616448.234505519,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,COL1A2,Collagens,Core matrisome,exact_gene,100,23.216382692148677,22.86068714372627,3.154631456979316,3.183859836096884,0.02922837911756826
A0A087WTI1,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,RAB1B,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,12194.92357427963,23814.157224397848,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.574111394393707,14.539592452757383,0.10184088334197153,0.3376906136695469,0.23584973032757536
A0A087WTZ4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1,1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6350.479985993149,17050.247826227536,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,12.632877084369117,14.057589700431588,-0.19615853406667755,0.1728251182337287,0.36898365230040625
A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=1,ERGIC2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1978.5213090101936,1513.4567436273974,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,10.950935882334651,10.564584656690744,-0.7286694008972534,-1.0219315596428764,-0.293262158745623
A0A087WU08,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1,HP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,771.1382520739425,1470.6322126556936,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,9.59271537628887,10.523201445679247,-1.1586887013024296,-1.0360863825214066,0.12260231878102301
A0A087WU70,Carbohydrate sulfotransferase 13 OS=Homo sapiens GN=CHST13 PE=1 SV=1,CHST13,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2774.279415370573,3366.496259815267,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,11.43841731409822,11.71746062798917,-0.5743303791298865,-0.6275988151366919,-0.05326843600680542
A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,FGA,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,17800.525209369367,13746.652388538769,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGA,ECM Glycoproteins,Core matrisome,exact_gene,100,14.119713234096556,13.746897658072076,0.27458111246121003,0.06655519084346942,-0.2080259216177406
A0A087WUA5,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,EHD4,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,11438.527592197424,12994.054586869544,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0,13.481739855226387,13.665675073539678,0.072595599182831,0.038773603342366667,-0.03382199584046433
