Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Zscore_Young,Zscore_Old,Zscore_Delta,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,N_Profiles_Young,N_Profiles_Old
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_OAF,OAF,Homo sapiens,,25.658483333333336,,-0.027378660730356875,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,0.0,6.0
A0A0B4J1U7,,IGHV6-1,Intervertebral_disc_OAF,OAF,Homo sapiens,,27.73,,0.7673448789002048,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV6-1,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_OAF,OAF,Homo sapiens,,24.02,,-0.7010101193680061,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1X5;A0A0C4DH42;P01767;P01772,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,Intervertebral_disc_OAF,OAF,Homo sapiens,29.1571,28.305,1.0109677326915205,0.9777888915599325,-0.03317884113158798,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-74;IGHV3-66,,,Level 4: Unmatched,0,1.0,2.0
A0A0B4J1X8,,IGHV3-43,Intervertebral_disc_OAF,OAF,Homo sapiens,21.7634,,-2.049120750699604,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-43,,,Level 4: Unmatched,0,1.0,0.0
A0A0B4J1Y9,,IGHV3-72,Intervertebral_disc_OAF,OAF,Homo sapiens,,26.840985714285715,,0.4335380203044159,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-72,,,Level 4: Unmatched,0,0.0,7.0
A0A0C4DH31,,IGHV1-18,Intervertebral_disc_OAF,OAF,Homo sapiens,25.7204,25.01775,-0.30539812468342614,-0.28574059786534917,0.019657526818076976,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-18,,,Level 4: Unmatched,0,1.0,2.0
A0A0C4DH38,,IGHV5-51,Intervertebral_disc_OAF,OAF,Homo sapiens,28.3971,25.875642857142857,0.7332709184493424,0.058779228616666256,-0.6744916898326762,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-51,,,Level 4: Unmatched,0,1.0,7.0
A0A0C4DH68,,IGKV2-24,Intervertebral_disc_OAF,OAF,Homo sapiens,25.2368,26.133233333333333,-0.5041080101703046,0.16007993206614238,0.664187942236447,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-24,,,Level 4: Unmatched,0,1.0,3.0
A0A0C4DH72;P01599,Ig kappa chain V-I region Gal,IGKV1-6,Intervertebral_disc_OAF,OAF,Homo sapiens,26.4701,23.0698,-0.004348434183324356,-1.1121811588520794,-1.107832724668755,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-6,,,Level 4: Unmatched,0,1.0,2.0
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,Intervertebral_disc_OAF,OAF,Homo sapiens,24.3112,,-0.894862818411837,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-64D,,,Level 4: Unmatched,0,1.0,0.0
A0A0J9YXX1,Immunoglobulin heavy variable 5-10-1,IGHV5-10-1,Intervertebral_disc_OAF,OAF,Homo sapiens,,25.33615,,-0.15656696278260715,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-10-1,,,Level 4: Unmatched,0,0.0,2.0
A0FGR8,Extended synaptotagmin-2,ESYT2,Intervertebral_disc_OAF,OAF,Homo sapiens,,25.1753,,-0.22162679212246786,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ESYT2,,,Level 4: Unmatched,0,0.0,1.0
A0MZ66,Shootin-1,KIAA1598,Intervertebral_disc_OAF,OAF,Homo sapiens,25.8062,,-0.27051911666910167,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KIAA1598,,,Level 4: Unmatched,0,1.0,0.0
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,Intervertebral_disc_OAF,OAF,Homo sapiens,29.728908333333337,28.909881818181816,1.2153258387615316,1.1947586856830745,-0.020567153078457023,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SSC5D,,,Level 4: Unmatched,0,12.0,11.0
A1X283,SH3 and PX domain-containing protein 2B,SH3PXD2B,Intervertebral_disc_OAF,OAF,Homo sapiens,28.4736,,0.7615463083765217,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SH3PXD2B,,,Level 4: Unmatched,0,1.0,0.0
A4UGR9,Xin actin-binding repeat-containing protein 2,XIRP2,Intervertebral_disc_OAF,OAF,Homo sapiens,,27.26285,,0.5932483103082276,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,XIRP2,,,Level 4: Unmatched,0,0.0,2.0
A6NDG6,Phosphoglycolate phosphatase,PGP,Intervertebral_disc_OAF,OAF,Homo sapiens,,24.382800000000003,,-0.5481252091292118,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PGP,,,Level 4: Unmatched,0,0.0,2.0
A6NHL2,Tubulin alpha chain-like 3,TUBAL3,Intervertebral_disc_OAF,OAF,Homo sapiens,21.0873,,-2.37715616544369,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,TUBAL3,,,Level 4: Unmatched,0,1.0,0.0
A6NK02,Putative tripartite motif-containing protein 75,TRIM75P,Intervertebral_disc_OAF,OAF,Homo sapiens,,26.9141,,0.46139041298462974,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,TRIM75P,,,Level 4: Unmatched,0,0.0,1.0
B1AKI9,Isthmin-1,ISM1,Intervertebral_disc_OAF,OAF,Homo sapiens,,24.5275,,-0.48775696401968066,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ISM1,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,0.0,1.0
B7ZAP0;Q9Y3P9,"Rab GTPase-activating protein 1-like, isoform 10;Rab GTPase-activating protein 1",RABGAP1L;RABGAP1,Intervertebral_disc_OAF,OAF,Homo sapiens,,21.5069,,-1.8251491993330056,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,RABGAP1L;RABGAP1,,,Level 4: Unmatched,0,0.0,1.0
CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14,Intervertebral_disc_OAF,OAF,Homo sapiens,27.809171428571425,25.983175,0.5134769962013235,0.10118515619783951,-0.41229184000348396,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT14,,,Level 4: Unmatched,0,7.0,8.0
CON__P02538;P02538,"Keratin, type II cytoskeletal 6A",KRT6A,Intervertebral_disc_OAF,OAF,Homo sapiens,28.9311,,0.9291273944847159,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6A,,,Level 4: Unmatched,0,2.0,0.0
CON__P02768-1;P02768,Serum albumin,ALB,Intervertebral_disc_OAF,OAF,Homo sapiens,36.870808333333336,38.53463333333333,3.4889258778656593,4.157544681214357,0.6686188033486973,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ALB,,,Level 4: Unmatched,0,12.0,12.0
CON__P04259,"Keratin, type II cytoskeletal 6B",KRT6B,Intervertebral_disc_OAF,OAF,Homo sapiens,28.9492,,0.9357045898716335,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6B,,,Level 4: Unmatched,0,1.0,0.0
CON__P04264,"Keratin, type II cytoskeletal 1",KRT1,Intervertebral_disc_OAF,OAF,Homo sapiens,27.4369,,0.37197379571731337,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT1,,,Level 4: Unmatched,0,1.0,0.0
CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8,Intervertebral_disc_OAF,OAF,Homo sapiens,25.189370000000004,24.178281818181816,-0.5237937270421686,-0.6340389126893948,-0.11024518564722618,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT8,,,Level 4: Unmatched,0,10.0,11.0
CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,PRSS3P2;PRSS2;PRSS1,Intervertebral_disc_OAF,OAF,Homo sapiens,28.428320000000003,28.94558,0.744819111245741,1.2074260677441884,0.4626069564984474,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PRSS2,ECM Regulators,Matrisome-associated,Level 2: UniProt ID,95,10.0,10.0
CON__P08727;P08727,"Keratin, type I cytoskeletal 19",KRT19,Intervertebral_disc_OAF,OAF,Homo sapiens,25.095654545454547,23.54608,-0.5627951531683582,-0.9040952866770111,-0.34130013350865296,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT19,,,Level 4: Unmatched,0,11.0,10.0
CON__P08779;P08779,"Keratin, type I cytoskeletal 16",KRT16,Intervertebral_disc_OAF,OAF,Homo sapiens,27.719333333333335,25.92193333333333,0.47949695313164215,0.07705490895277589,-0.40244204417886625,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT16,,,Level 4: Unmatched,0,3.0,3.0
CON__P13645;P13645,"Keratin, type I cytoskeletal 10",KRT10,Intervertebral_disc_OAF,OAF,Homo sapiens,29.70365,29.188,1.2063793579252458,1.293050606783477,0.0866712488582313,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT10,,,Level 4: Unmatched,0,12.0,12.0
CON__P13647;P13647,"Keratin, type II cytoskeletal 5",KRT5,Intervertebral_disc_OAF,OAF,Homo sapiens,26.10458,22.896611111111113,-0.15008635322858077,-1.1888694736986911,-1.0387831204701103,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT5,,,Level 4: Unmatched,0,5.0,9.0
CON__P19013;P19013,"Keratin, type II cytoskeletal 4",KRT4,Intervertebral_disc_OAF,OAF,Homo sapiens,,22.3437,,-1.4374727841734056,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT4,,,Level 4: Unmatched,0,0.0,1.0
CON__P35908,"Keratin, type II cytoskeletal 2 epidermal",KRT2,Intervertebral_disc_OAF,OAF,Homo sapiens,27.784216666666666,27.217916666666667,0.5040488360124552,0.5763511916934303,0.0723023556809751,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT2,,,Level 4: Unmatched,0,12.0,12.0
CON__P35908v2;P35908,"Keratin, type II cytoskeletal 2 epidermal",KRT2,Intervertebral_disc_OAF,OAF,Homo sapiens,25.293599999999998,,-0.4805800692989715,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT2,,,Level 4: Unmatched,0,2.0,0.0
CON__P48668;P48668,"Keratin, type II cytoskeletal 6C",KRT6C,Intervertebral_disc_OAF,OAF,Homo sapiens,27.418525,25.132475,0.36494142793661233,-0.23901583700908982,-0.6039572649457021,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6C,,,Level 4: Unmatched,0,4.0,4.0
