Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome Category,Matrisome Division,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence,Zscore_Young,Zscore_Old,Zscore_Delta
A0A087WR50,Fibronectin;Anastellin,Fn1,Fn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,35.288985000000004,35.13815,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.9219703695290822,1.8041598537784582,-0.11781051575062396
A0A087WSN6,,Fn1,Fn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.317155,27.5397,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.6265307896072404,-0.6172339581285375,0.00929683147870286
A0A0R4J039,Histidine-rich glycoprotein,Hrg,Hrg,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.5958775,28.716105,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.5374264541751784,-0.2423496347077812,0.2950768194673972
A0A0R4J0X5,Alpha-1-antitrypsin 1-3,Serpina1c,Serpina1c,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,33.6207475,34.602795,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.3886542799405326,1.633558575337003,0.2449042953964704
A0A1B0GR98,RIKEN cDNA 1810010H24 gene,1810010H24Rik,1810010H24Rik,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.3022675,28.198765,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.9509784973660567,-0.4072100831745024,0.5437684141915542
A1L353,Transforming growth factor-beta-induced protein ig-h3,Tgfbi,Tgfbi,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,32.546205,32.7408075,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.0451355638124615,1.0402000600676822,-0.004935503744779357
A2ASQ1,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Agrn,Agrn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.790443333333332,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.11460271941093,,
A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Svep1,Svep1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.1310625,28.1727875,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.36633404592608526,-0.4154883185710401,-0.049154272644954866
A2AX52,Collagen alpha-4(VI) chain,Col6a4,Col6a4,Collagens,Core matrisome,Lung,Lung,Mus musculus,27.652074999999996,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.5194607682673563,,
A2BE45,Sushi-repeat-containing protein SRPX,Srpx,Srpx,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.223945,25.8127975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.295705635447623,-1.1675450119969872,0.12816062345063584
A2RT60,Serine protease HTRA4,Htra4,Htra4,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.2872325,24.97577,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.2754733591561274,-1.4342800972967493,-0.15880673814062196
A6H584,Collagen alpha-5(VI) chain,Col6a5,Col6a5,Collagens,Core matrisome,Lung,Lung,Mus musculus,26.118355,25.77648,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.009773180573006,-1.179118289410661,-0.1693451088376552
A6H6E2,Multimerin-2,Mmrn2,Mmrn2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.571945,30.4966225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.4139876469054934,0.32504688122535214,-0.08894076568014125
A6H6K1,Asporin,Aspn,Aspn,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,32.334920000000004,32.124849999999995,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.9775902113139626,0.8439132280298691,-0.1336769832840935
A8C1T7,Cysteine-rich with EGF-like domain protein 1,Creld1,Creld1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.056334999999997,25.4190125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.3492885993696895,-1.2930322577144415,0.056256341655247954
B2CQD6,Fibulin-1,Fbln1,Fbln1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.4405975,28.239994999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.26737931328712256,-0.3940713421332488,-0.12669202884612624
B2RPV6,Multimerin-1,Mmrn1,Mmrn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.9232925,29.3569975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.11306734639754942,-0.0381167801653939,0.07495056623215551
B2RXS4,Plexin-B2,Plxnb2;mKIAA0315,Plxnb2,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,28.196692499999997,28.1187425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.3453528996806042,-0.4327108084952365,-0.08735790881463235
B7ZNH7,Collagen alpha-1(XIV) chain,Col14a1,Col14a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,30.781225,29.3273775,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.48089202426728467,-0.0475557689997851,-0.5284477932670698
D3YXG0,,Hmcn1,Hmcn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.36735,29.77002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.3485810094516718,0.09350086891808462,-0.2550801405335872
D3Z3L7,Microfibrillar-associated protein 5,Mfap5,Mfap5,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.450545,26.1366125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.26419921345050845,-1.0643550670473378,-0.8001558535968294
D3Z689,,Adamtsl5,Adamtsl5,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.703337500000004,26.776065,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.8227610918399961,-0.8605810964996,-0.03782000465960389
D3Z7H8,,Cilp2,Cilp2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.113433333333333,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.37196988508530027,,
E9PV24,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Fga,Fga,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.0489575,34.375519999999995,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.5255480272173516,1.5611329781953258,0.035584950977974206
E9PVD2,"Inter alpha-trypsin inhibitor, heavy chain 4",Itih4,Itih4,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.992655000000003,29.780320000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.09089296339507656,0.09678316415759436,0.18767612755267093
E9PVR3,Acetylcholinesterase collagenic tail peptide,Colq,Colq,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.4617725,28.366306666666663,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.5802982600147385,-0.35381967395903896,0.22647858605569954
E9PVS1,Inter-alpha-trypsin inhibitor heavy chain H3,Itih3,Itih3,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,,26.2753575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,,-1.0201412754933978,
E9PWQ3,,Col6a3,Col6a3,Collagens,Core matrisome,Lung,Lung,Mus musculus,36.541345,36.642700000000005,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,2.322335268386177,2.2836139608272212,-0.038721307558955864
E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,Hspg2,Hspg2,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,37.7188975,37.7612425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,2.698785081188741,2.640059273733797,-0.05872580745494416
E9QPS5,Latent-transforming growth factor beta-binding protein 4,Ltbp4,Ltbp4,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.490845,26.6004125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.5710041205324622,-0.9165561804372437,-0.34555205990478155
E9QPX1,Collagen alpha-1(XVIII) chain;Endostatin,Col18a1,Col18a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,30.0965225,31.192147499999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.2620006135230092,0.5466894439883635,0.2846888304653543
F2Z469,Matrilin-4,Matn4,Matn4,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.49566,26.512680000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.5694648211393187,-0.9445138471459968,-0.3750490260066781
