Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young
Randles_2021,Kidney,Glomerular,10523.296242020862,13.36143614328364,21467.44299590413,14.38992994272835,SERPINA1,SERPINA1,100,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.377604357058498,0.0550543779325237,0.4326587349910217
Randles_2021,Kidney,Glomerular,8683829.352821417,23.04990011108401,5897188.0502754375,22.491596013699887,COL1A2,COL1A2,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.3147553841399522,3.2211824955404675,2.9064271114005154
Randles_2021,Kidney,Glomerular,13389.331638065769,13.708904071852292,10928.73399122053,13.415970668554047,FGA,FGA,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0333353467581462,0.1686046767481537,0.1352693299900074
Randles_2021,Kidney,Glomerular,9685.149335194534,13.241707530373024,6755.423979781157,12.722044147782944,FGF2,FGF2,100,exact_gene,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WUF6,Fibroblast growth factor OS=Homo sapiens GN=FGF2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0925425107804907,0.0159278322717914,-0.0766146785086993
Randles_2021,Kidney,Glomerular,12462.172447268938,13.60538372651338,5755.344276571047,12.49093716430953,KCP,KCP,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.2819559356130432,0.1347748893627309,-0.1471810462503122
Randles_2021,Kidney,Glomerular,4956.51159396822,12.27540043110328,2055.46078783966,11.00594784775805,MUC1,MUC1,100,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WWM1,Mucin-1 OS=Homo sapiens GN=MUC1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.3007535680120075,-0.2998551532881698,-0.6006087213001774
Randles_2021,Kidney,Glomerular,111786.5962209536,16.770400592284503,124031.13900176452,16.920354472232063,FBN2,FBN2,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WYV8,Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.0362181507452614,1.1690821773627311,1.2053003281079926
Randles_2021,Kidney,Glomerular,15.365068455657434,4.032547732126803,0.0,0.0,COL5A2,COL5A2,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WYX9,Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.9676057784483842,-2.9935667453698938,-3.961172523818278
Randles_2021,Kidney,Glomerular,7921.42469909562,12.951726326835692,13703.721915653989,13.742385434092034,COL4A6,COL4A6,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WZY5,Collagen alpha-6(IV) chain OS=Homo sapiens GN=COL4A6 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.3137732146019248,-0.0788361721306303,0.2349370424712945
Randles_2021,Kidney,Glomerular,94495.84318943469,16.527978514269204,34457.07493680543,15.072554484574248,COL15A1,COL15A1,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087X0K0,Collagen alpha-1(XV) chain OS=Homo sapiens GN=COL15A1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.4487684019377019,1.0898601912889736,0.6410917893512716
Randles_2021,Kidney,Glomerular,11368.567547245231,13.472889760489386,7650.08161994267,12.901447998143633,CLEC18B,CLEC18B,100,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087X0Q5,C-type lectin domain family 18 member B OS=Homo sapiens GN=CLEC18B PE=4 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1133120894140389,0.0914767078722343,-0.0218353815418046
Randles_2021,Kidney,Glomerular,5897824.761391317,22.491751771023623,2751511.5837193667,21.39179349600272,COL6A1,COL6A1,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087X0S5,Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.4681705419171642,3.0387831844489894,2.570612642531825
Randles_2021,Kidney,Glomerular,47001.57010797844,15.520452025289924,39766.602142464035,15.279305954479389,LAMA4,LAMA4,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0A0MQS9,Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0563855449846412,0.7606069725544108,0.7042214275697696
Randles_2021,Kidney,Glomerular,34709.478876305104,15.083083648712114,35271.893903846365,15.106272323599894,LAMA3,LAMA3,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0A0MSA0,Laminin subunit alpha-3 OS=Homo sapiens GN=LAMA3 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.0337094360956068,0.6176777817726918,0.6513872178682987
Randles_2021,Kidney,Glomerular,3090.2432907002035,11.59397148802488,2184.1455083063834,11.09351363629756,C1QB,C1QB,100,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0A0MSV6,Complement C1q subcomponent subunit B (Fragment) OS=Homo sapiens GN=C1QB PE=1 SV=4,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0513295445594723,-0.5225417777110724,-0.5738713222705447
Randles_2021,Kidney,Glomerular,698392.4229965323,19.41368044712844,559456.6578273777,19.09366942037653,NID2,NID2,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0A0MTL9,Nidogen-2 OS=Homo sapiens GN=NID2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1639873117287262,2.0328891439719174,1.8689018322431912
Randles_2021,Kidney,Glomerular,1560.9099601269834,10.609095573082822,1211.615275109618,10.243906185713524,SEMA3B,SEMA3B,100,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0C4DGV8,Semaphorin-3B OS=Homo sapiens GN=SEMA3B PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.0111018789745307,-0.8443929335822594,-0.8332910546077287
Randles_2021,Kidney,Glomerular,584.6101844396156,9.193796833753174,765.471859445557,9.58208901494827,SERPINI2,SERPINI2,100,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0C4DGW9,Serpin I2 OS=Homo sapiens GN=SERPINI2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.2715327464097903,-1.3069035181598916,-1.0353707717501013
Randles_2021,Kidney,Glomerular,59706.19968770033,15.865617286374032,88195.22141563153,16.428429227376416,COL11A2,COL11A2,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0G2JHD9,Collagen alpha-2(XI) chain (Fragment) OS=Homo sapiens GN=COL11A2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.1816907559277718,0.8734047743496103,1.055095530277382
Randles_2021,Kidney,Glomerular,5619.404886534764,12.456458348694662,8567.454520247064,13.064819295645933,PRSS2,PRSS2,100,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0J9YW57,Trypsin-2 OS=Homo sapiens GN=PRSS2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.2687351072759825,-0.2406865827379952,0.0280485245379872
Randles_2021,Kidney,Glomerular,69456.32000480506,16.083839125277102,113743.08690861988,16.795432021863775,COL6A6,COL6A6,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A6NMZ7,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.2224381429497429,0.9447182769154852,1.1671564198652282
Randles_2021,Kidney,Glomerular,29981.6875839696,14.871842088728496,36098.2521787023,15.13968133053302,FBLN1,FBLN1,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,B1AHL2,Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.112942957623195,0.5486453897553081,0.6615883473785031
Randles_2021,Kidney,Glomerular,34979.5037975344,15.094263446995708,20532.667747282667,14.32570372585647,COL9A2,COL9A2,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,B1AKJ1,Collagen alpha-2(IX) chain (Fragment) OS=Homo sapiens GN=COL9A2 PE=4 SV=6,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.2082834113404,0.6213312684154159,0.4130478570750158
Randles_2021,Kidney,Glomerular,13490.01596613252,13.719711376768911,7058.437117483317,12.785337439803078,MFAP5,MFAP5,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,B3KW70,Microfibrillar-associated protein 5 OS=Homo sapiens GN=MFAP5 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.2294250954571892,0.1721364349386979,-0.0572886605184912
Randles_2021,Kidney,Glomerular,103145.44528148726,16.654334577162537,105911.32851449342,16.69251100759607,PAPLN,PAPLN,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,B5MDP7,Papilin OS=Homo sapiens GN=PAPLN PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.0045779002313111,1.1311525452561677,1.1357304454874786
Randles_2021,Kidney,Glomerular,9045.42446164425,13.14313197401442,6161.328876948953,12.589259964196463,CLEC5A,CLEC5A,100,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,C9JCE4,C-type lectin domain family 5 member A OS=Homo sapiens GN=CLEC5A PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1008730641920963,-0.0162860296709372,-0.1171590938630336
Randles_2021,Kidney,Glomerular,33563.0086056651,15.034627409098098,21078.312295088737,14.363540179890368,LAMB4,LAMB4,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,C9JMJ0,Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1772417259159705,0.6018425922911218,0.4246008663751512
Randles_2021,Kidney,Glomerular,3547.5384345962434,11.79300921707038,232.91286883882617,7.869827424270723,VCAN,VCAN,100,exact_gene,Proteoglycans,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,D6RGZ6,Versican core protein (Fragment) OS=Homo sapiens GN=VCAN PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,1.1006964020466783,-0.4574975196645754,-1.558193921711254
Randles_2021,Kidney,Glomerular,61289.6240984005,15.903378774814634,30909.3445000881,14.915802112872052,NPNT,NPNT,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,D6RH31,Nephronectin (Fragment) OS=Homo sapiens GN=NPNT PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.292516076786703,0.885744987484723,0.59322891069802
Randles_2021,Kidney,Glomerular,7664.76359605251,12.904213792315051,393.555613619957,8.624084855891518,ELN,ELN,100,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,E7EN65,Elastin OS=Homo sapiens GN=ELN PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,1.2335254659401385,-0.0943629648177444,-1.3278884307578829
Randles_2021,Kidney,Glomerular,909.4086031599976,9.830370380632774,590.4212333712784,9.20804223020546,SERPING1,SERPING1,100,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,E9PGN7,Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0507071276431196,-1.0988753505990327,-1.1495824782421524
Randles_2021,Kidney,Glomerular,1246.4840692317691,10.28480567666785,385.87667127040896,8.595729926420395,F2,F2,100,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,E9PIT3,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.3861775451336199,-0.9503687995923924,-1.3365463447260122
Randles_2021,Kidney,Glomerular,1181.5152464402167,10.207643069344636,1541.4779426294897,10.591034143705128,SERPINH1,SERPINH1,100,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,E9PPV6,Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.2482862851378864,-0.9755850466142032,-0.7272987614763167
Randles_2021,Kidney,Glomerular,2281.63827339292,11.15648654040108,2751.1779248668195,11.426358026150298,COL4A6,COL4A6,100,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,F5H851,Collagen alpha-6(IV) chain OS=Homo sapiens GN=COL4A6 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.1932686793552913,-0.6655090631657572,-0.4722403838104659
Randles_2021,Kidney,Glomerular,12471.337223235068,13.606444220371918,12560.829801671376,13.616759007276045,LGALS8,LGALS8,100,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,F6V2D4,Galectin OS=Homo sapiens GN=LGALS8 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.0614567295889355,0.1351214519793881,0.1965781815683237
