Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young
Angelidis_2019,Lung,Lung,35.13815,5.134966331308081,35.288985000000004,5.141146030062373,Fn1,Fn1,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A0A087WR50,Fibronectin;Anastellin,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,27.5397,4.783440938642388,27.317155,4.77173533396493,Fn1,Fn1,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A0A087WSN6,,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,28.716105,4.843788172799628,27.5958775,4.786380856291965,Hrg,Hrg,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A0A0R4J039,Histidine-rich glycoprotein,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,34.602795,5.1128166694482475,33.6207475,5.071279895682579,Serpina1c,Serpina1c,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A0A0R4J0X5,Alpha-1-antitrypsin 1-3,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,28.198765,4.817560074270601,26.3022675,4.717115273492105,1810010H24Rik,1810010H24Rik,1,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A0A1B0GR98,RIKEN cDNA 1810010H24 gene,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,32.7408075,5.033017998919321,32.546205,5.024417424856726,Tgfbi,Tgfbi,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A1L353,Transforming growth factor-beta-induced protein ig-h3,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,,,25.790443333333332,4.688764667909959,Agrn,Agrn,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),0,3,A2ASQ1,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,28.172787500000002,4.816230410232072,28.1310625,4.814092138636055,Svep1,Svep1,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,,,27.652074999999996,4.789315838634436,Col6a4,Col6a4,1,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),0,4,A2AX52,Collagen alpha-4(VI) chain,Mus musculus,Angelidis_2019,Lung,Lung,,,
Angelidis_2019,Lung,Lung,25.8127975,4.690014598995283,25.223945,4.656722024274587,Srpx,Srpx,1,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4,4,A2BE45,Sushi-repeat-containing protein SRPX,Mus musculus,Angelidis_2019,Lung,Lung,,,
