Canonical_Gene_Symbol,Zscore_Delta_mean,Zscore_Delta_std,Zscore_Delta_count,Zscore_Delta_min,Zscore_Delta_max,Zscore_Old_mean,Zscore_Old_std,Zscore_Young_mean,Zscore_Young_std,Abundance_Old_mean,Abundance_Young_mean,Tissue_<lambda>,Study_ID_<lambda>,Matrisome_Category_<lambda>,Matrisome_Division_<lambda>,zscore_delta_abs_mean,zscore_delta_range,coefficient_of_variation,pct_increasing,direction_consistency
1300017J02Rik,0.089251987690925,0.16832871476265077,4,-0.1442632704630147,0.2332445540528849,-0.5382046844298382,0.5739498266415325,-0.6274566721207632,0.6548591522048972,14.12675941,14.061228742499999,4,1,Non-ECM,Non-ECM,0.089251987690925,0.3775078245158996,1.8650970363013568,0.75,0.5
1810010H24Rik,0.5437684141915542,,1,0.5437684141915542,0.5437684141915542,-0.4072100831745024,,-0.9509784973660568,,28.198765,26.3022675,1,1,ECM Regulators,Matrisome-associated,0.5437684141915542,0.0,,1.0,1.0
A2M,0.4526963934658959,0.5945053046259257,8,-0.4351895415972805,1.237346148377939,0.5141486514077132,1.3458784407110216,0.06145225794181722,1.0195587122233158,4110.15565776963,3625.4480593658955,8,5,ECM Regulators,Matrisome-associated,0.4526963934658959,1.6725356899752195,1.3103593354233138,0.75,0.5
A2ML1,,,0,,,,,-0.558990477725615,,,7.736684310904114,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
A2m,0.150456705868355,0.0646097971047369,3,0.0880577670937569,0.2170709350567347,0.3102327766835155,0.7375452098290889,0.15977607081516043,0.680944245759927,29.42330971943066,28.81385235453944,3,2,ECM Regulators,Matrisome-associated,0.150456705868355,0.1290131679629778,0.4265892139559356,1.0,1.0
ABI3BP,-0.03943086323048154,0.42725289378727715,6,-0.3338349687770039,0.7950725599658323,1.0080478531139199,1.2084672903617,1.0474787163444015,1.3724402095485189,40.947822414544724,41.473771675079995,6,4,ECM Glycoproteins,Core matrisome,0.03943086323048154,1.128907528742836,10.567493732490076,0.3333333333333333,0.33333333333333337
ACAN,0.04174398552878804,0.12334353054814579,5,-0.123141751074085,0.1865698973882454,1.8408483057679454,1.4439554628864175,1.4224608027319474,1.617182446032845,6111.653419856033,3488.516208549196,6,3,Proteoglycans,Core matrisome,0.04174398552878804,0.3097116484623304,2.8856347629322965,0.5,0.0
ADAM10,-0.6162468530693533,,1,-0.6162468530693533,-0.6162468530693533,-0.8030032915073377,0.6914891076305644,0.3022001986842221,,19.33656071215101,15.061706582181785,2,2,ECM Regulators,Matrisome-associated,0.6162468530693533,0.0,,0.0,1.0
ADAM12,,,0,,,-1.0295014581440616,,,,24.5897,,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
ADAM15,-0.17046702418052917,0.31272883180709626,2,-0.3915997018238742,0.0506656534628159,0.17559359567604335,0.08875455367740535,0.03509127872011094,0.5614160952559101,2786.357996100027,1974.5715974105558,3,2,ECM Regulators,Matrisome-associated,0.17046702418052917,0.4422653552866901,1.8238424169409944,0.3333333333333333,0.33333333333333337
ADAM17,-0.498042545452811,,1,-0.498042545452811,-0.498042545452811,-0.4363447284831692,,-0.6702954835017083,1.0351948530928272,14.72293608423566,19.212873300372472,2,2,ECM Regulators,Matrisome-associated,0.498042545452811,0.0,,0.0,1.0
ADAM19,0.1661997470001283,0.09394074700564962,2,0.0997736077627036,0.232625886237553,-0.7467396889677993,0.44260579696465235,-0.9129394359679277,0.34866504995900277,865.1063473856942,390.51256754615264,2,1,ECM Regulators,Matrisome-associated,0.1661997470001283,0.13285227847484943,0.5618474231637297,1.0,1.0
ADAM9,-0.4129783251713189,,1,-0.4129783251713189,-0.4129783251713189,0.0130128657965987,,0.4259911909679177,,15.128890364231932,15.16910770631127,1,1,ECM Regulators,Matrisome-associated,0.4129783251713189,0.0,,0.0,1.0
ADAMTS1,,,0,,,-1.252019260739108,,,,23.9524,,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
ADAMTS16,,,0,,,,,-1.5066185863908392,,,23.4342,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
ADAMTS2,,,0,,,-1.4880554612451595,,,,23.5963,,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
ADAMTS4,1.963387906603653,,1,1.963387906603653,1.963387906603653,-0.9332494160922348,,-2.896637322695888,,14.2740272702911,12.2863936182429,1,1,ECM Regulators,Matrisome-associated,1.963387906603653,0.0,,1.0,1.0
ADAMTS5,0.22391331581593127,0.07020217956574668,2,0.1742728785909161,0.2735537530409464,1.1778805501622511,0.8970233773676259,0.9539672343463197,0.8268211978018792,25872.94781527298,12840.741978759153,2,1,ECM Regulators,Matrisome-associated,0.22391331581593127,0.09928087445003031,0.3121299390881776,1.0,1.0
ADAMTSL1,,,0,,,,,-1.19535033515026,,,5.54601442524714,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
ADAMTSL2,-0.0464390131001186,,1,-0.0464390131001186,-0.0464390131001186,-0.9403677370986588,0.17586206289858247,-1.06798418191509,,25.3079,24.8224,3,1,ECM Regulators,Matrisome-associated,0.0464390131001186,0.0,,0.0,1.0
ADAMTSL3,,,0,,,-1.206311664221963,,,,24.082,,1,1,ECM Regulators,Matrisome-associated,,,,0.0,1.0
ADAMTSL4,0.28436006551304005,0.6377814787819664,3,-0.439238154089842,0.7647737912686978,0.33351791954439264,1.2296980609298065,-0.2761877586498013,1.4330802373289093,3210.942795288441,722.2702965513819,4,3,ECM Regulators,Matrisome-associated,0.28436006551304005,1.2040119453585398,2.2350060707875112,0.5,0.0
ADAMTSL5,0.15951023835203218,0.5628559445287928,2,-0.2384890168554365,0.5575094935595009,1.5222498280333705,2.1815549984237723,1.3627395896813383,1.6186990538949793,1453.723217952528,1136.3733856824113,2,1,ECM Regulators,Matrisome-associated,0.15951023835203218,0.7959985104149374,3.5066669285876535,0.5,0.0
ADIPOQ,0.4268784384430349,0.2757964151573623,2,0.2318609230583237,0.6218959538277461,-0.5761713801403193,0.810938632315953,-0.5076333794839875,0.6925939397997407,22.810692408100653,19.96746236360916,5,3,ECM Glycoproteins,Core matrisome,0.4268784384430349,0.39003503076942236,0.6445672190469119,0.4,0.19999999999999996
AEBP1,-0.18017073677629122,0.488425278841122,8,-1.1886566260272555,0.3213559747705322,-0.18690667785285858,1.2047986393059278,-0.006735941076567359,0.9868651805848662,24957.8213716786,26410.007365756523,8,5,ECM Glycoproteins,Core matrisome,0.18017073677629122,1.5100126007977877,2.6959391319594137,0.5,0.0
AGRN,-0.18206901919041227,0.3459531956057314,10,-0.7970277057539259,0.3439215411965248,0.19370398296006336,1.7323993747345061,0.37577300215047565,1.557689239630463,458404.58878731413,589170.8310752832,8,5,ECM Glycoproteins,Core matrisome,0.18206901919041227,1.1409492469504507,1.8897418969940587,0.3,0.4
AGT,-0.18924588214028776,0.9496421422976391,8,-2.3349680154309556,0.7031800548481846,0.46689260031370466,0.4751618020209778,0.6561384824539924,1.0883391618822937,1089.080822038363,3368.416044038135,8,5,ECM Regulators,Matrisome-associated,0.18924588214028776,3.0381480702791404,4.991656752903439,0.5,0.0
AMBP,0.6179412953407063,0.696355053324007,8,-0.0864661592455726,1.824255517257539,0.06810897616464182,1.0885604043284263,-0.5498323191760643,0.8732342754538831,16283.878165647322,13448.006934279687,8,5,ECM Regulators,Matrisome-associated,0.6179412953407063,1.9107216765031116,1.1250744756668516,0.75,0.5
ANGPTL1,,,0,,,-1.1199713953922965,,,,24.32865,,1,1,Secreted Factors,Matrisome-associated,,,,0.0,1.0
ANGPTL2,0.49579426681827665,0.13768953554024502,4,0.3020258746626171,0.6225232963692325,0.3934401851265982,0.896397367041475,-0.3239181186760466,0.9795236022974448,26.9751842806102,21.88292410066561,5,3,Secreted Factors,Matrisome-associated,0.49579426681827665,0.32049742170661544,0.27715604775811703,0.8,0.6000000000000001
ANGPTL3,,,0,,,-1.1105779237044082,0.11246500775783445,,,24.592525000000002,,2,1,Secreted Factors,Matrisome-associated,,,,0.0,1.0
ANGPTL4,0.3316414169098383,0.3871353885226085,2,0.0578953584482131,0.6053874753714634,-0.2544321351357857,0.32091562302898974,-0.7244176242990454,0.08524272507712145,27.561635555555554,26.038916666666665,3,1,Secreted Factors,Matrisome-associated,0.3316414169098383,0.5474921169232503,1.1638219681692272,0.6666666666666666,0.33333333333333326
ANGPTL5,-0.08083664715925713,0.24001977375093328,3,-0.3537416777172928,0.0974682875663998,-0.9275282405277451,0.46316926846721423,-0.845073248753252,0.1948310237233867,25.322073333333336,20.952277879148593,4,2,Secreted Factors,Matrisome-associated,0.08083664715925713,0.4512099652836926,2.9329130906822947,0.5,0.0
