Protein,Mean_Zscore_Delta,Std_Zscore_Delta,Consistency,N_Studies,N_Tissues,Temporal_Pattern,Matrisome_Division,Matrisome_Category
Hp,1.7847414333738034,0.34916885116467244,0.8147391228410368,4,4,Late_Increase,Non-ECM,Non-ECM
Angptl7,1.35690839052571,0.47827167882444516,0.671721515275325,3,3,Late_Increase,Matrisome-associated,Secreted Factors
VTN,1.318911080793891,1.138613718396862,0.19754399425804792,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
Myoc,1.019469008625633,0.3572022735303931,0.6809181220935017,4,4,Late_Increase,Non-ECM,Non-ECM
HPX,1.0050720136416453,1.127020241380975,-0.019861355159109806,8,8,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
SERPINA6,0.9884111368166959,0.6805541737716405,0.3747269292355141,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
PRG4,0.9799352703394154,0.21782334665773906,0.7982996271718408,3,3,Late_Increase,Core matrisome,Proteoglycans
SERPINA10,0.9728885696047098,0.02219051919273985,0.9793170327083309,2,2,Late_Increase,Matrisome-associated,ECM Regulators
Amy1,0.9653435213889985,0.2682078769685111,0.7482428234802416,3,3,Late_Increase,Non-ECM,Non-ECM
ITIH2,0.9440918080613498,1.5170691115600161,-0.4530035575864555,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
TIMP3,0.9380965928302631,1.1440862706526882,-0.1021000151184921,7,7,Chronic_Change,Matrisome-associated,ECM Regulators
CRLF1,0.9262204024696703,0.24335013039540934,0.7628675771698064,3,3,Late_Increase,Matrisome-associated,Secreted Factors
TNFAIP6,0.9239561415399553,0.4641038802060607,0.5467541417271229,3,3,Late_Increase,Core matrisome,ECM Glycoproteins
FGB,0.8946244408992193,1.0006800159487974,-0.006088303082622204,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
CXCL10,0.8861453129831608,0.7778992069938816,0.21117182553889513,6,6,Chronic_Change,Matrisome-associated,Secreted Factors
FGG,0.8766169966808384,1.1690294582159122,-0.1970193660247701,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
EPYC,0.8760482804297104,0.48212786970126903,0.5060409619399056,3,3,Late_Increase,Core matrisome,Proteoglycans
CILP,0.8710693426945131,0.7458977980459552,0.23187998503150575,5,5,Chronic_Change,Core matrisome,ECM Glycoproteins
