Tissue,Study,Compartment,TIMP3_Zscore,Target_Type,Target_Gene,Target_Zscore,Direction
Intervertebral_disc_NP,Tam_2020,NP,0.6478449233496578,ADAMTS,ADAMTS16,,Same
Intervertebral_disc_NP,Tam_2020,NP,0.6478449233496578,VEGF,VEGFA,,Same
Intervertebral_disc_IAF,Tam_2020,IAF,0.907393033140784,MMP,MMP2,0.6075158494174555,Same
Intervertebral_disc_IAF,Tam_2020,IAF,0.907393033140784,MMP,MMP3,0.4161010934040325,Same
Intervertebral_disc_IAF,Tam_2020,IAF,0.907393033140784,MMP,MMP14,,Same
Intervertebral_disc_IAF,Tam_2020,IAF,0.907393033140784,ADAMTS,ADAMTS2,,Same
Intervertebral_disc_IAF,Tam_2020,IAF,0.907393033140784,VEGF,VEGFA,-0.6321879550043454,Inverse
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP1,,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP2,1.4525351998314768,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP3,0.0105970703908573,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP12,,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP9,0.0492642295458385,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP14,0.1886027684865838,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,MMP,MMP19,,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,ADAMTS,ADAMTS1,,Same
Intervertebral_disc_OAF,Tam_2020,OAF,1.030801626177056,VEGF,VEGFA,0.4197096802684169,Same
Heart_Native_Tissue,Santinha_2024_Human,Native_Tissue,3.141208179502989,ADAMTS,ADAMTS4,1.963387906603653,Same
Skin dermis,LiDermis_2021,Skin dermis,1.237967176507091,MMP,MMP2,-0.4461060254271434,Inverse
Skin dermis,LiDermis_2021,Skin dermis,1.237967176507091,MMP,MMP12,,Same
Skin dermis,LiDermis_2021,Skin dermis,1.237967176507091,MMP,MMP14,,Same
Skin dermis,LiDermis_2021,Skin dermis,1.237967176507091,MMP,MMP19,,Same
Skin dermis,LiDermis_2021,Skin dermis,1.237967176507091,VEGF,VEGFB,,Same
Kidney_Glomerular,Randles_2021,Glomerular,-0.5376416720368191,MMP,MMP13,-0.4648367206117147,Same
Kidney_Glomerular,Randles_2021,Glomerular,-0.5376416720368191,MMP,MMP12,-0.0097272553840862,Same
Kidney_Glomerular,Randles_2021,Glomerular,-0.5376416720368191,MMP,MMP9,0.0614056829145706,Inverse
Kidney_Glomerular,Randles_2021,Glomerular,-0.5376416720368191,ADAMTS,ADAMTS5,0.1742728785909161,Inverse
Kidney_Tubulointerstitial,Randles_2021,Tubulointerstitial,0.1391028831710835,MMP,MMP13,0.1921066013121116,Same
Kidney_Tubulointerstitial,Randles_2021,Tubulointerstitial,0.1391028831710835,MMP,MMP12,0.1610879445518798,Same
Kidney_Tubulointerstitial,Randles_2021,Tubulointerstitial,0.1391028831710835,MMP,MMP9,0.2087924095250135,Same
Kidney_Tubulointerstitial,Randles_2021,Tubulointerstitial,0.1391028831710835,ADAMTS,ADAMTS5,0.2735537530409464,Same
