Canonical_Gene_Symbol,Protein_Name,Outlier_Type,Extremity_Metric,Zscore_Delta,Log2_Fold_Change,Zscore_Old,Zscore_Young,Abundance_Old,Abundance_Young,Tissue,Compartment,Matrisome_Category,Matrisome_Division,Species,Study_ID,Direction
,Synaptotagmin-9 OS=Homo sapiens GN=SYT9 PE=2 SV=1,Extreme_Fold_Change,11.91340380307867,0.3122343060237869,11.91340380307867,-1.602694591640566,-1.9149288976643528,514.7567463437753,0.133447410833065,Kidney_Tubulointerstitial,,,,Homo sapiens,Randles_2021,Increase
,Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=3,Extreme_Fold_Change,8.034171914599934,0.1755510913376278,8.034171914599934,0.7850077068906502,0.6094566155530224,567.6628781978694,2.1655277744587713,Kidney_Glomerular,,,,Homo sapiens,Randles_2021,Increase
,Tenascin ,Extreme_Fold_Change,7.339132311988045,-3.670667900763284,-7.339132311988045,-1.6286339620746804,2.0420339386886037,0.0404276214540004,6.546017448107404,Intervertebral_disc_Nucleus_pulposus,Nucleus_pulposus,ECM Glycoproteins,Core matrisome,Bos taurus,Caldeira_2017,Decrease
ELN,Elastin OS=Homo sapiens GN=ELN PE=1 SV=1,Extreme_Fold_Change,4.283601872094282,-0.0713475595085071,4.283601872094282,0.8953731304713226,0.9667206899798296,7664.76359605251,393.555613619957,Kidney_Glomerular,,ECM Glycoproteins,Core matrisome,Homo sapiens,Randles_2021,Decrease
COL4A3,Collagen alpha-3(IV) chain (Fragment) OS=Homo sapiens GN=COL4A3 PE=4 SV=1,Extreme_Fold_Change,3.9636531109296307,-0.1554529284227658,-3.9636531109296307,0.6417356206573259,0.7971885490800917,746.125182452812,11640.996988856836,Kidney_Tubulointerstitial,,Collagens,Core matrisome,Homo sapiens,Randles_2021,Decrease
VCAN,Versican core protein (Fragment) OS=Homo sapiens GN=VCAN PE=1 SV=1,Extreme_Fold_Change,3.9289560564985346,0.4108934959474818,3.9289560564985346,-0.3043277982145866,-0.7152212941620685,3547.5384345962434,232.91286883882617,Kidney_Glomerular,,Proteoglycans,Core matrisome,Homo sapiens,Randles_2021,Increase
COL4A3,Collagen alpha-3(IV) chain (Fragment) OS=Homo sapiens GN=COL4A3 PE=4 SV=1,Extreme_Fold_Change,3.9122676499674274,-0.1554529284227658,-3.9122676499674274,0.6417356206573259,0.7971885490800917,609.9641462367366,9183.626690755924,Kidney_Glomerular,,Collagens,Core matrisome,Homo sapiens,Randles_2021,Decrease
FCN2,Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2,Extreme_Fold_Change,3.9106257403518305,-0.3455847695314855,3.9106257403518305,0.3437924592745157,0.6893772288060013,267470.39433976234,17785.25385236817,Kidney_Glomerular,,ECM-affiliated Proteins,Matrisome-associated,Homo sapiens,Randles_2021,Decrease
FGL1,Fibrinogen-like protein 1 OS=Homo sapiens GN=FGL1 PE=1 SV=3,Extreme_Fold_Change,3.5002058525678996,-0.1540405575839921,3.5002058525678996,0.5740516844419953,0.7280922420259874,14222.387342001231,1256.9139597933176,Kidney_Glomerular,,ECM Glycoproteins,Core matrisome,Homo sapiens,Randles_2021,Decrease
COL5A2,Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=1,Extreme_Fold_Change,3.3983923221619445,-0.3050011667701498,3.3983923221619445,-0.4533870660035201,-0.1483858992333703,940.2887707150152,89.17502168621635,Kidney_Tubulointerstitial,,Collagens,Core matrisome,Homo sapiens,Randles_2021,Decrease
TIMP3,Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3),Extreme_Zscore_Delta,3.141208179502989,3.141208179502989,,2.0437333307680445,-1.0974748487349448,16.963464152959144,13.847347841407656,Heart_Native_Tissue,Native_Tissue,ECM Regulators,Matrisome-associated,Homo sapiens,Santinha_2024_Human,Increase
SERPINC1,Antithrombin-III,Extreme_Zscore_Delta,3.0125885630073665,3.0125885630073665,,1.5696551466777156,-1.442933416329651,33.965333333333334,23.6706,Intervertebral_disc_NP,NP,ECM Regulators,Matrisome-associated,Homo sapiens,Tam_2020,Increase
COL22A1,Collagen alpha-1(XXII) chain,New_Arrival,2.4097756476385213,,,-2.4097756476385213,,20.8839,,Intervertebral_disc_OAF,OAF,Collagens,Core matrisome,Homo sapiens,Tam_2020,Increase
FLG,Filaggrin,Disappearance,2.382774587194576,,,,-2.382774587194576,,20.1819,Intervertebral_disc_NP,NP,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
HGF,Hepatocyte growth factor;Hepatocyte growth factor alpha chain;Hepatocyte growth factor beta chain,New_Arrival,2.251782284515764,,,-2.251782284515764,,21.2793,,Intervertebral_disc_OAF,OAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Increase
C1QTNF8,Complement C1q tumor necrosis factor-related protein 8,New_Arrival,2.111289291625318,,,-2.111289291625318,,21.7574,,Intervertebral_disc_NP,NP,ECM-affiliated Proteins,Matrisome-associated,Homo sapiens,Tam_2020,Increase
WNT11,Protein Wnt-11,Disappearance,2.1055202561679183,,,,-2.1055202561679183,,21.9547,Intervertebral_disc_OAF,OAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
LEP,Leptin,New_Arrival,2.089928662485858,,,-2.089928662485858,,21.5691,,Intervertebral_disc_IAF,IAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Increase
PAPLN,Papilin,New_Arrival,2.066773511421691,,,-2.066773511421691,,21.7514,,Intervertebral_disc_OAF,OAF,ECM Glycoproteins,Core matrisome,Homo sapiens,Tam_2020,Increase
IHH,Indian hedgehog protein;Indian hedgehog protein N-product;Indian hedgehog protein C-product,Disappearance,2.050373995683567,,,,-2.050373995683567,,22.1041,Intervertebral_disc_OAF,OAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
SNED1,"Sushi, nidogen and EGF-like domain-containing protein 1 {ECO:0000305}",Disappearance,2.013378048132963,,,,-2.013378048132963,,2.72995263952041,Skin dermis,Skin dermis,ECM Glycoproteins,Core matrisome,Homo sapiens,LiDermis_2021,Decrease
MMP1,Interstitial collagenase;22 kDa interstitial collagenase;27 kDa interstitial collagenase,New_Arrival,2.0000525638731044,,,-2.0000525638731044,,21.9241,,Intervertebral_disc_OAF,OAF,ECM Regulators,Matrisome-associated,Homo sapiens,Tam_2020,Increase
