Protein,N_Studies,N_Tissues,Matrisome_Category,Matrisome_Division,Shannon_Entropy,Variance_Entropy_CV,Predictability_Score,Aging_Direction,Entropy_Transition,Mean_Zscore_Delta,N_Observations
PRSS2,2,5,ECM Regulators,Matrisome-associated,1.9825675264520521,1.2422579713310444,0.6,decrease,0.04341708596074234,0.025082626875862907,5
FLG,4,5,Secreted Factors,Matrisome-associated,1.9568271651387676,1.226736042472604,0.75,decrease,0.23889437181187978,-0.3194596470029014,5
HRNR,3,6,Secreted Factors,Matrisome-associated,1.9782767749369,1.1704868681065064,1.0,decrease,0.7449289803758027,-0.2587873722891926,6
MASP2,3,6,ECM Regulators,Matrisome-associated,1.869766080808922,1.2646493107000825,0.6666666666666666,decrease,0.3924967673977755,-0.2057166780716693,6
MATN2,4,7,ECM Glycoproteins,Core matrisome,2.9643032792415624,1.185532105121774,0.5555555555555556,decrease,0.03768645117821734,-0.10245008121132654,9
AGRN,5,8,ECM Glycoproteins,Core matrisome,1.678837451060127,2.563995246370809,0.7,decrease,0.24032608756840457,-0.18206901919041227,10
CCL21,2,4,Secreted Factors,Matrisome-associated,2.1872919112392895,0.03451469937138027,1.0,increase,0.0036409343619735607,0.2518597660059456,4
CCN1,2,4,ECM Glycoproteins,Core matrisome,2.222382530350098,0.2342586732428549,0.5,mixed,0.028235969624514967,-0.013414028657248722,4
NELL1,2,4,ECM Glycoproteins,Core matrisome,2.725769283767708,0.1925225523473627,0.5,mixed,0.00850511706096338,0.11721597939258753,4
PLXNB2,4,4,ECM-affiliated Proteins,Matrisome-associated,1.5219096664532805,1.170318814088902,0.5,mixed,0.46133414223682223,0.0024972342011515547,4
LAMA5,5,8,ECM Glycoproteins,Core matrisome,1.8332714385958382,1.9726206072987125,0.75,decrease,0.024998390825925032,-0.10840926181449184,8
P4HA2,3,5,ECM Regulators,Matrisome-associated,3.0864808828221153,0.39579732999603157,0.6,decrease,0.07615553808965803,-0.31378495873038237,5
EDIL3,2,4,ECM Glycoproteins,Core matrisome,2.4857776032448755,0.023876343648246725,0.6666666666666666,decrease,0.009889678429787956,-0.050960107988062164,4
PLOD3,3,5,ECM Regulators,Matrisome-associated,2.3029764143309652,0.3826786916790645,,insufficient_data,0.25863292556315226,-0.3200574616263775,5
SRPX2,2,4,ECM Glycoproteins,Core matrisome,2.679513507538461,0.4271612393170787,0.75,increase,0.019046868652438098,0.015580860053251835,4
SLIT3,2,4,ECM Glycoproteins,Core matrisome,2.6237500699219147,0.339568824733331,0.6666666666666666,decrease,0.4536719076393669,-0.7101640506452735,4
CILP,4,6,ECM Glycoproteins,Core matrisome,3.1510513282685886,0.5854834360469406,1.0,increase,0.013027370287008955,0.8710693426945131,6
CCN5,3,6,ECM Glycoproteins,Core matrisome,1.7804912348935193,1.656519950274609,0.8,increase,0.01869921572869626,0.2974546749132226,6
ECM2,2,4,ECM Glycoproteins,Core matrisome,2.693028499625187,0.38877570206209844,1.0,decrease,0.007785216808420092,-0.2609506916035267,4
MATN4,2,4,ECM Glycoproteins,Core matrisome,2.626733144646563,0.3123832863159638,0.6666666666666666,decrease,0.40963328595214804,-0.1368106349372141,4
CXCL14,3,5,Secreted Factors,Matrisome-associated,1.8029795498320857,1.1262108725563926,1.0,increase,0.9541237259950305,0.16368400110841705,5
EFEMP2,2,4,ECM Glycoproteins,Core matrisome,2.6327672126366175,0.25589702784864904,0.6666666666666666,decrease,0.3398832872201637,0.054247319259626225,4
F13A1,4,7,ECM Regulators,Matrisome-associated,1.676642527306031,2.0812319966343256,0.5714285714285714,increase,0.1604327500940601,0.19198984504920671,7
F2,8,13,ECM Regulators,Matrisome-associated,2.5626844466256427,2.296194788822601,0.7857142857142857,increase,0.5138993666981597,0.4784004036981658,14
F9,6,8,ECM Regulators,Matrisome-associated,2.469176871372159,1.3790939725583415,0.6666666666666666,increase,0.056892703512889886,-0.02105923186588807,9
F10,7,8,ECM Regulators,Matrisome-associated,1.0092918144472205,2.656186029376356,0.7142857142857143,increase,0.3771391094879242,0.15318295554184885,9
PLG,5,8,ECM Regulators,Matrisome-associated,1.9395778604437508,1.845694100881167,0.5,mixed,0.04038292631946816,0.8340519123414248,8
F12,6,8,ECM Regulators,Matrisome-associated,1.0683021952443705,2.6417300378305963,0.8571428571428571,increase,0.00024083970347188455,0.34510577740472914,9
