Tissue,Age_Group,TGFb_Activity_Score,N_Genes,Median_Zscore,Max_Zscore
Intervertebral_disc_NP,Old,0.723159468265492,17,0.3084041661180553,3.5593600042226363
Intervertebral_disc_NP,Young,1.0109464561747576,16,0.8073298049948284,2.7366168956555854
Intervertebral_disc_IAF,Old,0.8046309850555581,18,0.43866915371711,3.490363028930506
Intervertebral_disc_IAF,Young,1.0312383004549144,17,0.8369483736914811,2.5333050325031405
Intervertebral_disc_OAF,Old,1.1704279224954042,18,1.008495134830557,2.8911115113172445
Intervertebral_disc_OAF,Young,1.1510736764001037,18,0.8587913784700225,2.62000428472958
Intervertebral_disc_Nucleus_pulposus,Old,-0.0763652449735489,1,-0.0763652449735489,-0.0763652449735489
Intervertebral_disc_Nucleus_pulposus,Young,-0.998642487101759,1,-0.998642487101759,-0.998642487101759
Heart_Native_Tissue,Old,-0.40617611057576536,14,-0.3335334916221488,0.7523708806483963
Heart_Native_Tissue,Young,-0.31423315886738895,14,-0.40601960053039604,0.9163405769961692
Skin dermis,Old,1.1218857542252514,16,0.8634326521032663,2.6489979733124014
Skin dermis,Young,1.2055466354545565,16,0.9058813345188375,2.523537921589271
Kidney_Glomerular,Old,-0.2138887817133402,16,-0.11857025319544195,2.1568452505641544
Kidney_Glomerular,Young,-0.0977178971506573,16,-0.167388050459982,1.7603871718067172
Kidney_Tubulointerstitial,Old,0.3860869440352773,16,0.22583479064441003,1.755949850720179
Kidney_Tubulointerstitial,Young,0.49687890381564415,16,0.4152000487517514,1.9235602321213547
Ovary_Cortex,Old,-0.19444644228989777,15,-0.3350169210649174,2.706356676867334
Ovary_Cortex,Young,0.25555496632831143,15,0.1543102140619604,3.579035955241486
