Protein,Human_Delta,Mouse_Delta,Direction_Human,Direction_Mouse,Conserved,Translatability_Index
TIMP3,,,Not found,Not found,False,0.0
BGN,,,Not found,Not found,False,0.0
ADAMTS4,,,Not found,Not found,False,0.0
MMP9,,,Not found,Not found,False,0.0
MMP3,,,Not found,Not found,False,0.0
MMP2,,,Not found,Not found,False,0.0
LUM,,,Not found,Not found,False,0.0
DCN,,,Not found,Not found,False,0.0
ACAN,,,Not found,Not found,False,0.0
FRZB,,,Not found,Not found,False,0.0
CILP,,,Not found,Not found,False,0.0
COMP,,,Not found,Not found,False,0.0
COL3A1,,,Not found,Not found,False,0.0
COL1A1,,,Not found,Not found,False,0.0
FN1,,,Not found,Not found,False,0.0
VCAN,,,Not found,Not found,False,0.0
ADAMTS5,,,Not found,Not found,False,0.0
