Age,NAD+_Level,ATP_Production,Glycine_Availability,mTOR_Activity,Metabolic_Capacity
30,100.0,100.0,100.0,100.0,100.0
35,92.77434863285528,95.1229424500714,96.07894391523232,94.17645335842487,94.42026677960943
40,86.07079764250578,90.48374180359595,92.31163463866358,88.69204367171575,89.16709749590639
45,79.85162187593771,86.07079764250578,88.69204367171575,83.5270211411272,84.22053881810163
50,74.08182206817179,81.87307530779819,85.21437889662113,78.66278610665535,79.56190221344629
55,68.72892787909723,77.8800783071405,81.87307530779819,74.08182206817179,75.17368133106531
60,63.76281516217733,74.08182206817179,78.66278610665535,69.76763260710311,71.03947491185643
65,59.15553643668151,70.46880897187134,75.57837414557255,65.70468198150567,67.1439148479815
70,54.88116360940264,67.03200460356393,72.6149037073691,61.878339180614084,63.4725990414866
75,50.91564206075492,63.76281516217733,69.76763260710311,58.274825237398964,60.012028735780085
80,47.236655274101466,60.653065971263345,67.03200460356393,54.88116360940264,56.749550016202754
