Protein,Records,Mean_Delta_Z,Studies,Tissues,Direction
COL1A1,8,-0.05940191925367057,5,8,DECREASE
COL1A2,8,-0.19006324886830506,5,8,DECREASE
COL2A1,7,0.11355528005198055,4,7,INCREASE
COL3A1,10,-0.24409723861614108,5,8,DECREASE
COL4A1,7,0.047400373923812134,5,7,INCREASE
PLOD1,5,0.10890747088501046,3,5,INCREASE
PLOD2,3,-0.10407963200602931,1,3,DECREASE
PLOD3,5,-0.3200574616263775,3,5,DECREASE
P4HA1,5,-0.27815130749453176,3,5,DECREASE
P4HA2,5,-0.31378495873038237,3,5,DECREASE
SERPINH1,8,-0.3356702643667253,5,8,DECREASE
