Canonical_Gene_Symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AMBP,0.2026731877214125,0.03246304826956514,0.2610512803850757,-0.009842525099884813,-0.09612366224043407,0.12931177440693034,0.3575621532817911,0.008792420043567728,0.00021490226704656834,-0.0569029027104217
CILP,-0.12491860552260736,0.19630916177096835,0.02635709575506044,0.1766937563980676,0.12271918835384678,0.40554244493676034,0.050605536682445815,0.5805069089204138,0.015899091121694672,0.14992505201122935
CXCL10,0.1983209648482196,-0.012362797239438426,0.2923491040862043,-0.010788178856731775,-0.008725411864544317,-0.00394592794788251,-0.3396604520493083,-0.00597120640272474,-5.908546802433909e-05,-0.08672526876561842
Col14a1,-0.02046847076763916,0.4470643320534566,-0.012833460079397351,0.044382119273969275,-0.2255478607440519,-0.14269090328729697,0.0001447838956629291,-0.1759706523401373,-0.08290208991147438,-0.1813820129125596
Ctsf,0.0025143034567549952,-0.1531979005117474,0.006084824010371742,0.6286677827587143,-0.1308531156528768,-0.032373507312626865,0.027035606523752538,-0.3033246794508968,0.3586953155553153,-0.29273617113698264
ELN,-0.009877867362132583,0.09918738347856126,0.5060103357307094,0.07737700254308157,0.24036505642565228,-0.19598004712688008,0.1430240970693149,0.028007387456155625,0.0006969257910198248,-0.027517407970322007
EMILIN3,0.06365548850186518,0.09117157327828436,-0.4438664307043814,0.10210559309581071,0.31503042169054435,-0.25333745309694083,0.15971172888718616,0.11050562027631307,0.0030478142784508173,-0.10683933647630336
Eln,-0.020706415765479713,0.4193315259546957,-0.011758658540543773,-0.24176442400544046,0.044670950744810936,0.021880379424575096,0.024652450068066722,-0.3597361261782379,-0.2531974013776389,-0.3582463554836023
FGA,0.2523780680052747,0.00859679284107184,-0.06941468746335126,-0.0036066958058535775,-0.024139035529306054,0.02723352357979602,0.07971317565637637,-0.019181361050429897,-0.0005832175122388669,0.042620123443324595
FGB,0.2478795766600923,0.03173068514490552,0.037280048071603365,0.006828616829561467,-0.008254987453678126,0.026011094176544024,0.17172808619825622,-0.05498372007347588,-0.0016242171261137135,0.019418288902407873
FGG,0.2543703588125103,0.016173847021949107,0.02279141637363895,0.007319021175262112,0.02221129078833531,-0.018149587969379887,0.018051789706106786,0.010536276801214297,0.00025734893073998196,0.05855018675368291
Fbn2,-0.00016054216360510926,0.027913508410824215,-0.001420447209524548,-0.5844272584157132,0.3332309018868088,0.18049082916482917,0.013016207290537783,-0.11916491543853268,0.5771267010615775,-0.10891357960313024
HPX,0.23484807732684415,0.1284193343240937,-0.02901827360686068,0.08763368327275992,0.09662249018710557,0.10949114067242138,0.04586195701426859,0.1337465605850653,0.0037903757832922287,-0.23642186136998697
HRG,0.24674395401495341,-0.048649627687500224,0.04696168263258052,-0.02535708374871239,0.028129338804378033,-0.12709433160302272,-0.009556797090337356,0.16406404743384903,0.004787231976529869,-0.15907745239608234
IGFALS,0.22043047604919336,-0.03324373559107681,0.23256357714696296,-0.014784618955589402,0.07746908710986637,-0.18402879110399914,-0.13310376375561891,0.017254049744604476,0.0005024691151505953,0.0845041075015249
ITIH1,0.24425331344484574,-0.012935954897162772,-0.12974410655851878,-0.015401506035341317,-0.07378629559178466,0.09105881421077064,-0.05617600344373582,0.08072356232925187,0.002382638341704003,-0.13279641105521497
ITIH2,0.20774425755011633,-0.048769457986533205,-0.28202787818740155,-0.029498128177974356,-0.08208736583809258,0.06882235833577739,-0.2111083942497872,0.11619086202281101,0.0034773861289327263,-0.2122631594452068
ITIH4,0.24471636195535282,0.03027056901495745,0.009683441929627872,0.02584813345811031,0.07037662764554022,-0.03825208627484136,-0.2455253554889316,-0.060268413599113356,-0.0017479782177454715,0.08070155929800119
KNG1,0.19843953829690444,0.09987388009261515,-0.021824550915646373,0.03597421656093448,-0.08510166764280998,0.2619231300602684,-0.13676941354844732,-0.396925830234077,-0.011630319057637969,0.5995966695154057
PLG,0.243640658212158,-0.06661866789023421,-0.023665988940954744,-0.039999196780481354,0.030264350385832358,-0.18883160283568629,0.0949643821272716,0.05012441670898672,0.0014635405361940186,0.008608002022540027
