Component,Variance_Explained,Cumulative_Variance
PC1,0.5104462065299559,0.5104462065299559
PC2,0.12825230253978925,0.6386985090697451
PC3,0.10192100363829298,0.7406195127080382
PC4,0.05733087215292102,0.7979503848609591
PC5,0.050889509598656804,0.8488398944596159
PC6,0.04899953765839695,0.8978394321180129
PC7,0.03010983806056769,0.9279492701785805
PC8,0.01669920238219366,0.9446484725607742
PC9,0.01643386734855642,0.9610823399093307
PC10,0.013035371444224814,0.9741177113535555
PC11,0.0111869850830682,0.9853046964366237
PC12,0.0071636545232563065,0.99246835095988
PC13,0.005677806979214904,0.9981461579390949
PC14,0.0018538420609049532,0.9999999999999999
PC15,2.2286936424093973e-33,0.9999999999999999
PC16,1.851189520449594e-33,0.9999999999999999
PC17,4.514430311950749e-34,0.9999999999999999
PC18,7.182302281641089e-35,0.9999999999999999
