Protein,Mean_Delta,Std_Delta,Consistency_Score,Direction_Consistency,N_Observations,N_Tissues,N_Studies,Matrisome_Category
Col14a1,-1.1321262958691234,0.40111588024838984,2.8154229949083356,1.0,7,7,4,Collagens
COL11A1,-0.3995032134135438,0.17703608908180687,2.243945120755678,1.0,5,5,2,Collagens
GPC1,-0.30287485203922204,0.14377294201624496,2.0920680882843183,1.0,5,5,3,ECM-affiliated Proteins
S100a6,0.2158892192116991,0.10235078661011966,2.088897688085522,1.0,6,6,5,Secreted Factors
Serpina3m,0.22314271543849673,0.11395743182855228,1.9410899485932511,1.0,6,6,3,ECM Regulators
Adipoq,-0.16606423838464235,0.0857936869283886,1.9133216281232297,1.0,6,6,3,ECM Glycoproteins
Lgals9,-0.2686754309316589,0.1492390139057955,1.7883199839166057,1.0,5,5,5,ECM-affiliated Proteins
EMILIN3,-0.7878585169964121,0.4552671193104349,1.7267483972702602,1.0,5,5,3,ECM Glycoproteins
Anxa7,-0.10858801078068565,0.06300869806927499,1.6964571074881667,1.0,6,6,5,ECM-affiliated Proteins
ITIH5,-0.2880071297414567,0.17410930157914667,1.6447277622844152,1.0,6,6,3,ECM Regulators
Itih3,0.4243490387790778,0.26524457632092524,1.593831674030336,1.0,8,8,4,ECM Regulators
TNXB,-0.8810209782365742,0.553150022388375,1.5898600426638843,1.0,6,6,4,ECM Glycoproteins
SERPINA6,0.9884111368166959,0.6805541737716405,1.450231213972244,1.0,5,5,3,ECM Regulators
Hpx,0.25471393542323534,0.17502681448395135,1.4470178090194208,1.0,7,7,4,ECM-affiliated Proteins
Fbln5,-0.4971408719424292,0.34936419403783264,1.4189260215578634,1.0,9,9,6,ECM Glycoproteins
Ltbp4,-0.4602445238722049,0.34318335386818133,1.3372073887352314,1.0,6,6,5,ECM Glycoproteins
Ambp,0.4187678254194361,0.31846308787950023,1.3108488626936239,1.0,7,7,5,ECM Regulators
VWA1,-0.30425662999667724,0.2318938999103431,1.3064173433216009,1.0,7,7,4,ECM Glycoproteins
