Protein,Lemma3_Role,All_Roles,Is_YAP_Target
PRSS2,Other,Other,False
FLG,Other,Other,False
HRNR,Other,Other,False
MASP2,Other,Other,False
MATN2,Other,Other,False
AGRN,Other,Other,False
CCL21,Pathology,Pathology,False
CCN1,YAP_Target,YAP_Target,True
NELL1,Other,Other,False
PLXNB2,Other,Other,False
LAMA5,Structural,Structural,False
P4HA2,Other,Other,False
PLOD3,Other,Other,False
SRPX2,Other,Other,False
SLIT3,Other,Other,False
CILP,Other,Other,False
CCN5,Other,Other,False
ECM2,Other,Other,False
MATN4,Other,Other,False
CXCL14,Pathology,Pathology,False
EFEMP2,Other,Other,False
F13A1,Other,Other,False
F2,Other,Other,False
F9,Other,Other,False
F10,Other,Other,False
PLG,Other,Other,False
F12,Other,Other,False
SERPINC1,Entropy_Exporter,Entropy_Exporter,False
SERPINA1,Entropy_Exporter,Entropy_Exporter,False
SERPINA3,Entropy_Exporter,Entropy_Exporter,False
AGT,Other,Other,False
A2M,Entropy_Exporter,Entropy_Exporter,False
TIMP1,Entropy_Exporter,Entropy_Exporter,False
CST3,Other,Other,False
KNG1,Other,Other,False
TGFB1,Pathology,Pathology,False
COL1A1,Structural,YAP_Target;Structural,True
COL2A1,Structural,Structural,False
COL3A1,Structural,YAP_Target;Structural,True
FGA,Other,Other,False
FGB,Other,Other,False
FGG,Other,Other,False
C1QA,Other,Other,False
C1QB,Other,Other,False
C1QC,Other,Other,False
LRG1,Other,Other,False
FN1,Structural,YAP_Target;Structural,True
AMBP,Other,Other,False
CXCL10,Pathology,Pathology,False
HPX,Other,Other,False
SLPI,Other,Other,False
VTN,Other,Other,False
ANXA1,Other,Other,False
HRG,Other,Other,False
S100B,Other,Other,False
VWF,Other,Other,False
SERPINE1,Entropy_Exporter,YAP_Target;Entropy_Exporter,True
SERPINA5,Other,Other,False
SERPING1,Entropy_Exporter,Entropy_Exporter,False
CLEC3B,Other,Other,False
SERPINA7,Other,Other,False
SERPIND1,Other,Other,False
COL5A2,Structural,Structural,False
S100A9,Other,Other,False
S100A6,Other,Other,False
SERPINE2,Other,Other,False
CTSD,Other,Other,False
ANXA2,Other,Other,False
DCN,Other,Other,False
CTSB,Other,Other,False
LAMB1,Structural,Structural,False
THBS1,Other,Other,False
COL1A2,Structural,Structural,False
ANXA6,Other,Other,False
SERPINA6,Other,Other,False
MMP2,Entropy_Exporter,Entropy_Exporter,False
COL4A2,Structural,Structural,False
SERPINF2,Other,Other,False
ANXA5,Other,Other,False
LGALS1,Other,Other,False
SPARC,Other,Other,False
ANXA4,Other,Other,False
HAPLN1,Other,Other,False
LAMC1,Structural,Structural,False
COL11A1,Structural,Structural,False
COL6A1,Structural,Structural,False
COL6A2,Structural,Structural,False
COL6A3,Structural,Structural,False
VCAN,Other,Other,False
P4HA1,Other,Other,False
COL11A2,Other,Other,False
NID1,Other,Other,False
ELN,Structural,Structural,False
ACAN,Other,Other,False
LGALS3,Other,Other,False
IGFBP3,Other,Other,False
ITIH2,Other,Other,False
ITIH1,Other,Other,False
ANXA7,Other,Other,False
PZP,Entropy_Exporter,Entropy_Exporter,False
OGN,Other,Other,False
