Protein,N_Studies,N_Tissues,Matrisome_Category,Matrisome_Division,Shannon_Entropy,Variance_Entropy_CV,Predictability_Score,Aging_Direction,Entropy_Transition,Mean_Zscore_Delta,N_Observations
PRSS2,2,5,ECM Regulators,Matrisome-associated,2.8470970057889673,0.35409758910622796,1.0,decrease,0.008129092274689553,-0.2814900032700739,5
FLG,4,5,Secreted Factors,Matrisome-associated,3.019177118612367,0.2579155715059585,0.8,decrease,0.016424530432297774,-0.8005161058518737,5
HRNR,3,6,Secreted Factors,Matrisome-associated,3.201631572236649,0.3762088297106757,0.8333333333333334,decrease,0.009710987412051564,-0.25842024242106115,6
MASP2,3,6,ECM Regulators,Matrisome-associated,3.0710280060193376,0.34679979117529175,0.6666666666666666,increase,0.25046540060231726,1.6322555280848132,6
MATN2,4,7,ECM Glycoproteins,Core matrisome,3.91470133424048,0.49802894821792004,0.6666666666666666,decrease,0.03997848332830123,-0.19870271154385497,9
AGRN,5,8,ECM Glycoproteins,Core matrisome,4.146308728056413,0.39538674449230676,0.9,decrease,0.006152345098861256,-0.935538073872047,10
CCL21,2,4,Secreted Factors,Matrisome-associated,2.8981791578479363,0.0287893160821515,0.75,decrease,0.00241598915363846,-0.12118842736808902,4
CCN1,2,4,ECM Glycoproteins,Core matrisome,2.784406397881737,0.11722652515401313,0.75,increase,0.022137475953847602,-0.13833568381842734,4
NELL1,2,4,ECM Glycoproteins,Core matrisome,2.7762107567531804,0.10795738117190573,0.5,mixed,0.00957019717761061,-0.07378845370389042,4
PLXNB2,4,4,ECM-affiliated Proteins,Matrisome-associated,2.7454169582701837,0.525638436021978,0.5,mixed,0.571470928397598,-0.698838068675959,4
LAMA5,5,8,ECM Glycoproteins,Core matrisome,3.7989463680139495,0.3916811055839678,0.875,decrease,0.01799037411765525,-0.19446690804987243,8
P4HA2,3,5,ECM Regulators,Matrisome-associated,3.0680549384366413,0.4456526063165441,1.0,decrease,0.015582686144488933,-0.31432763794123736,5
PLOD3,3,5,ECM Regulators,Matrisome-associated,3.1827467818186577,0.32383001629893127,0.6,increase,0.28824439984467465,0.3698037724245488,5
SRPX2,2,4,ECM Glycoproteins,Core matrisome,2.6575861564991774,0.5092698740800747,1.0,decrease,0.005171195139675344,-0.33265017908150757,4
SLIT3,2,4,ECM Glycoproteins,Core matrisome,2.8389756298294277,0.3458898343971487,0.75,decrease,0.5048141016162118,-0.031210880617687398,4
CILP,3,5,ECM Glycoproteins,Core matrisome,3.1709532550731745,0.3403037133834948,0.8,decrease,0.31215661765059705,-0.20412026491749238,5
CCN5,3,6,ECM Glycoproteins,Core matrisome,3.2111154983419494,0.5749375521912526,0.6666666666666666,increase,0.05281569545476161,0.7539205979547926,6
ECM2,2,4,ECM Glycoproteins,Core matrisome,2.665799620101553,0.4961239833413681,1.0,decrease,0.0006173721303806556,-0.4048102931742976,4
MATN4,2,4,ECM Glycoproteins,Core matrisome,2.8399915198746006,0.33669288019260174,0.75,decrease,0.4888135254494901,0.36518562483231987,4
