Protein,N_Studies,N_Tissues,Matrisome_Category,Matrisome_Division,Shannon_Entropy,Variance_Entropy_CV,Predictability_Score,Aging_Direction,Entropy_Transition,Mean_Zscore_Delta,N_Observations,Shannon_Entropy_Young,Shannon_Entropy_Old,Conditional_Entropy_Delta,Entropy_Cluster
PRSS2,2,5,ECM Regulators,Matrisome-associated,2.847097007217235,0.3732516318500356,1.0,decrease,0.009088601460787105,-0.2814900032700739,5,1.7942948307704822,1.8272628153094956,0.032967984539013395,2
FLG,4,5,Secreted Factors,Matrisome-associated,3.019177120040635,0.2718668833276176,0.8,decrease,0.018363183272565975,-0.8005161058518737,5,2.0409138710758667,1.9843500004220949,0.056563870653771886,2
HRNR,3,6,Secreted Factors,Matrisome-associated,3.20163157395057,0.39293730735522425,0.8333333333333334,decrease,0.010637853722458845,-0.25842024242106115,6,2.211230942414354,2.1914616618777343,0.01976928053661986,2
MASP2,3,6,ECM Regulators,Matrisome-associated,3.0710280077332603,0.3622205684023218,0.6666666666666666,increase,0.27437109956891437,1.6322555280848132,6,2.4922910721548805,2.042647723139118,0.44964334901576253,1
MATN2,4,7,ECM Glycoproteins,Core matrisome,3.914701336811363,0.5124675598763104,0.6666666666666666,decrease,0.042403584994492705,-0.19870271154385497,9,2.8866579630269897,2.9270072081341034,0.040349245107113685,4
AGRN,5,8,ECM Glycoproteins,Core matrisome,4.146308730912948,0.4056582405505308,0.9,decrease,0.006485141154591756,-0.9355380738720468,10,3.147925871264249,3.139932703637095,0.007993167627153852,4
CCL21,2,4,Secreted Factors,Matrisome-associated,2.898179158990551,0.030777073479700566,0.75,decrease,0.0027897439764247647,-0.12118842736808902,4,1.8937317940310743,1.831297873774475,0.06243392025659933,2
CCN1,2,4,ECM Glycoproteins,Core matrisome,2.784406399024351,0.1253204267909584,0.75,increase,0.025562155402265543,-0.13833568381842734,4,1.7880080288802203,1.764748777511135,0.023259251369085243,2
NELL1,2,4,ECM Glycoproteins,Core matrisome,2.776210757895795,0.11541129506246604,0.5,mixed,0.01105071183338259,-0.07378845370389042,4,1.7827028744397861,1.7726325945325545,0.010070279907231638,3
PLXNB2,4,4,ECM-affiliated Proteins,Matrisome-associated,2.745416959412798,0.5619311248325531,0.5,mixed,0.6598777886887971,-0.698838068675959,4,1.540647984200558,1.8351021006179966,0.29445411641743857,1
LAMA5,5,8,ECM Glycoproteins,Core matrisome,3.7989463702991784,0.4045265063868843,0.875,decrease,0.019232518916614705,-0.19446690804987243,8,2.7925150045470017,2.8036568481208843,0.011141843573882593,4
P4HA2,3,5,ECM Regulators,Matrisome-associated,3.0680549398649095,0.46975909371687363,1.0,decrease,0.017421972745560732,-0.31432763794123736,5,2.05287729852721,2.052957443583827,8.014505661702032e-05,4
PLOD3,3,5,ECM Regulators,Matrisome-associated,3.182746783246926,0.341346808744691,0.6,increase,0.3222670360931612,0.3698037724245488,5,2.0570880846063058,2.0386048437712767,0.018483240835029058,1
SRPX2,2,4,ECM Glycoproteins,Core matrisome,2.6575861576417923,0.5444323960608991,1.0,decrease,0.005971181811847304,-0.33265017908150757,4,1.6533756594607842,1.6553410267388062,0.00196536727802199,4
SLIT3,2,4,ECM Glycoproteins,Core matrisome,2.838975630972042,0.36977178682345907,0.75,decrease,0.5829091149176779,-0.031210880617687398,4,1.6597689709922026,1.9702542578524755,0.310485286860273,1
CILP,3,5,ECM Glycoproteins,Core matrisome,3.170953256501443,0.3587116101683229,0.8,decrease,0.34900170834657285,-0.20412026491749238,5,2.089503169192597,2.0311399617205903,0.05836320747200663,1
