Gene_Symbol,Compartment_A,Compartment_B,Delta_z_A,Delta_z_B,Antagonism_Magnitude,Tissue,Matrisome_Category,Mechanical_Stress_A,Mechanical_Stress_B,Protein_Type
Cilp2,Lung,Skeletal_muscle_Soleus,-6.998662750587459,1.8505495556824891,8.849212306269948,Lung,ECM Glycoproteins,0.5,1.0,Other
F13b,Lung,Skeletal_muscle_Soleus,6.775994369178031,-1.0222874060139708,7.798281775192002,Lung,ECM Regulators,0.5,1.0,Other
Fmod,Lung,Hippocampus,-6.330935460589047,1.4527235922205133,7.78365905280956,Lung,Proteoglycans,0.5,0.0,Other
MFAP2,NP,Glomerular,-4.359037111677201,2.443233247881294,6.802270359558495,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
Fmod,Lung,Cortex,-6.330935460589047,0.4113031421797962,6.742238602768843,Lung,Proteoglycans,0.5,1.0,Other
MFAP2,IAF,Glomerular,-4.27978626107216,2.443233247881294,6.723019508953454,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
Fmod,Lung,Skeletal_muscle_Soleus,-6.330935460589047,0.3254699920473745,6.656405452636422,Lung,Proteoglycans,0.5,1.0,Other
FBN3,IAF,Skin dermis,5.834226743202933,-0.3179696570715996,6.152196400274533,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
Col11a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,4.389677342903284,-1.7296532221214134,6.119330565024698,Skeletal_muscle_Soleus,Collagens,1.0,0.0,Other
SERPIND1,NP,Tubulointerstitial,4.781783269160506,-1.0948863088126666,5.876669577973173,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
SERPIND1,NP,Cortex,4.781783269160506,-0.8127812039781145,5.594564473138621,Intervertebral_disc_NP,ECM Regulators,1.0,1.0,Other
COL2A1,Skin dermis,Cortex,-2.4974216739775428,2.993756409406916,5.491178083384458,Skin dermis,Collagens,0.5,1.0,Structural
Serpina1e,Lung,Hippocampus,3.060987042523208,-2.240111896616236,5.301098939139444,Lung,ECM Regulators,0.5,0.0,Other
SERPIND1,NP,Skin dermis,4.781783269160506,-0.3722782758676664,5.154061545028172,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
Fgg,Skeletal_muscle_EDL,Cortex,-0.8738046566794411,4.192396192027111,5.066200848706552,Skeletal_muscle_EDL,ECM Glycoproteins,0.5,1.0,Other
S100A16,OAF,Glomerular,3.789596707469445,-1.208066958042798,4.997663665512244,Intervertebral_disc_OAF,Secreted Factors,0.0,0.5,Other
Serpina1e,Lung,Cortex,3.060987042523208,-1.924590566290156,4.985577608813363,Lung,ECM Regulators,0.5,1.0,Other
Col2a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,3.0166670716663986,-1.9666161931577677,4.983283264824166,Skeletal_muscle_Soleus,Collagens,1.0,0.0,Other
Pcolce,Ovary,Skeletal_muscle_EDL,0.4445014220122675,-4.4983014621325434,4.942802884144811,Ovary,ECM Glycoproteins,0.5,0.5,Other
