Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
Col11a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,4.389677342903284,-1.7296532221214134,6.119330565024698,Skeletal muscle
Col2a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,3.0166670716663986,-1.9666161931577677,4.983283264824166,Skeletal muscle
Fbn2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.2561371732170867,-4.587837044093266,4.843974217310353,Skeletal muscle
Cilp2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.8505495556824891,-2.7456304785341,4.596180034216589,Skeletal muscle
Postn,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.883120469587075,-3.5927136237417794,4.475834093328855,Skeletal muscle
AGRN,Cortex,Ovary,-3.91066515747497,0.3632321556911388,4.273897313166109,Ovary
LMAN1,IAF,OAF,3.3661312232426197,-0.6657123260892428,4.031843549331862,Intervertebral_disc
Col5a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.7998069627267284,-2.057731792667324,3.8575387553940526,Skeletal muscle
LMAN1,NP,OAF,3.06065148946521,-0.6657123260892428,3.726363815554453,Intervertebral_disc
CPN2,NP,OAF,2.8946965942407057,-0.7452334627617752,3.6399300570024806,Intervertebral_disc
F9,IAF,OAF,3.2417325261994367,-0.212911878623654,3.4546444048230907,Intervertebral_disc
Col12a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,2.9463593942891997,-0.4825946532692309,3.4289540475584306,Skeletal muscle
MFAP4,IAF,OAF,3.1735832929769834,-0.2021437645214835,3.375727057498467,Intervertebral_disc
Col1a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.5507906286192616,-1.7752984428959928,3.3260890715152547,Skeletal muscle
DCN,Cortex,Ovary,-2.2540385476124856,0.9701132248454264,3.224151772457912,Ovary
Col5a2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,1.1632487729075545,-2.057731792667324,3.2209805655748784,Skeletal muscle
WISP2,NP,OAF,3.110221490321502,-0.0043253313020124,3.1145468216235144,Intervertebral_disc
MMRN2,IAF,OAF,-0.3512618417962692,2.7541362622797605,3.1053981040760297,Intervertebral_disc
Postn,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-2.2160391604116567,0.883120469587075,3.0991596299987316,Skeletal muscle
VCAN,Glomerular,Tubulointerstitial,2.0207243217245145,-1.065702169049553,3.0864264907740675,Kidney
Col1a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.1637489470878175,-1.9078132273284791,3.0715621744162966,Skeletal muscle
Col12a1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.1029298489217931,2.9463593942891997,3.0492892432109926,Skeletal muscle
F9,NP,OAF,2.827114215336088,-0.212911878623654,3.040026093959742,Intervertebral_disc
Mbl2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,-2.1848179776085517,0.8494518156907782,3.03426979329933,Skeletal muscle
Col2a1,Skeletal_muscle_EDL,Skeletal_muscle_TA,1.0631593666051609,-1.9666161931577677,3.0297755597629283,Skeletal muscle
MMRN2,NP,OAF,-0.1850723790376429,2.7541362622797605,2.9392086413174034,Intervertebral_disc
CPN2,IAF,NP,-0.0414516062036289,2.8946965942407057,2.9361482004443347,Intervertebral_disc
FBLN1,Cortex,Ovary,1.50443532640121,-1.424534833263253,2.928970159664463,Ovary
MFAP4,NP,OAF,2.705480438027637,-0.2021437645214835,2.9076242025491204,Intervertebral_disc
VTN,Cortex,Ovary,2.1977367672868007,-0.6447504135107811,2.8424871807975816,Ovary
S100A13,Cortex,Ovary,-1.838029778681052,0.9717972680932108,2.809827046774263,Ovary
Col6a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.8302392597311994,-1.9211471471602124,2.751386406891412,Skeletal muscle
Col2a1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.7556489499913077,-1.9666161931577677,2.7222651431490754,Skeletal muscle
PRELP,Glomerular,Tubulointerstitial,2.596536473858281,-0.0746170666868551,2.671153540545136,Kidney
PLOD3,IAF,OAF,-1.399582003964081,1.2686927352940995,2.6682747392581803,Intervertebral_disc
ANXA5,Cortex,Ovary,1.3713612027354216,-1.2578118504713311,2.6291730532067525,Ovary
OGN,Glomerular,Tubulointerstitial,2.2016235494540672,-0.4052049468240076,2.606828496278075,Kidney
COL1A1,Cortex,Ovary,-2.060007760496083,0.5309890121124021,2.5909967726084853,Ovary
C1QC,NP,OAF,2.47013308061871,-0.0932418992281385,2.5633749798468486,Intervertebral_disc
S100A8,IAF,OAF,2.443900029312342,-0.0854573444480114,2.5293573737603534,Intervertebral_disc
Col6a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.0203679752205477,-1.49847146934696,2.518839444567508,Skeletal muscle
MFAP2,Glomerular,Tubulointerstitial,2.443233247881294,-0.0694148195376458,2.5126480674189398,Kidney
Col1a2,Decellularized_Tissue,Native_Tissue,-1.314849870936404,1.1597009542595,2.4745508251959043,Heart
LUM,Glomerular,Tubulointerstitial,2.4099045749187624,-0.0580292253897175,2.46793380030848,Kidney
Col5a1,Skeletal_muscle_EDL,Skeletal_muscle_TA,1.2834853572986125,-1.14331892379725,2.4268042810958628,Skeletal muscle
PLOD3,IAF,NP,-1.399582003964081,1.010614393437008,2.410196397401089,Intervertebral_disc
Col5a2,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.3381486158454886,-2.057731792667324,2.395880408512813,Skeletal muscle
SERPINB6,IAF,NP,-0.3090791690305959,2.0731015209571733,2.382180689987769,Intervertebral_disc
CTSG,IAF,OAF,2.3216443283538393,-0.0533929291341823,2.3750372574880214,Intervertebral_disc
SERPINC1,Cortex,Ovary,-1.9420900810408868,0.394725359048408,2.336815440089295,Ovary
C1QA,IAF,OAF,2.1377028287495814,-0.1883321041902641,2.3260349329398453,Intervertebral_disc
S100A16,Glomerular,Tubulointerstitial,-1.208066958042798,1.1132166447527378,2.321283602795536,Kidney
COL28A1,IAF,NP,-1.4048648088927915,0.8961650074272642,2.3010298163200558,Intervertebral_disc
Eln,Decellularized_Tissue,Native_Tissue,-2.2103414827256844,0.0595286315701074,2.269870114295792,Heart
SERPINB6,NP,OAF,2.0731015209571733,-0.1823196703594638,2.255421191316637,Intervertebral_disc
Col1a2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.3440345391881427,-1.9078132273284791,2.251847766516622,Skeletal muscle
Anxa5,Decellularized_Tissue,Native_Tissue,1.9167199163841289,-0.3274037489300911,2.24412366531422,Heart
AMBP,Cortex,Ovary,-0.4812162765490885,1.7473701835186193,2.228586460067708,Ovary
TNXB,Cortex,Ovary,-0.9536573308915288,1.2728891259639628,2.2265464568554916,Ovary
MASP2,Glomerular,Tubulointerstitial,1.7361762983941664,-0.4891587214324921,2.2253350198266584,Kidney
Col5a1,Decellularized_Tissue,Native_Tissue,-1.7262603198408415,0.4960923849909017,2.222352704831743,Heart
F2,Glomerular,Tubulointerstitial,1.4353041167660954,-0.7512171224286393,2.1865212391947346,Kidney
Serpinf2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.4769528276100148,1.709162494944536,2.186115322554551,Skeletal muscle
GPC1,Cortex,Ovary,-0.9529487717951464,1.2282147842588815,2.181163556054028,Ovary
ANXA4,Cortex,Ovary,1.3198777097724466,-0.8349807613649501,2.1548584711373966,Ovary
MME,Glomerular,Tubulointerstitial,-1.7464738371031294,0.400924080619393,2.1473979177225226,Kidney
Col6a1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.2194430664077727,-1.9211471471602124,2.140590213567985,Skeletal muscle
Col3a1,Decellularized_Tissue,Native_Tissue,-1.8892767218293791,0.2099621559161006,2.0992388777454796,Heart
Fgb,Decellularized_Tissue,Native_Tissue,1.091960151056076,-1.00199447545536,2.0939546265114357,Heart
Serpina1d,Decellularized_Tissue,Native_Tissue,0.8194337834799941,-1.2623094544850455,2.0817432379650396,Heart
ANXA6,Cortex,Ovary,1.253466524656303,-0.8045493848874292,2.058015909543732,Ovary
COL3A1,Cortex,Ovary,-1.9449897164965837,0.1060918368337861,2.05108155333037,Ovary
COL5A2,Cortex,Ovary,-1.7676713454124815,0.269370421743459,2.0370417671559404,Ovary
Hmcn2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.2500438738696598,-0.7827090588731711,2.032752932742831,Skeletal muscle
LAMA2,NP,OAF,1.6374362781567042,-0.3937726564926287,2.031208934649333,Intervertebral_disc
COL1A2,Cortex,Ovary,-1.491471787411,0.5384340845058682,2.029905871916868,Ovary
S100A16,Cortex,Ovary,-0.8011669011945406,1.1409060202065786,1.9420729214011192,Ovary
Itih5,Cortex,Hippocampus,1.1591349657632295,-0.7820368796671923,1.9411718454304219,Brain
