Protein,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Is_Serpin,Degree,Avg_Centrality,Is_Hub
A2M,0.13454545454545455,0.0014410751148496324,0.06148180747010524,True,74,0.06582277904346981,False
ABI3BP,0.10363636363636364,0.0014888651474379163,0.009996248681451516,False,57,0.03837382582175102,False
ACAN,0.11636363636363636,0.003094555388572978,0.009854849254373826,False,64,0.04310434700219439,False
ADAM10,0.056363636363636366,0.0023020775141805,0.011477824591804308,False,31,0.023381179489873727,False
ADAM15,0.07454545454545454,0.002346643328352824,0.018484204171804297,False,41,0.03179210068187056,False
ADAM17,0.056363636363636366,0.004180075113127518,0.014817495184569854,False,31,0.02512040222044458,False
ADAMTSL2,0.24363636363636362,0.0028090830593427234,0.11971830539044712,False,134,0.12205458402871783,True
ADAMTSL4,0.07636363636363637,0.0010781466795710573,0.015717709463314362,False,42,0.031053164168840592,False
ADAMTSL5,0.06909090909090909,0.0024042855248161913,0.012679485997225313,False,38,0.028058226870983537,False
ADIPOQ,0.08545454545454545,0.010783368465158195,0.009226700129667696,False,47,0.035154871349790444,True
AEBP1,0.12545454545454546,0.0021506417126408253,0.05521329166469422,False,69,0.060939492943960165,False
AGRN,0.10727272727272727,0.001788459738186136,0.01075191959332607,False,59,0.039937702201413156,False
AGT,0.15272727272727274,0.0016521338989928796,0.0717486712172108,False,84,0.07537602594782548,False
AMBP,0.13272727272727272,0.0014973283925206482,0.05865106553169002,False,73,0.0642918888838278,False
ANGPTL2,0.09090909090909091,0.002093270018118975,0.011130623026230387,False,50,0.034710994651146757,False
ANGPTL4,0.24363636363636362,0.0028090830593427234,0.11971830539044712,False,134,0.12205458402871783,True
ANGPTL5,0.07272727272727272,0.00022243154184092105,0.0029464281428055916,False,40,0.025298710803973074,False
ANGPTL7,0.24363636363636362,0.0028090830593427234,0.11971830539044712,False,134,0.12205458402871783,True
ANXA1,0.13272727272727272,0.0030362826108654836,0.0629589939037903,False,73,0.0662408497473095,False
ANXA11,0.06,0.0010578360141040787,0.005931117404121983,False,33,0.022329651139408685,False
ANXA2,0.05454545454545454,0.0008187338987608113,0.009897724439145172,False,30,0.021753970961120177,False
ANXA2;ANXA2P2,0.24363636363636362,0.0028090830593427234,0.11971830539044712,False,134,0.12205458402871783,True
ANXA3,0.09454545454545454,0.0033439469361137364,0.01489460880838866,False,52,0.037594670096652315,False
ANXA4,0.12363636363636364,0.002429693363133298,0.06232090045398111,False,68,0.06279565248449269,False
ANXA5,0.10545454545454545,0.0017133635794906194,0.009397728634609259,False,58,0.03885521255621511,False
ANXA6,0.09818181818181818,0.0015548276181153804,0.05050999711748867,False,54,0.050082214305807414,False
ANXA7,0.07090909090909091,0.0014671186436781614,0.007058777799449446,False,39,0.026478329117406173,False
ARG1,0.05090909090909091,0.00026856841450356717,0.006124642660892302,False,28,0.019100767328162262,False
