canonical_symbol,Coagulation,Inflammation,ECM Assembly,Fibrinolysis,Complement,Protease Control,Hormone Transport,Metabolic
SERPINB2,0,1,0,1,0,0,0,0
SERPINA1E,0,1,0,0,0,1,0,0
SERPINB5,0,0,1,0,0,0,0,0
SERPINF1,0,0,1,0,0,0,0,0
SERPINH1,0,0,1,0,0,0,0,0
SERPINA4,1,0,0,0,0,0,0,0
SERPINA3N,0,1,1,0,0,0,0,0
SERPINA7,0,0,0,0,0,1,0,0
SERPINE2,0,0,0,1,0,0,0,0
SERPIND1,1,0,0,0,0,0,0,0
SERPINC1,1,0,0,0,0,0,0,0
SERPINB9,0,0,0,0,0,0,0,0
SERPINA6,0,0,0,0,0,0,1,0
SERPINA1,0,1,0,0,0,1,0,0
SERPINB6A,0,1,0,0,0,0,0,0
SERPINB6,0,1,0,0,0,0,0,0
PZP,0,1,0,0,0,1,0,0
SERPINA5,1,0,0,1,0,0,0,0
SERPINB12,0,1,0,0,0,0,0,0
A2M,0,1,0,0,0,1,0,0
SERPINA3K,0,1,1,0,0,0,0,0
SERPINA1A,0,1,0,0,0,1,0,0
SERPINA10,1,0,0,0,0,0,0,0
SERPINA1D,0,1,0,0,0,1,0,0
SERPING1,0,0,0,0,1,0,0,0
SERPINA1B,0,1,0,0,0,1,0,0
SERPINB8,0,0,0,0,0,0,0,0
SERPINB3,0,1,1,0,0,0,0,0
SERPINI2,0,0,0,0,0,0,0,0
SERPINA3,0,1,1,0,0,0,0,0
SERPINF2,1,0,0,1,0,0,0,0
SERPINB1,0,1,0,0,0,0,0,0
SERPINA1C,0,1,0,0,0,1,0,0
SERPINB1A,0,1,0,0,0,0,0,0
SERPINA3M,0,1,1,0,0,0,0,0
SERPINI1,0,0,0,0,0,0,0,0
SERPINB9B,0,0,0,0,0,0,0,0
SERPINE1,0,1,0,1,0,0,0,0
SERPINB7,0,0,0,0,0,0,0,0
SERPINB4,0,1,1,0,0,0,0,0
A2ML1,0,0,0,0,0,1,0,0
SERPINA12,0,0,0,0,0,0,0,1
SERPINA3G,0,1,1,0,0,0,0,0
SERPINB6B,0,1,0,0,0,0,0,0
