Gene_Symbol,N_Tissues_Present,Mean_Zscore_Delta,Pathway,Is_Inflammatory
FREM1,2,-0.6245282270836325,Other,False
VTN,3,0.8703902071521048,Other,False
LAMB1,3,-1.3909596395026498,Other,False
FRAS1,2,0.226626391013399,Other,False
FMOD,3,-2.79242425931983,Other,False
SERPING1,3,0.6182367760183832,Coagulation,False
CILP,2,-4.7713727877044665,Inflammation,True
AGRN,3,-2.409326645642607,Other,False
ANGPTL2,2,1.6762304934411019,Other,False
MGP,2,-0.569096591372779,Other,False
MATN4,2,0.952866532923434,Other,False
Postn,2,-2.904376392076718,Other,False
Itih1,2,1.7608671613605202,Other,False
Hpx,2,0.8993540183463666,Other,False
Sema3c,2,1.38179174525259,Other,False
Eln,2,-2.0621292241078275,Other,False
Bgn,3,1.3007750139769145,Other,False
Fgg,3,1.026076123159646,Other,False
Kng1,3,0.9693334051685514,Other,False
Fbn2,2,-2.93445597629964,Other,False
Serpinf1,3,-2.42694978023301,Coagulation,False
Col2a1,2,-0.4517284132763034,ECM_Structural,False
Ctsd,3,1.277666566330466,Other,False
Serpina1e,3,-1.1437459355582704,Coagulation,False
Comp,2,1.7514318937802664,Other,False
Smoc2,2,2.106749263230141,Other,False
Fbln5,2,-1.800217577104304,Other,False
Lamb1,3,-1.3313529459888789,Other,False
Itih3,3,1.39808301891995,Other,False
Col14a1,2,-3.2322406346368435,ECM_Structural,False
Serpinh1,3,-1.9396831706156201,Coagulation,False
Fbn1,2,-1.2292654102957032,Other,False
Serpinb6a,2,1.701840739634678,Coagulation,False
Fn1,3,-0.6834408300142442,Other,False
Ctsl,3,-0.7558170916540284,Other,False
Pcolce,2,-4.244447474084255,ECM_Structural,False
Kera,2,-2.208549369858435,Other,False
Col5a1,2,0.07008321675068119,ECM_Structural,False
Col3a1,3,-0.9592371411605652,ECM_Structural,False
COL2A1,2,0.2481673677146865,ECM_Structural,False
CTSZ,3,1.0423101839406517,Other,False
S100A13,3,0.05168023472112123,Other,False
Tnc,3,-1.5247357347847332,Other,False
Col6a1,3,-0.20919209468659913,ECM_Structural,False
C1qa,2,0.6066782781626336,Other,False
