Gene_Symbol,Tissue,TSI,Mean_Zscore_Delta,Function_Category
F7,NP,64.0360783607291,-0.1979716648746077,Other
PLXNB2,NP,24.433288998804695,-3.4041581462179216,Other
GDF5,NP,23.838592072169906,-0.1319414455004377,Other
CPAMD8,NP,19.45221052839076,-0.3128624810717794,Other
ANGPTL7,NP,18.16577928018697,-0.4245517986494085,Other
ADAM15,NP,13.67215365732947,-3.5221419873299125,Regulatory
BCAN,NP,11.641802048910192,-0.6314641745984442,Other
SULF2,NP,10.729062771288572,-0.1751568116697225,Other
CHRDL2,NP,9.846663387374097,-1.1077630397744085,Other
WISP2,NP,8.937236866877925,3.110221490321502,Other
MASP1,IAF,62.22522394659157,0.4451482891485664,Other
SCUBE1,IAF,57.5584686317444,-1.061668657686231,Other
PRSS3P2;PRSS2;PRSS1,IAF,29.180927775881607,-0.366414051395858,Other
GDF6,IAF,26.38469074403428,-0.3581627303457484,Other
NPNT,IAF,24.83147306001735,-3.7028236517028135,Other
BMP1,IAF,14.666945175657768,-0.5019391738490555,Other
DSP,IAF,12.294264316880327,-3.4984126014102133,Other
SPP1,IAF,10.332335615301693,-0.8289675229754374,Other
SDC2,IAF,9.059885750785286,-3.1009800291093828,Other
MIF,IAF,7.2474684418285635,-0.3011590113103,Other
HABP2,OAF,291.0248215999269,-0.7545889215034239,Other
GAS6,OAF,77.61217210186955,2.521323716493495,Other
INHBC,OAF,25.873526281768477,3.499158084057323,Other
SPARCL1,OAF,18.826119637246716,2.188081094552323,Signaling
IGF2,OAF,17.10205272747596,-0.3618818405900688,Other
INHBA,OAF,13.623849209884591,0.3258112494628886,Other
TIMP2,OAF,13.407181393291209,-0.2547299958066276,Regulatory
MMP3,OAF,11.957525767968843,-0.3184160672701632,Regulatory
TGM3,OAF,11.187006919236502,-3.6216998175206423,Other
COMP,OAF,10.9978429928947,-0.3062645680864203,Other
CILP2,Lung,91.01849694370387,-6.998662750587459,Other
F13B,Lung,30.222467687579417,6.775994369178031,Other
LTBP2,Lung,15.099455314217595,-0.8674063333795893,Other
ADAMTSL4,Lung,9.13925525200555,-5.624072040463722,Regulatory
FMOD,Lung,8.468669353457146,-6.330935460589047,Proteoglycan
FREM1,Lung,4.810893763584392,-2.1489945630225167,Other
MFAP5,Lung,3.0454220768550013,-1.2530560015896337,Other
MFGE8,Lung,2.5341249037522804,1.0099457599641113,Other
CILP,Lung,2.320917433447953,-5.559483474927751,Other
SEMA3C,Lung,2.3123414107600246,0.3697407824122884,Other
SFRP4,Ovary,17.885191337624576,0.7932919018571672,Other
CTSL,Ovary,17.486554792601545,1.2751896917183416,Other
PLOD2,Ovary,13.942260135827324,-1.1955052433017703,Regulatory
MBL2,Ovary,8.889794588722717,1.954201648259119,Other
SFRP1,Ovary,8.83879594937031,0.9600208052311536,Other
EFEMP1,Ovary,5.691668445949273,1.9623386555063052,Other
CTSF,Ovary,5.366958971371621,0.986523511194558,Other
FLG2,Ovary,4.798503750870406,-2.7059823767383464,Other
ANXA7,Ovary,4.3935238151776215,-0.8626002796197605,Other
MATN2,Ovary,3.388128137109302,1.0882385714070166,Other
Papln,Skeletal_muscle_Soleus,11.859016112683072,1.1504286822319074,Other
Thbs4,Skeletal_muscle_Soleus,10.238258422911487,1.43697710767502,Signaling
Col12a1,Skeletal_muscle_Soleus,5.49951219407315,2.9463593942891997,Structural
Sparc,Skeletal_muscle_Soleus,4.059202524760152,-3.275298812917822,Signaling
Agrn,Skeletal_muscle_Soleus,3.3085913505206634,-1.0721075050628908,Other
Serping1,Skeletal_muscle_Soleus,3.257615405507612,-0.5794886681260842,Other
Tgfbi,Skeletal_muscle_Soleus,3.2238461733014314,1.0993312544442622,Other
F13a1,Skeletal_muscle_Soleus,2.993431630422207,-1.029088070293329,Other
Ambp,Skeletal_muscle_Soleus,2.9031701883423358,2.1655463981387,Other
Anxa1,Skeletal_muscle_Soleus,2.614325929576231,-1.303453724405975,Other
Smoc2,Skeletal_muscle_Gastrocnemius,5.619762990440565,6.378538290850064,Other
Serpine2,Skeletal_muscle_Gastrocnemius,5.55893830281278,1.589763279128376,Other
Chad,Skeletal_muscle_Gastrocnemius,5.530031047005582,-2.390997676672455,Proteoglycan
Mbl2,Skeletal_muscle_Gastrocnemius,4.9922300490379845,-2.1848179776085517,Other
Sparcl1,Skeletal_muscle_Gastrocnemius,4.951707611951094,-1.3749910497762254,Signaling
Col15a1,Skeletal_muscle_Gastrocnemius,4.5891798478033605,-1.625395188791733,Structural
Ctss,Skeletal_muscle_Gastrocnemius,4.579587925227752,1.7547979965526546,Other
Adam9,Skeletal_muscle_Gastrocnemius,4.464213717658732,-0.6396502113329274,Regulatory
Dpt,Skeletal_muscle_Gastrocnemius,3.973624579045786,1.0561297406153012,Other
Mmrn2,Skeletal_muscle_Gastrocnemius,3.812660075419508,-0.9895602888790694,Other
Serpinf2,Skeletal_muscle_TA,9.646013741062573,1.709162494944536,Other
Ctsl,Skeletal_muscle_TA,8.729949402253801,-1.5213437733612167,Other
C1qtnf9,Skeletal_muscle_TA,3.9913545149805083,-1.0661837441141344,Other
Postn,Skeletal_muscle_TA,3.637180118287798,-3.5927136237417794,Other
Cst3,Skeletal_muscle_TA,3.4245247596794886,-1.0964045218910554,Other
Cilp2,Skeletal_muscle_TA,3.1598979124441247,-2.7456304785341,Other
Serpind1,Skeletal_muscle_TA,2.9083364806798646,0.3037449817832554,Other
Fbn1,Skeletal_muscle_TA,2.66392792929367,-1.3536547670208692,Structural
Hpx,Skeletal_muscle_TA,2.660537333612878,1.0636220099945315,Other
Lgals1,Skeletal_muscle_TA,2.5759891952299565,1.1041046080392585,Other
Sema3c,Skeletal_muscle_EDL,6.98653742420951,1.4679693097790123,Other
Ltbp1,Skeletal_muscle_EDL,6.633589937060672,-1.1364307186842144,Other
Serpinh1,Skeletal_muscle_EDL,3.702507237034367,-3.5980563369961285,Other
Serpinf1,Skeletal_muscle_EDL,3.377035253478236,-4.021295252029004,Other
Adipoq,Skeletal_muscle_EDL,3.1739464661117327,-0.6452589104233889,Other
Itih1,Skeletal_muscle_EDL,2.538567612516283,2.0638644832339925,Other
Fbln2,Skeletal_muscle_EDL,2.101501730120073,-0.8917630965444333,Other
Fbln5,Skeletal_muscle_EDL,1.8684115114849098,-2.4727195704660905,Other
Eln,Skeletal_muscle_EDL,1.8167753739535897,-2.703022175032575,Structural
Anxa1,Skeletal_muscle_EDL,1.6995710495495144,-1.1149947355981924,Other
Vcan,Cortex,41.33799175008998,0.6280623906166412,Proteoglycan
LAMB1,Cortex,15.992593357126024,-3.2364117521197007,Structural
NID2,Cortex,9.169142559611776,-2.770738080367955,Other
C1qa,Cortex,8.142459249454749,2.2040947259211388,Other
COL3A1,Cortex,6.817060441797646,-1.9449897164965837,Structural
Col18a1,Cortex,6.708142353961589,0.7949056839679264,Structural
DCN,Cortex,5.843450186104318,-2.2540385476124856,Proteoglycan
COL1A2,Cortex,4.919269119053831,-1.491471787411,Structural
COL4A2,Cortex,4.557597720841499,-1.450860608643871,Structural
COL5A1,Cortex,4.0478022687576525,-1.22698013175869,Structural
Agt,Hippocampus,64.92156986400587,-0.4855916732384283,Other
Fgf13,Hippocampus,14.939808328456124,-1.32666833594959,Other
Lgi1,Hippocampus,14.730432000860489,-0.7393131216532225,Other
Ctsa,Hippocampus,8.695212558171173,0.4798694933144932,Other
Dsp,Hippocampus,5.585089956091078,-1.3468039834065657,Other
Hspg2,Hippocampus,5.297613910924015,0.7611319287203755,Other
Plxdc2,Hippocampus,4.789788699372986,-1.1707351530374634,Other
S100a10,Hippocampus,4.46108330660379,1.4144352754517786,Other
Plxna1,Hippocampus,3.303830670720167,-0.8165392044032863,Other
Itih2,Hippocampus,3.2543611935101584,2.7731000781012596,Other
SERPINA10,Native_Tissue,66.88050313046854,2.2189785050027058,Other
Angptl2,Native_Tissue,59.61358792199501,2.1681607480845,Other
COL21A1,Native_Tissue,29.63880727385305,-1.4840580375241672,Structural
SERPINA7,Native_Tissue,17.43051091747962,1.7904756221652582,Other
Lgals9,Native_Tissue,12.78430209962031,-1.2967205379789335,Other
SERPINA6,Native_Tissue,12.708398641314966,3.7528276660353583,Other
Crlf3,Native_Tissue,12.704409411505873,-0.3980215374540039,Other
Anxa3,Native_Tissue,10.105876392444243,-0.3618567738100457,Other
LGALS8,Native_Tissue,9.830224702967701,-0.7656308171413363,Other
