Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
F2,6,"Lung, Ovary_Cortex, Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skin dermis",0.3154055421069653,Upregulated,Regulatory,Other
Smoc2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",3.5306789391034488,Upregulated,Structural,Other
Aspn,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",2.0327386899041184,Upregulated,Structural,Other
Serpinb6a,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.7394277311549473,Upregulated,Regulatory,Coagulation
Itih1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.5635422567172652,Upregulated,Regulatory,Other
Comp,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.3778816387562294,Upregulated,Structural,Other
Sema3c,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.3674530288241824,Upregulated,Signaling,Other
Itih3,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.3280560679910516,Upregulated,Regulatory,Other
Ctsd,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.1383861612780828,Upregulated,Regulatory,Other
CTSZ,3,"Lung, Ovary_Cortex, Skin dermis",1.0423101839406517,Upregulated,Regulatory,Other
Col4a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.0193243691126164,Upregulated,Structural,Other
Ctsb,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.9356498491229698,Upregulated,Regulatory,Other
Serpine2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.9252508678851741,Upregulated,Regulatory,Coagulation
CSTB,3,"Lung, Ovary_Cortex, Skin dermis",0.9023350975471457,Upregulated,Regulatory,Other
VTN,3,"Lung, Ovary_Cortex, Skin dermis",0.8703902071521048,Upregulated,Structural,Other
Cstb,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.8607744959748245,Upregulated,Regulatory,Other
Mfge8,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.8289170386662225,Upregulated,Structural,Other
