Tissue,Mean_Delta,Velocity,N_Markers,Upregulated_Pct,Downregulated_Pct,Bootstrap_CI,Velocity_Rank
Lung,-2.4684200688885474,4.162418661183056,8,12.5,87.5,"[2.535, 5.763]",1
Skeletal_muscle_EDL,-1.5866143816707448,2.1738021055823493,5,20.0,80.0,"[1.006, 3.360]",2
Ovary_Cortex,-1.3307991245259048,2.0921174870763606,16,18.75,81.25,"[1.683, 2.517]",3
Skin dermis,1.5302777350511478,2.091129248165303,34,82.35294117647058,17.647058823529413,"[1.818, 2.353]",4
Skeletal_muscle_TA,-1.3855189411162918,1.9552397727644706,6,16.666666666666664,83.33333333333334,"[1.296, 2.761]",5
Skeletal_muscle_Gastrocnemius,0.36412915285478187,1.8983645516982754,12,50.0,50.0,"[1.295, 2.820]",6
Intervertebral_disc_OAF,0.1881873782494814,1.8703165851169758,38,42.10526315789473,57.89473684210527,"[1.437, 2.350]",7
Kidney_Glomerular,1.4895636070057785,1.7894837018395124,18,88.88888888888889,11.11111111111111,"[1.514, 2.086]",8
Brain_Cortex,1.3271959115652225,1.6983804366068977,10,90.0,10.0,"[1.187, 2.336]",9
Intervertebral_disc_IAF,-0.05839895371186463,1.6979697582453006,25,28.000000000000004,72.0,"[1.175, 2.291]",10
Skeletal_muscle_Soleus,0.243743064647656,1.6514273463924554,7,57.14285714285714,42.857142857142854,"[1.006, 2.366]",11
Heart_Native_Tissue,0.7234588025280262,1.6346478411541698,38,47.368421052631575,52.63157894736842,"[1.293, 2.021]",12
Brain_Hippocampus,0.4685379303171462,1.449479842265239,12,50.0,50.0,"[0.962, 2.029]",13
Ovary,0.19401116473557556,1.4459533416596355,11,63.63636363636363,36.36363636363637,"[1.105, 1.825]",14
Intervertebral_disc_NP,0.19821660038020106,1.3483618382854905,26,38.46153846153847,61.53846153846154,"[0.897, 1.847]",15
Heart_Decellularized_Tissue,0.685629548945825,1.186435355652691,7,57.14285714285714,42.857142857142854,"[0.714, 1.736]",16
Kidney_Tubulointerstitial,-0.2183330017135122,0.9514450451015465,7,42.857142857142854,57.14285714285714,"[0.696, 1.218]",17
