Gene_Symbol,Tissue,TSI,Zscore_Delta,Zscore_Young,Zscore_Old,Matrisome_Category_Simplified,Function_Category,Direction,Rank_within_Tissue
Vcan,Brain_Cortex,41.33799175008998,0.6280623906166412,1.279288494152007,1.3003156856114246,Proteoglycans,Structural,Upregulated,1
C1qa,Brain_Cortex,8.142459249454749,2.2040947259211388,1.039429171062162,1.134149016529246,ECM-affiliated Proteins,Signaling,Upregulated,2
Col18a1,Brain_Cortex,6.708142353961589,0.7949056839679264,0.6609605935208718,0.6933858370015514,Collagens,Structural,Upregulated,3
Tinagl1,Brain_Cortex,3.907647102506089,1.8469973456997597,0.0677308444055477,0.1519773830401213,ECM Glycoproteins,Structural,Upregulated,4
Fgg,Brain_Cortex,3.7233527772612733,4.192396192027111,-0.0175664060400652,0.1746992422105066,ECM Glycoproteins,Structural,Upregulated,5
Vwa1,Brain_Cortex,3.56317832770415,1.0033536663111622,0.2050656606090161,0.2498105977894043,ECM Glycoproteins,Structural,Upregulated,6
Adam10,Brain_Cortex,3.434105611235199,1.4049822353422547,0.249590767020141,0.3124743197716016,ECM Regulators,Regulatory,Upregulated,7
Serpinb1a,Brain_Cortex,3.209328927973385,1.2615593753115502,0.4173621076425872,0.4726541549147741,ECM Regulators,Regulatory,Upregulated,8
Lama5,Brain_Cortex,3.160778990928834,1.7915301256630565,0.3228952913415324,0.4030516591520698,ECM Glycoproteins,Structural,Upregulated,9
Lamb1,Brain_Cortex,3.010523265207794,-1.855922625208376,0.3950589218712952,0.3075960177855785,ECM Glycoproteins,Structural,Downregulated,10
Serpina1c,Brain_Cortex,2.775549732461421,0.8677046644855183,1.122411465451792,1.1553743085637846,ECM Regulators,Regulatory,Upregulated,11
Itih5,Brain_Cortex,2.551411783517037,1.1591349657632295,0.0845275683831197,0.1371439459248364,ECM Regulators,Regulatory,Upregulated,12
Kng1,Brain_Cortex,2.4720834700117265,1.6284725480352116,0.6096229610897291,0.6805662764358439,ECM Regulators,Regulatory,Upregulated,13
C1qc,Brain_Cortex,2.471369507224023,1.1335613248229104,0.8091132311146987,0.8561621141783847,ECM-affiliated Proteins,Signaling,Upregulated,14
Gpc4,Brain_Cortex,2.1321347580926826,-0.6416479842612639,0.4366998934384857,0.4046408512311865,ECM-affiliated Proteins,Signaling,Downregulated,15
Tgm2,Brain_Cortex,1.9898637309797373,1.0844754087474078,0.2358467181545294,0.284123164915514,ECM Regulators,Regulatory,Upregulated,16
