,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10
1810010H24RIK,-0.042747635,-0.37059954,0.06975553,0.8915584,0.49235606,0.038206372,-0.9205733,0.38133687,0.25463626,0.06392006
A2M,0.33600762,-2.9606514,-0.9359545,0.708153,-0.0868026,-0.36112708,-1.2225661,1.006125,-0.32044414,0.10186129
A2ML1,0.27672336,-0.3701339,-0.31853476,-0.21460232,-0.024289485,0.07614947,0.13442908,0.18071929,0.2791795,0.0028906174
A2m,-1.041806,0.22826266,-1.2525153,1.7680643,1.6087159,0.48773992,1.4205315,-0.73359066,0.0039188936,-0.9615487
ABI3BP,-0.1503829,-0.41445562,-0.18001053,-0.030277,-0.5124097,0.30828044,0.12612145,-0.13378249,0.4953129,0.9313262
ACAN,0.31782642,-1.1708338,1.0971577,-0.6035628,1.0334871,-0.2656462,-0.9149666,-0.83801293,-2.986799,1.8061031
ADAM10,-0.24965224,0.41394782,-0.43122882,-0.5800337,1.5943645,-0.20902456,-0.16539352,0.31245497,1.0121034,-1.1235636
ADAM12,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
ADAM15,-1.1103226,-0.90716213,-0.2927628,1.0108713,-0.43045464,0.85981613,-1.4788684,-1.6381022,-0.009570662,2.2342017
ADAM17,0.51642007,0.4610699,0.08201744,0.6196613,-0.83104026,0.13355754,-0.19750687,-0.4152049,-0.71371806,0.88402456
ADAM19,1.5803655,-0.7648882,0.2525309,-0.6486332,0.031275395,-0.22191682,0.15818502,-0.9125424,-0.16138004,-0.24031426
ADAM9,0.008303973,0.2842194,-0.01003604,-0.104296364,0.049369287,0.020671671,0.024578286,0.007938935,0.04163837,-0.28972438
ADAMTS1,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
ADAMTS16,-0.09035245,-0.16647734,-0.039816495,-0.21019539,0.020270698,-0.1133058,0.10200009,0.07665098,0.19560164,-0.04684024
ADAMTS2,-0.06433262,-0.1651971,-0.103754744,-0.1904461,0.022855954,-0.14008904,0.1279306,0.066173874,0.16803329,-0.083005734
