Latent_Dimension,AE_Variance_Explained,PCA_Variance_Explained,AE_Cumulative,PCA_Cumulative
Latent_1,0.19124891,0.16233771668186497,0.19124891,0.16233771668186497
Latent_2,0.16989017,0.11930897584324586,0.36113906,0.2816466925251108
Latent_3,0.14023349,0.09588360724298055,0.5013726,0.3775302997680914
Latent_4,0.10382833,0.08340864769405296,0.6052009,0.46093894746214437
Latent_5,0.09831379,0.067490295398765,0.7035147,0.5284292428609094
Latent_6,0.09309096,0.06150584690242871,0.79660565,0.5899350897633381
Latent_7,0.072823256,0.06065866658425422,0.8694289,0.6505937563475923
Latent_8,0.06347517,0.056756351685621716,0.93290406,0.7073501080332141
Latent_9,0.047599107,0.05265865053954751,0.9805032,0.7600087585727616
Latent_10,0.019496806,0.04923162366521739,1.0,0.809240382237979
