Protein_A,Protein_B,Raw_Correlation,Latent_Similarity,Difference
MST1;MST1L,S100a16,0.00749299669564694,0.9773207,0.969827674385896
MMP8,S100a16,0.006655553166956812,0.97163814,0.9649825898956348
S100a16,TGFB2,0.006655553166956813,0.9698713,0.9632157294105579
S100a16,WNT9A,0.006655553166956813,0.9698712,0.9632156698059131
S100a16,SERPINB9B,0.006655553166956813,0.9698712,0.9632156698059131
CTSA,S100a16,0.01064654626145203,0.97354525,0.962898707015373
EMID1,S100a16,0.006655553166956819,0.96885973,0.9622041789840746
HCFC2,S100a16,0.00665555316695682,0.96879,0.9621344415496874
S100a16,SERPINB6;SERPINB6A,0.006655553166956815,0.96461904,0.95796348732224
S100a16,WNT3A,0.00665555316695681,0.9640343,0.9573787657569934
S100a16,Sfrp1,0.006655553166956822,0.9628549,0.9561993686508227
CRLF3,S100a16,0.006655553166956817,0.9608285,0.954172929937749
S100a16,SVEP1,0.004117388739734735,0.9560774,0.9519600081299247
Masp2,SVEP1,0.038664974913134906,0.98717195,0.9485069730429503
Masp2,S100a16,0.006655553166956809,0.9534758,0.9468202201675464
SVEP1,Sfrp1,0.038664974913134864,0.98507774,0.9464127638487669
GDF5,PDGFC,0.0014867310910584386,0.9453037,0.9438169474215148
CTSA,MMP8,0.042692840605942535,0.98596907,0.9432762260139305
CTSA,EMID1,0.04269284060594253,0.9851788,0.9424859876334983
CTSA,SERPINB6;SERPINB6A,0.042692840605942535,0.9828625,0.9401696319282371
CTSH,Masp2,0.025655320746264428,0.96572757,0.9400722469264651
Kcp,S100a16,0.006655553166956803,0.94527566,0.938620111162572
CRLF3,CTSA,0.042692840605942535,0.98045635,0.9377635116279441
Sfrp1,WNT3A,0.0625,0.9998572,0.9373571872711182
PLXNB2;MKIAA0315,S100a16,0.0066555531669568145,0.94307,0.9364144412826587
HCFC2,Sfrp1,0.06249999999999996,0.99865127,0.9361512660980225
Masp2,WNT3A,0.06250000000000001,0.9982949,0.9357948899269104
Sfrp1,WNT9A,0.06250000000000004,0.99808276,0.9355827569961548
Sfrp1,TGFB2,0.06250000000000004,0.9980827,0.93558269739151
SERPINB9B,Sfrp1,0.06250000000000004,0.9980827,0.93558269739151
HCFC2,Masp2,0.062499999999999944,0.99746484,0.9349648356437683
CTSH,Sfrp1,0.025655320746264445,0.96026295,0.9346076334888125
Masp2,SERPINB9B,0.062499999999999944,0.9970062,0.9345061779022217
Masp2,WNT9A,0.062499999999999944,0.9970062,0.9345061779022217
Masp2,TGFB2,0.062499999999999944,0.9970062,0.9345061779022217
PLXNB2;MKIAA0315,Sfrp1,0.06249999999999999,0.9955196,0.9330195784568787
CTSA,TGFB2,0.042692840605942514,0.97563237,0.9329395289123376
CTSA,SERPINB9B,0.042692840605942514,0.97563237,0.9329395289123376
CTSA,WNT9A,0.042692840605942514,0.9756323,0.9329394693076928
CTSH,Mstn,0.02641675443849013,0.95910585,0.9326890948275621
CTSA,HCFC2,0.042692840605942514,0.97409713,0.9314042920768578
CTSH,WIF1,0.0096349140203155,0.94003767,0.9304027537309968
Masp2,PLXNB2;MKIAA0315,0.0625,0.9926677,0.9301676750183105
Kcp,PLXNB2;MKIAA0315,0.06249999999999995,0.98975265,0.9272526502609253
Kcp,Sfrp1,0.06249999999999993,0.98967683,0.9271768331527711
BMPER,CCL14,0.01483462174411309,0.94131505,0.9264804331493806
IL16,REG4,0.06250000000000003,0.9887093,0.9262092709541321
IL16,SULF1,0.06250000000000003,0.9887093,0.9262092709541321
IL16,PCSK5,0.06250000000000003,0.9887093,0.9262092709541321
IL16,PODNL1,0.06250000000000003,0.9887093,0.9262092709541321
IL16,MATN1,0.06250000000000003,0.9887093,0.9262092709541321
ADAMTS2,IL16,0.06250000000000003,0.9887093,0.9262092709541321
IL16,WFIKKN2,0.06250000000000003,0.9887092,0.9262092113494873
IL16,LEP,0.06250000000000003,0.9887092,0.9262092113494873
IBSP,IL16,0.06250000000000003,0.9887092,0.9262092113494873
Adamtsl1,S100a16,0.006655553166956819,0.9326808,0.9260252324890185
SULF1,TNFSF12,0.06249999999999999,0.98821425,0.9257142543792725
TNFSF12,WFIKKN2,0.06249999999999999,0.98821425,0.9257142543792725
LEP,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
PODNL1,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
ADAMTS2,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
IBSP,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
REG4,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
PCSK5,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
MATN1,TNFSF12,0.06249999999999999,0.9882142,0.9257141947746277
IL16,Sfrp1,0.06250000000000003,0.9881702,0.9256702065467834
Kcp,WNT3A,0.06250000000000001,0.9880986,0.9255986213684082
ADAMTS2,ANXA9,0.062499999999999986,0.9879987,0.9254987239837646
