Gene_Symbol,Attention_Score,Gradient_Importance,PageRank_Score,Combined_Score,Delta_Z_Mean,Matrisome_Category
HAPLN1,1.0000001112930477,0.18789107,0.0018235552423589338,0.9049650277271079,-0.13083832279583946,Proteoglycans
ITIH2,1.0000000484287739,0.20241521,0.001823731051686358,0.8590583827209163,0.2527581452412337,ECM Regulators
CRLF1,1.0000000391155481,0.19488728,0.0018247686562338414,0.837948746626151,0.1393918275626762,Secreted Factors
DCN,1.0000000968575478,0.17714077,0.0018194955607429186,0.8374405450144619,-0.025223690060700098,Proteoglycans
TIMP2,1.0000000596046448,0.18837756,0.0018227137721768785,0.8361172802080915,-0.04297570946934556,ECM Regulators
PLG,1.0000000670552254,0.17443983,0.0018257269931796045,0.8349049634158998,0.2794563812007147,ECM Regulators
LOXL3,1.0000000367872417,0.19564794,0.0018243978673438581,0.834280211646691,-0.0728237723461504,ECM Regulators
Lamb2,1.0000000540167093,0.1806574,0.0018259417986183407,0.8334526616368141,0.2949472985653614,ECM Glycoproteins
FGB,1.0000000922009349,0.17019019,0.0018220617929833286,0.8333015071225773,0.5251375515382298,ECM Glycoproteins
COL11A2,1.0000000251457095,0.2042846,0.0018227461221893375,0.8276723848388384,-0.2675411143499915,Collagens
EPYC,1.000000050291419,0.18896618,0.0018229363782367332,0.8272212399280695,0.08979222534700809,Proteoglycans
MATN2,1.00000006146729,0.18452996,0.0018214818011462136,0.8221469326025664,-0.07130488952977578,ECM Glycoproteins
CRISPLD1,1.000000043772161,0.18970942,0.0018228949812029909,0.8204282483839096,-0.06176235678605456,ECM Glycoproteins
Fgf1,1.0000000931322575,0.18296714,0.0018152936623317655,0.8180910011820236,-0.12239005144687509,Secreted Factors
FGA,1.0000000763684511,0.16540775,0.0018229899992479954,0.8092753426767487,0.43965822442373814,ECM Glycoproteins
ITIH4,1.0000000442378223,0.18939912,0.0018211247875754156,0.8088513384505055,0.3786253890248899,ECM Regulators
Cstb,1.0000000596046448,0.17569853,0.0018222825599924033,0.805977396972779,0.19000001182921566,ECM Regulators
SERPIND1,1.0000000377185643,0.17937893,0.001825194552838653,0.8055286217264207,0.4055790376718129,ECM Regulators
CTSA,1.0000000428408384,0.17406736,0.001825963824076513,0.8054526138906546,0.014672931181643258,ECM Regulators
BCAN,1.0000000321306288,0.18896618,0.0018229363731328816,0.8045815932508721,-0.05604521600349671,Proteoglycans
COL9A2,1.0000000060535967,0.204979,0.0018226165576576147,0.8045283202946072,-0.0004248825149829572,Collagens
TNFAIP6,1.0000000284053385,0.1889662,0.0018229363336588445,0.7999373336458175,0.09461826496747415,ECM Glycoproteins
FGG,1.0000000121071935,0.20405602,0.0018209050123170084,0.7989768666713739,0.49376344457475824,ECM Glycoproteins
Anxa1,1.0000000363215804,0.18027353,0.0018234515223735774,0.7944042902348191,-0.1017653730516866,ECM-affiliated Proteins
BMP6,1.0000000931322575,0.14946291,0.0018223730262505353,0.7917855190721239,-0.006936026988681069,Secreted Factors
HABP2,1.000000019557774,0.19007911,0.0018228426329779048,0.7906995974299279,-0.0592456389741526,ECM Regulators
LTBP2,1.000000017695129,0.19055074,0.0018229256831985012,0.78993358251043,-0.09040544968690634,ECM Glycoproteins
LOXL4,1.0000000167638063,0.19007911,0.001822842645738409,0.7872166627736932,-0.036210962582036425,ECM Regulators
SPARC,1.0000000419095159,0.18205369,0.0018206006489440664,0.7867073739373153,-0.16470463239732064,ECM Glycoproteins
CHRDL2,1.0000000167638063,0.1889662,0.0018229363731328816,0.7854250170349131,-0.12315621043314534,Secreted Factors
IGFBP3,1.0000000363215804,0.1781323,0.0018227048329887046,0.7849409637625056,-0.007865016091956903,ECM Glycoproteins
EDIL3,1.0000000158324838,0.18896618,0.0018229363782367332,0.7842640244665887,-0.05453550190663878,ECM Glycoproteins
PPBP,1.0000000628642738,0.15712841,0.0018242295338419955,0.7826313612901239,-0.0890159383520507,Secreted Factors
MASP1,1.0000000125728548,0.18955672,0.001822932347958886,0.7814477617308677,0.0328169897221565,ECM Regulators
ACAN,1.0000000349245965,0.16775447,0.0018258522211517998,0.7812464759027002,0.1560133643265827,Proteoglycans
MFAP1,1.0000000651925802,0.20999774,0.0018055739648732518,0.7784710452415725,-0.046056077518934715,ECM Glycoproteins
BMP1,1.0000000046566129,0.19138297,0.0018230484336874285,0.7762707879842937,-0.044696121209927234,ECM Regulators
COL11A1,1.0000000167638063,0.17344768,0.0018266562973545777,0.7761021943664369,-0.11935093019938273,Collagens
PRG3,1.0000000735744834,0.1707524,0.00181639503995383,0.7745174753574181,-0.01942434148753409,Proteoglycans
Lum,1.0000000298023224,0.16578382,0.001826203831528633,0.7728932856444454,0.09007279266447318,Proteoglycans
FNDC1,1.0000000102445483,0.17943798,0.001824955377891862,0.7698540983547465,-0.04972700256674377,ECM Glycoproteins
Ctsh,1.0000000288709998,0.16953267,0.0018240914832964807,0.7661075987347146,0.012176052659040622,ECM Regulators
C1qa,1.000000050291419,0.20236571,0.0018090259897936092,0.7658401616623983,0.14526635436269636,ECM-affiliated Proteins
COL10A1,1.0000000204890966,0.1781964,0.001822662434142361,0.765066946129337,-0.060495027959467595,Collagens
Serpina1e,0.9999999739229679,0.21696904,0.001818594145566339,0.7642244540229206,-0.4647621434688599,ECM Regulators
C7,1.0000000218860805,0.18029654,0.0018215622302776742,0.7641971098148165,0.31502930785353866,Secreted Factors
Fn1,1.0000000139698386,0.18347031,0.0018219418819330209,0.7636364224759035,-0.2438869870375759,ECM Glycoproteins
CCL14,0.9999999976716936,0.18955673,0.0018229323557883998,0.762871778975262,-0.008895653729091907,Secreted Factors
MMRN1,1.0000000884756446,0.12958784,0.0018253996094003623,0.7627634094319334,-0.013870637377715204,ECM Glycoproteins
Serpinf1,1.0000001154839993,0.21872818,0.0017903654281937783,0.761290972875027,-0.7358150173854255,ECM Regulators
NTN4,1.0000000512227416,0.20999774,0.0018055739580691082,0.7610559137345284,0.0518040758014307,ECM Glycoproteins
CHADL,0.9999999972060323,0.1889662,0.0018229363731328816,0.7610438947459645,-0.05255619306905864,Proteoglycans
LRG1,0.9999999897554517,0.20336753,0.0018195108285785151,0.7605800071373378,0.75956726852017,ECM Glycoproteins
KERA,0.9999999981373549,0.18837756,0.0018227137485082468,0.7594907422657924,-0.06580570353968138,Proteoglycans
MATN4,0.9999999734573066,0.19284375,0.0018258879673910958,0.7589552944311505,0.055173161614290755,ECM Glycoproteins
PRSS3P2;PRSS2;PRSS1,0.9999999944120646,0.18955672,0.001822932353913961,0.7588081868243206,-0.02340693769539381,ECM Regulators
CILP2,0.9999999883584678,0.18715382,0.0018248049482638422,0.7582328141963509,-0.4684648084219635,ECM Glycoproteins
IGFALS,1.000000011175871,0.18423738,0.0018213253716575582,0.757806480951866,0.37563268147362383,ECM Glycoproteins
