,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
A2M,0.02818814,0.0,0.013666537,0.03734413,0.07330147,0.05745186,0.07061955,0.0,0.0635324,0.04009384,0.0,0.067137554,0.081306584,0.09751248,0.1314151,0.0,0.0,0.0317543,0.0,0.0,0.018814623,0.0,0.072936825,0.0,0.017755551,0.0,0.0652253,0.0045128632,0.023650505,0.0,0.0,0.009218057
ABI3BP,0.03648587,0.0,0.00036779698,0.064171605,0.1238082,0.080421,0.11805218,0.0,0.085746504,0.06889632,0.0,0.10987645,0.13100961,0.16372426,0.18553424,0.0,0.0,0.051044933,0.0012597255,0.0,0.033937152,0.0,0.13258031,0.0,0.03368383,0.0,0.09501106,0.017805085,0.024908636,0.0,0.0,0.019456666
ACAN,0.03187938,0.0,0.005040887,0.06379601,0.09012593,0.06378157,0.095176585,0.0,0.06904874,0.06288034,0.0,0.088295124,0.11323589,0.13585433,0.15490147,0.0,0.0,0.031408835,0.0,0.0,0.023060914,0.0,0.116931945,0.0,0.03645104,0.0,0.07736787,0.006003443,0.015470805,0.0,0.0,0.01991583
ADAM10,0.04069927,0.0,0.0,0.06289346,0.06716884,0.06447603,0.079679005,0.0,0.06580808,0.055356756,0.0,0.07111837,0.114708796,0.13466036,0.12969673,0.0,0.0,0.02930437,0.003985376,0.0,0.027439468,0.0,0.114312336,0.0,0.029573282,0.0,0.05295718,0.01259678,0.0,0.0,0.0,0.022762425
ADAM15,0.034487125,0.0,0.0022222176,0.04790554,0.06200981,0.060439415,0.068351604,0.0,0.06614241,0.046654135,0.0,0.061666068,0.100362085,0.115142494,0.12600712,0.0,0.0,0.024686836,0.0,0.0,0.022840202,0.0,0.09287617,0.0,0.024650855,0.0,0.056553263,0.002661922,0.0048884936,0.0,0.0,0.020705761
ADAM17,0.040186588,0.0,0.0048986273,0.0599394,0.07713535,0.06478804,0.085091025,0.0,0.070510186,0.05573222,0.0,0.07868985,0.11030214,0.13546307,0.14245395,0.0,0.0,0.03209966,0.0064120432,0.0,0.027358655,0.0,0.11358306,0.0,0.032149427,0.0,0.060616795,0.008497521,0.0070527997,0.0,0.0,0.014955575
ADAMTSL2,0.033472203,0.0,0.000558408,0.05058914,0.051226996,0.05131501,0.06517514,0.0,0.055165473,0.042829346,0.0,0.057507187,0.08822974,0.10699467,0.111837804,0.0,0.0005487921,0.02135132,0.0,0.0,0.019222345,0.0,0.08958009,0.0,0.024812156,0.0,0.04448065,0.0041053593,0.0,0.0,0.0,0.014690234
ADAMTSL4,0.028524425,0.0,0.00087476056,0.03887695,0.09471397,0.07761569,0.083440654,0.0,0.07862389,0.04926562,0.0,0.078526236,0.11443166,0.11506052,0.15398243,0.0,0.0,0.044419967,0.0,0.0,0.028961651,0.0,0.094692804,0.0,0.006987471,0.0,0.08411658,0.01931679,0.03392514,0.0,0.0,0.022356607
ADAMTSL5,0.029615812,0.0,0.0,0.040235884,0.06867329,0.055938195,0.064684436,0.0,0.06427372,0.04491333,0.0,0.06013451,0.092259824,0.10316328,0.119458124,0.0,0.0,0.026824566,0.0,0.0,0.020439964,0.0,0.08532312,0.0,0.018070178,0.0,0.060620457,0.001154542,0.009619422,0.0,0.0,0.018903907
ADIPOQ,0.038200747,0.0,0.0,0.0703248,0.099764906,0.07082818,0.08971053,0.0,0.07594543,0.07980475,0.0,0.08336899,0.13796064,0.15302093,0.13939187,0.0,0.0,0.033974253,0.0,0.0,0.031861093,0.0,0.13905826,0.0,0.035373442,0.0,0.06923619,0.022188524,0.0022895215,0.0,0.0,0.035088256
AEBP1,0.028407212,0.0,0.0073983576,0.036148906,0.08516326,0.06464673,0.075670816,0.0,0.07046157,0.04340325,0.0,0.072710045,0.09291762,0.10319603,0.13897583,0.0,0.0,0.03876004,0.0,0.0,0.022606205,0.0,0.082524925,0.0,0.011813227,0.0,0.0733227,0.009940825,0.028448705,0.0,0.0,0.012777604
AGRN,0.03477259,0.0,0.020979704,0.037576843,0.097048976,0.08000046,0.08870802,0.0,0.0850635,0.039839596,0.0,0.0829239,0.10125365,0.12745291,0.17566893,0.0,0.0,0.046428923,0.0,0.0,0.031196006,0.0,0.07795245,0.0,0.01746868,0.0,0.08500578,0.015620884,0.03808436,0.0,0.0,0.01214035
AGT,0.05354833,0.0,0.016038125,0.06979342,0.06942838,0.085397415,0.09594551,0.0,0.08662359,0.055195145,0.0,0.08483368,0.13752326,0.16404997,0.17087266,0.0,0.0,0.03351272,0.013497752,0.0,0.037986718,0.0,0.12762581,0.0,0.03938844,0.0,0.0643179,0.0095572565,0.0083036125,0.0,0.0,0.021214075
AMBP,0.05524915,0.0,0.01804463,0.07390392,0.06070964,0.08104311,0.09396644,0.0,0.081956044,0.054557186,0.0,0.082591735,0.13362949,0.16413556,0.1648759,0.0,0.005182675,0.028545815,0.017334707,0.0,0.036572736,0.0,0.12844262,0.0,0.04407996,0.0,0.056807954,0.0051012607,0.0017752657,0.0,0.0,0.019520734
ANGPTL2,0.03493669,0.0,0.0020283293,0.05263057,0.06435708,0.059144724,0.07371205,0.0,0.06345111,0.047644973,0.0,0.06627108,0.09947894,0.11811889,0.12602285,0.0,0.0,0.026589029,0.0022945777,0.0,0.023924083,0.0,0.098040566,0.0,0.025816297,0.0,0.053588677,0.0068887826,0.0017757583,0.0,0.0,0.016291315
