Protein,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1810010H24RIK,1.4454949,-0.0643543,1.8468466,0.14850569,0.43270105,1.3738371,1.1381953,1.028966,-0.53307486,1.487053,0.9000117,1.4462218,-0.04128188,1.348263,-0.2189408,0.39464653,-0.22979468,-0.5784219,0.8345425,-0.1501469,-0.55954623,1.3701077,0.6391998,-0.39949065,-0.24223095,-0.22693378,-0.63640237,-0.38676912,1.1656554,0.35621333,-0.3281073,-0.4177187,0.37739888,0.8901859,1.339809,1.0389742,-0.18618435,-0.53808427,-0.54840195,0.8206613,0.09973791,1.1243739,0.119546264,-0.5799953,-0.44317263,-0.13348687,1.7060969,0.48750877,-0.47903407,0.59505147,0.23727447,-0.14129627,-0.47518528,-0.1881882,0.49796975,-0.62402403,0.34664124,-0.554289,-0.49728525,1.1112137,-0.55322266,-0.77420175,0.23172702,-0.6509906
A2M,0.9182399,-0.13516688,1.0044277,0.44395977,0.5881773,1.3196685,0.6279685,0.37093896,-0.27669972,0.4970611,0.31562212,0.7485449,-0.03359282,0.45755023,0.1654898,0.22865337,-0.21568769,-0.2674641,0.24701613,0.3099403,-0.37124056,0.6846147,-0.04170364,0.049915314,-0.10404414,-0.33977246,-0.37883025,0.009838998,0.6273223,0.46344143,-0.039075315,0.107694805,0.10709276,0.37453216,1.03389,0.42773002,-0.22815871,-0.23945582,-0.2809326,0.34324586,0.78458416,0.463372,0.30476403,-0.28445005,0.10122611,-0.18944633,0.91156864,0.1723913,-0.502517,0.08545008,0.55193603,0.10687319,-0.1103524,-0.25230366,0.511361,-0.34957987,0.49604252,-0.17191517,0.05487837,0.80120206,-0.3352062,-0.5447998,0.55065584,-0.42395186
A2ML1,1.2123667,-0.35736412,1.1200061,0.6149274,0.69116634,1.7820591,0.9948001,0.1948566,-0.32207072,0.63115793,0.2261509,0.76555556,-0.15953392,0.43242756,0.6177078,0.6715654,-0.0089482665,-0.4266979,0.76521736,0.56253135,-0.36459744,0.57383645,-0.264845,0.3171912,-0.45051163,-0.21409875,-0.40947986,0.3462176,0.2518381,0.7444568,0.016364634,0.15420507,0.2843531,0.37346283,1.396254,0.33748776,-0.3362996,-0.058095753,-0.32239628,0.0046938956,1.051081,0.41351637,0.124087155,-0.2828352,0.4856403,-0.43759215,0.99965763,-0.09331751,-0.6591313,-0.2665255,0.93287206,0.455126,0.32049352,-0.0631482,0.88815844,-0.42380702,0.6840483,0.054065302,0.49468547,0.9861126,-0.35909325,-0.63029325,0.76551306,-0.4729582
A2m,1.0239084,0.15446204,1.4036458,0.26503396,0.43659705,1.1804893,0.86178356,0.76002616,-0.3484655,1.1235051,0.7143379,0.97657144,0.045779742,0.962324,-0.17928016,0.23917064,-0.23400581,-0.3976053,0.43528038,-0.23828572,-0.43115604,1.1103424,0.5798062,-0.29621357,-0.007457435,-0.27856386,-0.47698605,-0.2516352,1.0914797,0.36269653,-0.37831408,-0.30766493,0.097144514,0.6775465,1.0885413,0.78558725,-0.08044976,-0.53065836,-0.4669475,0.7703956,0.16350457,0.80433553,0.23984697,-0.44742197,-0.36065954,0.020752065,1.4230757,0.55033237,-0.46254122,0.4683954,0.33142465,-0.22035193,-0.41997868,-0.24841225,0.29206538,-0.5026115,0.40341818,-0.49536234,-0.40836394,0.86509585,-0.37793893,-0.67572844,0.2706741,-0.5358881
ABI3BP,0.85882753,-0.2615373,0.75377595,0.6626839,0.69625044,1.54256,0.71379906,0.033115268,-0.158324,0.2627173,0.12219666,0.470732,-0.09149003,0.08795993,0.60639614,0.47576258,-0.07916981,-0.19626051,0.3374707,0.59573895,-0.24173427,0.4134413,-0.30108356,0.41360307,-0.2679416,-0.23443264,-0.18049783,0.40149194,0.26873904,0.7307886,0.08921336,0.3584897,0.16644955,0.22394419,1.1211479,0.16374376,-0.22987008,0.026774004,-0.1822992,0.0062957555,1.1811672,0.255053,0.23443364,-0.115293026,0.5505258,-0.3529442,0.67084384,-0.08920711,-0.6419952,-0.242347,0.8854419,0.45222944,0.32084903,-0.108513,0.7351704,-0.24165076,0.65813017,0.1990282,0.55927455,0.8086358,-0.18185753,-0.47414082,0.7156508,-0.3608169
ACAN,0.9786359,-0.13024074,1.0884374,0.6387899,0.6719003,1.590706,0.85415184,0.30001992,-0.19136655,0.6183108,0.28807437,0.6711587,-0.051397324,0.42778426,0.34075055,0.53257143,-0.093728304,-0.3326301,0.5930444,0.31501707,-0.33251357,0.6188712,-0.045276284,0.17022353,-0.25877726,-0.29271394,-0.34649205,0.25212273,0.47273374,0.61719054,-0.1223554,0.092633136,0.10961418,0.3895597,1.1719772,0.3850359,-0.19614488,-0.23079455,-0.311387,0.27704668,0.86028004,0.4358825,0.19814089,-0.27448583,0.26137188,-0.25652987,1.0097365,0.1220048,-0.6255502,-0.009002924,0.814117,0.1956864,0.116976455,-0.14023244,0.60263085,-0.33600056,0.4992816,-0.07779211,0.23524773,0.90335155,-0.2769323,-0.54839885,0.60277975,-0.39665323
ADAM10,1.0363674,-0.30444992,1.0470852,0.46159658,0.63545895,1.4666922,0.8526987,0.2849145,-0.30756378,0.60772085,0.2969199,0.7314493,-0.07987219,0.43021864,0.4084461,0.48927304,-0.09582472,-0.35837483,0.53933954,0.38547036,-0.34620458,0.6490532,-0.099787414,0.2089465,-0.32782358,-0.20861298,-0.35352218,0.1656363,0.43023396,0.59805846,0.03851354,0.11408298,0.27021554,0.39221737,1.1669481,0.39020512,-0.25648344,-0.13828117,-0.28029317,0.16383241,0.8543687,0.46779147,0.13610022,-0.27377433,0.26290852,-0.32131875,0.9057389,0.022198528,-0.60381144,-0.096903205,0.6775716,0.32266408,0.10324031,-0.09420127,0.66728616,-0.39616013,0.5432852,-0.029740453,0.2547383,0.8638752,-0.31494492,-0.59203434,0.61447275,-0.47041762
ADAM12,1.1205074,-0.33160037,0.97496367,0.65257674,0.7322275,1.7533091,0.89030933,0.07717002,-0.29555285,0.49001384,0.14619213,0.65684354,-0.09905374,0.29405642,0.6826959,0.5970287,-0.036595583,-0.35726058,0.5798414,0.6186808,-0.3318808,0.53760636,-0.34713572,0.39835483,-0.4213165,-0.24376684,-0.33653247,0.3765222,0.27659327,0.7582469,0.08841273,0.3097363,0.2722003,0.33191836,1.3086181,0.2103005,-0.30372214,-0.050215542,-0.22412437,-0.02030778,1.1574817,0.29195228,0.23782808,-0.20125353,0.5501592,-0.45938283,0.8999941,-0.0402413,-0.65276015,-0.28264415,0.9497832,0.45166442,0.30849373,-0.13259536,0.8672689,-0.37886417,0.67650425,0.15235424,0.547171,0.95979637,-0.30878997,-0.6121764,0.7983913,-0.48717678
ADAM15,0.45985115,0.30243564,0.40005112,0.9337683,1.0206102,1.598215,0.24909773,-0.30963182,0.23056903,-0.1572159,-0.32780486,-0.08185631,0.2782759,-0.1564731,0.69872004,0.14937189,0.0068315566,0.26552448,-0.16743988,0.37942824,0.102391765,0.06313802,-0.4627384,0.7356553,0.03491175,-0.5261965,0.19962429,0.6364133,0.25870866,0.5780942,-0.08702296,0.7456535,-0.17449701,0.012028277,0.7734652,-0.32230562,-0.19150865,-0.16218895,0.26379436,-0.0021249652,1.4108663,-0.38161087,0.7607251,0.29952937,0.75161767,-0.31364244,0.6929096,0.49197102,-0.56680226,-0.31251067,1.0595028,-0.07294148,0.19230649,-0.46087158,0.33242685,0.16814846,0.73635364,0.43370134,0.6952293,0.7033061,0.12732139,-0.3121972,0.8998708,-0.20064026
ADAM17,0.06636548,0.090722196,0.06073211,0.923093,1.0986705,1.4401721,0.043156058,-0.4603604,0.43769374,-0.41775298,-0.4751318,-0.33268064,0.4533529,-0.52833235,0.7474786,0.13027795,-0.17009294,0.42377895,-0.3083148,0.41632584,0.112833545,0.005081758,-0.5168477,0.8898207,0.037529275,-0.54951537,0.42018646,0.8429688,0.15441671,0.5992719,0.30310005,1.0483134,-0.3310812,-0.254987,0.45209944,-0.39527637,0.015203938,-0.07637733,0.4703602,0.046262667,1.6181226,-0.50293344,0.7885762,0.5235873,0.9606139,-0.22880852,0.15799259,0.36711982,-0.6227298,-0.3128395,1.0953938,-0.05438906,0.4598215,-0.46337533,0.13567019,0.34071136,0.5210476,0.6349326,0.888975,0.4214575,0.44891053,-0.0462963,1.1078997,-0.091240466
