Protein,RF_Importance,LGB_Importance,SHAP_RF,SHAP_LGB,SHAP_NN,Consensus_Score
P4HA1,0.0264575138867692,0.008446491842550384,0.013576483144813268,0.10374184976101741,0.0,0.4605465802952039
TGM2,0.012568125338301685,0.08401126645578089,0.0033362062469004064,0.2704030163132337,0.0,0.447526286587856
LAMA4,0.022729164361237772,0.0015924119775761745,0.012559523178526178,0.16861920490816154,0.0,0.4267512104026313
CSPG4,0.01746613550695205,0.00022355410820489098,0.011539567215010663,0.24885627111580355,0.0,0.40021749298199083
F2,0.0,0.06857018533647832,0.0,0.5095985392289252,0.0016556491082074661,0.3631569225919528
ANGPTL2,0.02530293608510781,2.4409085649865644e-07,0.009185434670287283,0.0745312452908824,0.0,0.3558376526576161
Col4a1,0.012160833202014719,0.021165392001860968,0.006409493121377293,0.24253702040854083,0.0,0.3312293262927613
HRNR,0.006143554209973259,0.057079779554179554,0.0034527304799980966,0.21072122757208644,0.0,0.31402236026523234
Aspn,0.002913116306168523,0.08518277855131678,0.0013374562718640683,0.13045908435230655,0.0,0.29292436143475553
COL14A1,0.01788353532367721,2.755697794569341e-06,0.007319335493662813,0.07866091488930628,0.0,0.2738887374011897
Sparc,0.0024914488408428704,0.05965339575851885,0.0009139248919906949,0.2365140059460518,0.0,0.26518034954973313
Igfbp5,0.01169827632787594,0.010073542528686303,0.004211625112124757,0.2045948498775549,0.0,0.25442167660937265
LTBP1,0.011858070842014953,0.01846910147578661,0.002669491525423729,0.18967225666469945,0.0,0.24676715324212167
SEMA3B,0.002216967188885603,0.0,0.0017337461300309597,0.0,0.15319413990268302,0.2422991264643303
Serpinc1,0.004696332379767719,0.030687586330199912,0.003195908670229869,0.20269121914512733,0.0,0.23418152451323654
S100A6,0.016575843570573318,0.0,0.007028569333835045,0.0,0.0,0.22884194838116462
Ctsf,0.0035298443436695692,0.03869981724234374,0.00180494468879115,0.21363524661096556,0.0,0.22797993203028066
FBN1,0.0,0.045498279842604135,0.0,0.25195135387074735,0.0,0.20570735664076692
LAMA5,0.006363651317142173,0.0412406499440233,0.0026018146994468204,0.04259979602880589,0.0,0.1999805102152392
SDC2,0.003154068213407463,0.02408524590898922,0.0015131025363625437,0.22815439064890508,0.0057545902904577425,0.19973773476462495
Cap2,0.015321603300013328,0.0,0.005679092665954645,0.0,0.0,0.19948116301508265
Matn2,0.007750158153287263,0.013815659596205522,0.002773240255312644,0.15827491198394192,0.0,0.19399444759866136
SERPINF1,0.0147556871245059,1.0347823564899731e-05,0.005355541404483796,0.00029439263304767465,0.0,0.19057672496498432
ITIH2,0.011994925809946266,0.0,0.006498506781192913,0.0,0.0,0.1864049263254694
ANXA6,0.010050251256281407,3.626133506455352e-05,0.004268610396920692,0.11159084443292144,0.0,0.18273590086757677
Itih1,0.00613042234857568,0.0008498043978678636,0.0038962944117027884,0.17511400275856318,0.0,0.17446084033087858
FMOD,0.01209220706708144,0.00010683524325307606,0.005316299028599626,0.002226007925205408,0.0,0.1708492505475202
OGN,0.006590587987962014,0.008899146196531088,0.003037745980475681,0.12987180959932507,0.0002866515023553691,0.1668089912791789
Col5a2,0.011258689298450055,0.00016119601915234286,0.0044711512840823675,0.03578551746993674,0.0,0.16539686998687503
MFAP4,0.012162260578253587,1.1550432017335962e-06,0.004848969457694184,0.00017018089204572185,0.0,0.16343943974461064
S100A16,0.01105871086873661,4.410695793568016e-06,0.004302712072840712,0.030204387734582946,0.0,0.15884531967833898
ITIH4,0.008554969971810272,0.0011212949259999513,0.003927859878697801,0.08299232692799184,0.0,0.1577365221949071
Nid1,0.00793824193430923,0.007731626287439186,0.0018409545227386307,0.13231273846263825,0.0,0.15720847386982645
HAPLN1,0.006046224147135734,0.000815014443636758,0.0048328153716019374,0.09628101300285173,0.0,0.1565996491859955
LRG1,0.007537688442211055,0.0014117729535636377,0.0038888888888888896,0.0894403520257363,0.0,0.1526851419094429
Tnc,0.007938241934309228,5.21464518629727e-07,0.0036291229385307347,0.09130044976296141,0.0,0.14930289514371636
Col18a1,0.005025125628140704,0.001833990942589406,0.0025,0.17828236093359837,0.0,0.14909050987237213
Kng1,0.012041338769318288,0.0003056079205183511,0.002513182048477361,0.03906118912916764,0.0,0.1440942556972588
ADIPOQ,0.009251663885911468,0.0,0.004992901048817251,0.0,0.0,0.14348820290092995
MMRN2,0.010050251256281407,0.0,0.004408602150537635,0.0,0.0,0.1409174410522504
Col14a1,0.008001479763308918,0.0,0.005263086673703776,0.0,0.0,0.13801790002151879
SEMA3C,0.0,0.0435146350679338,0.0,0.08037874959450717,0.0,0.13371359218908968
NID1,0.009746061520042775,0.00018115112932570818,0.002134904397431429,0.07034926836866329,0.0,0.13315833861929022
Lgals1,0.005025125628140704,0.008012748615358865,0.002189265536723164,0.10897095897389258,0.0,0.1318176733011785
Ctsl,0.008312070329474425,1.6604585387352528e-07,0.003080727474356931,0.05788912996195376,0.0,0.1309365286621401
Anxa11,0.007370184254606365,0.0035879169655627222,0.00233228137316502,0.07476080526111735,0.0,0.12783612266414612
Lamb1,0.0054261524723591146,4.1228303163085385e-06,0.0034207464713872323,0.083927280549783,0.0,0.12435835542438597
VWA5A,0.008614501076812638,4.5297444246012986e-05,0.003948412698412697,0.0009872530207548776,0.0,0.12377879240935041
Vcan,0.003013567565048369,0.02829803181890299,0.001266533518592544,0.03815444727913191,0.0,0.12285323428738167
POSTN,0.008236448514763163,1.9689828529348193e-07,0.0038587006368171715,5.1905917573067696e-05,0.0,0.11912642050981292
CTSD,0.00846478381210867,1.978290928044714e-08,0.0036948529411764707,9.500244656501657e-06,0.0,0.1184217157961095
SERPINA1,0.005025125628140704,0.008396254458264476,0.0019444444444444446,0.07913756031001024,0.0,0.11740296847125291
Serpina1e,0.00824243167054786,3.0535934804011166e-07,0.0020251461357649685,0.06348508902156443,0.0,0.11705651568775859
Tgm2,0.009170122572926443,0.0003020891886801902,0.002987646783359636,0.004958424127201288,0.0,0.1159869800688692
MATN2,0.007384749836137208,1.1348029423864067e-06,0.0038746054373281734,0.00015386177042446404,0.0,0.11296469943249621
Tgfbi,0.0,0.024227265859093863,0.0,0.13952876443778997,0.0,0.11164328237137
Serpinh1,0.008242431670547862,6.0018203927463965e-09,0.0032544439851178177,6.875685961464304e-06,0.0,0.11025200838478862
PRELP,0.00842555249910978,3.191395221117882e-05,0.0031292454762617064,0.0007261119192136365,0.0,0.11014912001718039
SERPINB6,0.00501640952217145,0.003902885148085562,0.002010395850994463,0.07639411377962553,0.0,0.10668197784251601
Fgb,0.0033120146185472835,0.001344991731728257,0.0012147335423197487,0.1531544383354274,0.0,0.10619692344619266
CTHRC1,0.0,0.02482692219504301,0.0,0.11554289350830799,0.0,0.10363757683740234
Mbp,0.0,0.03481167416560289,0.0,0.05113043349696172,0.0,0.10180101241986168
Serpinb8,0.005025125628140704,0.00010178127598589708,0.001691323470611755,0.09524936506381819,0.0,0.10052295515190976
LAMB2,0.00886232287139261,2.182300572957775e-09,0.0021268429903452575,1.7727529435262134e-06,0.0,0.09832484253289928
CTSG,0.00970434148212904,3.1312075033225103e-06,0.001567102702650567,0.00013491602711620957,0.0,0.09650377240855194
Dcn,0.005370931311610317,0.0006847113472304727,0.0036188901356325916,0.0023325579201064397,0.0,0.09643465771287635
Col6a1,0.00637137425581462,1.26452899675051e-05,0.0019257812102526533,0.048968523453628475,0.0,0.09578058879330928
Plxnd1,0.004541940471588714,0.0006982995617059185,0.0021200372208436727,0.07269399411268915,0.0,0.09573430242323122
LGALS3,0.008542713567839194,6.85563488245269e-06,0.0020630327368648988,0.00032629457017244716,0.0,0.09511226673483911
Serpinf1,0.0050883634571404004,1.76714644977586e-06,0.002226947422737841,0.058519217060095385,0.0,0.09424130554845865
Serpinb6,0.007016213141177585,1.141882427681919e-06,0.002716964743145049,0.000142275363592951,0.0,0.09312067681240505
AGT,0.005530725825749331,0.0,0.0034735740027252455,0.0,0.0,0.09297880926067055
SERPIND1,0.006700167504187604,2.266095319099637e-05,0.002787634408602151,0.000444196581689035,0.0,0.09194167461435891
SERPINH1,0.003979639602656247,2.897568501901827e-05,0.002247735728512909,0.06318312848544079,0.0,0.088060689663976
SPON1,0.005025125628140704,0.0011365860478139385,0.001293656450463293,0.06617972075732452,0.0,0.08568554991765735
Col4a2,0.007775246140987894,2.9034772802403435e-08,0.0018232344018576964,1.7813760292063028e-05,0.0,0.0856411077031683
Comp,0.004024786774619146,0.0,0.0033528724907860934,0.0,0.0034928162089987677,0.08437687027461277
Ctsa,0.0036788770004667825,6.412538370255219e-06,0.0013624629484664842,0.08820897700688729,0.0,0.08251468410365596
Ecm1,0.006819813352476662,0.0,0.0020188492063492065,0.0,0.0,0.08129332668186569
Loxl2,0.007054503285659064,2.561138827498876e-05,0.0014429538875103396,0.0005420026824429101,0.0043888293934841345,0.08058630889481982
ANXA7,0.005025125628140704,0.002699572268407502,0.002057276446522502,0.014846472688029232,0.0,0.08045788654815719
DPT,0.0,0.014143623133079259,0.0,0.11383051840775514,0.0,0.07788229131903981
Serpina3k,0.003154068213407463,0.004659414448360487,0.0010403894698882078,0.06406813256611452,0.0,0.07525321581553328
ADAM10,0.005025125628140704,0.0,0.0025,0.0,0.0,0.07481476648293292
FBLN1,0.0021120093219721813,0.003006329733818795,0.0010282358820589705,0.08828844320399636,0.0,0.07282133106068095
FGA,0.0,0.01580583117426359,0.0,0.0905858324552824,0.0,0.07266223263303842
TNXB,0.005025125628140704,0.0,0.0023497267759562844,0.0,0.0,0.07260103820980113
SERPINA4,0.005025125628140704,0.0,0.0022043010752688173,0.0,0.0,0.0704587205261252
Anxa1,0.0,0.004566255642571877,0.0,0.15168890914097108,0.0,0.07025378654283243
