tissue,coagulation_score,fibrinolysis_score,aging_velocity,state,predicted_velocity,spearman_rho,spearman_pvalue
Heart_Decellularized_Tissue,0.0,0.0,0.7427755494468655,hyperfibrinolytic,0.77772546,-0.3714285714285714,0.17284974708033998
Heart_Native_Tissue,2.7432879122878675,0.8096146628763583,0.7219527026846492,hypercoagulable,0.7313672,-0.3714285714285714,0.17284974708033998
Intervertebral_disc_IAF,4.691511955818619,-0.051454906335777095,0.5928589287981638,hypercoagulable,0.51192594,-0.3714285714285714,0.17284974708033998
Intervertebral_disc_NP,5.292319339129039,-0.8548837190425498,0.6513090731071456,hypercoagulable,0.4273591,-0.3714285714285714,0.17284974708033998
Intervertebral_disc_OAF,3.2491324998573354,0.44065921888712956,0.572128426886304,hypercoagulable,0.72586143,-0.3714285714285714,0.17284974708033998
Kidney_Glomerular,4.482022321207636,0.0,0.834635941779991,hypercoagulable,0.43788671,-0.3714285714285714,0.17284974708033998
Kidney_Tubulointerstitial,2.1528073548038407,0.0,0.5997086332633421,balanced,0.56087995,-0.3714285714285714,0.17284974708033998
Lung,0.7223765726260565,-6.865376010996583,0.39325245455733693,balanced,0.980322,-0.3714285714285714,0.17284974708033998
Ovary,2.038296954080657,0.0,0.7454625906360335,balanced,0.4494568,-0.3714285714285714,0.17284974708033998
Ovary_Cortex,1.5006160441858658,0.0,0.9839794489919835,balanced,0.8137685,-0.3714285714285714,0.17284974708033998
Skeletal_muscle_EDL,0.4153542858685534,0.0,0.8838647570199912,hyperfibrinolytic,0.75609523,-0.3714285714285714,0.17284974708033998
Skeletal_muscle_Gastrocnemius,0.1471365853320602,0.0,0.8574575900194424,hyperfibrinolytic,0.7810695,-0.3714285714285714,0.17284974708033998
Skeletal_muscle_Soleus,-0.2615993686230078,0.0,0.8710595678894227,hyperfibrinolytic,0.781298,-0.3714285714285714,0.17284974708033998
Skeletal_muscle_TA,0.7723771772432307,0.0,0.9679828299893152,balanced,0.655922,-0.3714285714285714,0.17284974708033998
Skin dermis,-1.1039140019465243,0.0,0.6973722546998852,hyperfibrinolytic,0.54676175,-0.3714285714285714,0.17284974708033998
