protein,module,lead_index,early_change
PLAU,coag,1,True
MMP3,mmp,1,True
MMP2,mmp,1,True
MMP8,mmp,1,True
COL5A3,collagen,1,True
MMP1,mmp,1,True
F13B,coag,1,True
COLQ,collagen,1,True
COL6A4,collagen,1,True
GAS6,coag,1,True
COL9A1,collagen,1,True
COL8A2,collagen,1,True
COL11A2,collagen,2,True
COL10A1,collagen,2,True
COL28A1,collagen,2,True
COL9A3,collagen,2,True
MMP19,mmp,2,True
COL22A1,collagen,2,True
COL6A6,collagen,3,True
COL7A1,collagen,3,True
COL9A2,collagen,3,True
COL6A2,collagen,3,True
MMP13,mmp,3,True
COL5A2,collagen,3,True
COL4A6,collagen,3,True
COL4A4,collagen,3,True
COL4A3,collagen,3,True
COL4A2,collagen,3,True
COL4A1,collagen,3,True
F2,coag,3,True
MMP9,mmp,3,True
F7,coag,3,True
F9,coag,3,True
F10,coag,3,True
COL18A1,collagen,3,True
COL16A1,collagen,3,True
COL12A1,collagen,3,True
VWF,coag,4,True
F12,coag,4,True
FGA,coag,4,True
FGG,coag,4,True
SERPINC1,serpin,4,True
SERPINE1,serpin,4,True
SERPINF2,serpin,4,True
COL27A1,collagen,4,True
COL3A1,collagen,4,True
COL4A5,collagen,4,True
COL6A3,collagen,4,True
COL6A1,collagen,4,True
COL14A1,collagen,4,True
COL15A1,collagen,4,True
COL21A1,collagen,5,False
MMP14,mmp,5,False
COL17A1,collagen,5,False
MMP12,mmp,5,False
F13A1,coag,5,False
COL6A5,collagen,5,False
FGB,coag,5,False
COL5A1,collagen,5,False
COL11A1,collagen,5,False
COL2A1,collagen,5,False
COL1A1,collagen,6,False
COL1A2,collagen,6,False
COL8A1,collagen,6,False
COLEC12,collagen,8,False
