protein,betweenness,module
COL10A1,0.5452699474438605,collagen
COL11A1,0.7986144290492116,collagen
COL11A2,0.6962494027711419,collagen
COL12A1,0.18442427138079312,collagen
COL14A1,0.5701146679407548,collagen
COL15A1,0.600334448160535,collagen
COL16A1,0.013139034878165312,collagen
COL17A1,0.767797419971333,collagen
COL18A1,0.04610606784519828,collagen
COL1A1,0.030458671763019588,collagen
COL1A2,0.15539894887720973,collagen
COL21A1,0.7750836120401338,collagen
COL22A1,0.16758241758241757,collagen
COL27A1,0.7222885809842331,collagen
COL28A1,0.03786430960344004,collagen
COL2A1,0.11562350692785475,collagen
COL3A1,0.25107501194457715,collagen
COL4A1,0.06473960821786909,collagen
COL4A2,0.005972288580984233,collagen
COL4A3,0.6829909221213569,collagen
COL4A4,0.2648112756808409,collagen
COL4A5,0.7380554228380315,collagen
COL4A6,0.02771141901576684,collagen
COL5A1,0.2333970377448638,collagen
COL5A2,0.14990444338270426,collagen
COL5A3,0.6909937888198757,collagen
COL6A1,0.0,collagen
COL6A2,0.33743430482560915,collagen
COL6A3,0.29550883898709984,collagen
COL6A4,0.24235547061634016,collagen
COL6A5,0.7922838031533683,collagen
COL6A6,0.35224558050645005,collagen
COL7A1,0.0,collagen
COL8A1,0.002866698518872432,collagen
COL8A2,0.5826564739608218,collagen
COL9A1,0.6821548017200191,collagen
COL9A2,0.7239608217869087,collagen
COL9A3,0.003105590062111801,collagen
COLEC12,0.0637840420449116,collagen
COLQ,0.25322503583373146,collagen
F10,0.027591973244147156,coag
F12,0.7189440993788819,coag
F13A1,0.6243430482560917,coag
F13B,0.0,coag
F2,0.14644051600573338,coag
F7,0.7406832298136645,coag
F9,0.0,coag
FGA,0.6055900621118012,coag
FGB,0.18633540372670807,coag
FGG,0.26660296225513613,coag
GAS6,0.7093884376493071,coag
PLAU,0.26361681796464403,coag
SERPINA1,0.19720496894409936,serpin
SERPINA10,0.8017200191113234,serpin
SERPINA12,0.7460582895365504,serpin
SERPINA1A,0.0,serpin
SERPINA1B,0.0,serpin
SERPINA1C,0.0,serpin
SERPINA1D,0.01075011944577162,serpin
SERPINA1E,0.0,serpin
SERPINA3,0.2891782130912566,serpin
SERPINA3G,0.03416149068322981,serpin
SERPINA3K,0.011108456760630674,serpin
SERPINA3M,0.0,serpin
SERPINA3N,0.0,serpin
SERPINA4,0.6085762064022934,serpin
SERPINA5,0.727663640707119,serpin
SERPINA6,0.7838031533683707,serpin
SERPINA7,0.7159579550883899,serpin
SERPINB1,0.002030578117534639,serpin
SERPINB12,0.33827042522694695,serpin
SERPINB1A,0.0,serpin
SERPINB2,0.7009077878643095,serpin
SERPINB3,0.7593167701863354,serpin
SERPINB4,0.7075967510750119,serpin
SERPINB5,0.6122790253225036,serpin
SERPINB6,0.24307214524605827,serpin
SERPINB6;SERPINB6A,0.0,serpin
SERPINB6B,0.0,serpin
SERPINB7,0.128404204491161,serpin
SERPINB8,0.728021978021978,serpin
SERPINB9,0.032489249880554225,serpin
SERPINB9B,0.0,serpin
SERPINC1,0.04503105590062111,coag
SERPIND1,0.7317247969421882,serpin
SERPINE1,0.7930004777830865,coag
SERPINE2,0.7781892021022455,serpin
SERPINF1,0.0026278069756330625,serpin
SERPINF2,0.7247969421882465,coag
SERPING1,0.08122312470138557,serpin
SERPINH1,0.036311514572384136,serpin
SERPINI2,0.7181079789775442,serpin
VWF,0.7099856665074056,coag
