S100,Partner,Type,rho,p,abs_rho,q
S100A8,LOX,Crosslinking,-0.7999999999999999,0.20000000000000007,0.7999999999999999,0.9176520880602839
S100A8,TGM2,Crosslinking,0.21428571428571433,0.6445115810207203,0.21428571428571433,0.9176520880602839
S100A8,TGM1,Crosslinking,-0.39999999999999997,0.6,0.39999999999999997,0.9176520880602839
S100A8,TGM3,Crosslinking,0.19999999999999998,0.747060078104662,0.19999999999999998,0.9176520880602839
S100A9,LOX,Crosslinking,-0.3,0.6238376647810728,0.3,0.9176520880602839
S100A9,LOXL2,Crosslinking,-0.6,0.28475697986529375,0.6,0.9176520880602839
S100A9,LOXL3,Crosslinking,-0.39999999999999997,0.6,0.39999999999999997,0.9176520880602839
S100A9,TGM2,Crosslinking,0.38333333333333336,0.30849527238037144,0.38333333333333336,0.9176520880602839
S100A9,TGM1,Crosslinking,-0.39999999999999997,0.6,0.39999999999999997,0.9176520880602839
S100A9,TGM3,Crosslinking,0.19999999999999998,0.747060078104662,0.19999999999999998,0.9176520880602839
S100B,LOX,Crosslinking,0.09999999999999999,0.8728885715695383,0.09999999999999999,0.9176520880602839
S100B,LOXL2,Crosslinking,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.9176520880602839
S100B,LOXL3,Crosslinking,0.7999999999999999,0.20000000000000007,0.7999999999999999,0.9176520880602839
S100B,TGM2,Crosslinking,-0.3,0.6238376647810728,0.3,0.9176520880602839
S100A1,LOX,Crosslinking,-0.7999999999999999,0.20000000000000007,0.7999999999999999,0.9176520880602839
S100A1,TGM2,Crosslinking,0.7,0.18812040437418728,0.7,0.9176520880602839
S100A4,LOX,Crosslinking,0.09999999999999999,0.8728885715695383,0.09999999999999999,0.9176520880602839
S100A4,LOXL2,Crosslinking,-0.19999999999999998,0.747060078104662,0.19999999999999998,0.9176520880602839
S100A4,LOXL3,Crosslinking,0.7999999999999999,0.20000000000000007,0.7999999999999999,0.9176520880602839
S100A4,TGM2,Crosslinking,-0.42857142857142866,0.337368311085824,0.42857142857142866,0.9176520880602839
S100A6,LOX,Crosslinking,0.6,0.28475697986529375,0.6,0.9176520880602839
S100A6,LOXL2,Crosslinking,-0.09999999999999999,0.8728885715695383,0.09999999999999999,0.9176520880602839
S100A6,LOXL3,Crosslinking,-0.19999999999999998,0.8,0.19999999999999998,0.9176520880602839
S100A6,TGM2,Crosslinking,-0.03571428571428572,0.9394082054712856,0.03571428571428572,0.9628934106080677
S100A10,LOX,Crosslinking,-0.09999999999999999,0.8728885715695383,0.09999999999999999,0.9176520880602839
S100A10,LOXL2,Crosslinking,0.3,0.6238376647810728,0.3,0.9176520880602839
S100A10,LOXL3,Crosslinking,0.19999999999999998,0.8,0.19999999999999998,0.9176520880602839
S100A10,TGM2,Crosslinking,0.7857142857142859,0.03623846267982714,0.7857142857142859,0.9176520880602839
S100A11,LOX,Crosslinking,0.19999999999999998,0.747060078104662,0.19999999999999998,0.9176520880602839
S100A11,LOXL2,Crosslinking,-0.49999999999999994,0.39100221895577053,0.49999999999999994,0.9176520880602839
S100A11,LOXL3,Crosslinking,-0.39999999999999997,0.6,0.39999999999999997,0.9176520880602839
S100A11,TGM2,Crosslinking,0.5833333333333334,0.09918581647988323,0.5833333333333334,0.9176520880602839
S100A11,TGM1,Crosslinking,-0.19999999999999998,0.8,0.19999999999999998,0.9176520880602839
S100A11,TGM3,Crosslinking,0.3,0.6238376647810728,0.3,0.9176520880602839
S100A13,LOX,Crosslinking,0.39999999999999997,0.5046315754686911,0.39999999999999997,0.9176520880602839
S100A13,LOXL2,Crosslinking,0.3,0.6238376647810728,0.3,0.9176520880602839
S100A13,LOXL3,Crosslinking,0.19999999999999998,0.8,0.19999999999999998,0.9176520880602839
S100A13,TGM2,Crosslinking,0.21428571428571433,0.6445115810207203,0.21428571428571433,0.9176520880602839
S100A16,TGM2,Crosslinking,-0.3214285714285715,0.4820720382996776,0.3214285714285715,0.9176520880602839
S100A16,TGM1,Crosslinking,0.7999999999999999,0.20000000000000007,0.7999999999999999,0.9176520880602839
S100A16,TGM3,Crosslinking,0.0,1.0,0.0,1.0
