source_gene,target_gene,spearman_rho,p_value
S100A1,LOX,0.6767195200049725,0.0028509069126754724
S100A1,LOXL1,0.4129412866652509,0.09947539030463044
S100A1,LOXL2,0.3341013824884792,0.18997410761266842
S100A1,LOXL3,0.5880726359206028,0.01303224390032028
S100A1,LOXL4,0.6353406181953767,0.006131836111968325
S100A1,TGM1,-0.23153170998912265,0.37123971881676376
S100A1,TGM2,0.6023223056426705,0.0105069921562041
S100A1,TGM3,0.2536634175616123,0.3258976574289114
S100A10,LOX,0.6870032911806955,0.0023139423920549196
S100A10,LOXL1,0.1750405240799853,0.5016119773119878
S100A10,LOXL2,0.6956097573907082,0.001930893897939282
S100A10,LOXL3,0.6025433425061032,0.010471144985538267
S100A10,LOXL4,0.561225177777434,0.019076284715879636
S100A10,TGM1,0.09792128358457877,0.7084879402911264
S100A10,TGM2,0.6175559678707981,0.008254525775422366
S100A10,TGM3,0.0404119583047468,0.877615229641024
S100A11,LOX,0.23709710553148466,0.35952203395267335
S100A11,LOXL1,-0.02000578028268758,0.9392520317703376
S100A11,LOXL2,-0.02500492043374046,0.9241090254357321
S100A11,LOXL3,0.10669749484100041,0.6835798802751307
S100A11,LOXL4,0.2331846069106368,0.3677376909980502
S100A11,TGM1,-0.06928162174621305,0.7916149640749509
S100A11,TGM2,0.31516073407749645,0.21788730812189366
S100A11,TGM3,0.00307918318872058,0.990642078700555
S100A12,LOX,-0.13574132586345916,0.6034397106979967
S100A12,LOXL1,0.3762883473534389,0.13657809421831926
S100A12,LOXL2,-0.4262248546578561,0.088007295419477
S100A12,LOXL3,-0.329252303934259,0.19688316912249199
S100A12,LOXL4,-0.3947368421052631,0.116871900876752
S100A12,TGM1,0.046152050793576115,0.8603818342039925
S100A12,TGM2,-0.11814863208986333,0.6515416502290301
S100A12,TGM3,-0.651558364144604,0.004601943391588271
S100A13,LOX,0.4238454731435387,0.08998769949274445
S100A13,LOXL1,-0.20815354763852564,0.4227225796494931
S100A13,LOXL2,0.5857333140941466,0.013489087992795936
S100A13,LOXL3,0.6176359364356253,0.008243817400741205
S100A13,LOXL4,0.5765627040347988,0.015403361110123708
S100A13,TGM1,0.19065168122813447,0.46357904756249935
S100A13,TGM2,0.20571366375403546,0.42830182198317657
S100A13,TGM3,-0.0173319710207395,0.9473597285370853
S100A14,LOX,0.2532803652007522,0.32665371677155686
S100A14,LOXL1,0.5485298130021853,0.02260611178042992
S100A14,LOXL2,-0.14283313930444766,0.5844641229045651
S100A14,LOXL3,-0.13713245325054632,0.5996979548392547
S100A14,LOXL4,-0.11508457687194673,0.660060755968438
S100A14,TGM1,-0.5065607304015044,0.0379820225393794
S100A14,TGM2,0.3061862178478973,0.23198812442321448
S100A14,TGM3,0.31660045650094026,0.21567779687212585
S100A16,LOX,-0.1260506983326509,0.6297605793418259
S100A16,LOXL1,-0.180854721718719,0.48727680664870887
S100A16,LOXL2,0.09383106487915942,0.7201944341113481
S100A16,LOXL3,-0.15355589579891238,0.5562574571797467
S100A16,LOXL4,-0.29019050004400465,0.2585274680680479
