source_gene,target_gene,spearman_rho,p_value
S100A1,CRP,0.3999327900524534,0.11170329550175048
S100A1,CXCL10,0.34279953433067434,0.17798577872062898
S100A1,CXCL12,0.62290586607918,0.007562232692732557
S100A1,MMP3,-0.14439559504440377,0.580317176744426
S100A1,MMP9,-0.0178756099623955,0.9457108512567518
S100A1,SERPINA1,-0.06239563031960724,0.811959390058862
S100A1,SERPINE1,-0.018434878868984414,0.9440147852021233
S100A1,TNFAIP6,-0.6270894413356963,0.007053950431802405
S100A10,CRP,0.41729572659146424,0.09560471691231325
S100A10,CXCL10,0.41729572659146424,0.09560471691231325
S100A10,CXCL12,0.4073518181287266,0.1046062310868603
S100A10,MMP3,-0.30509556644276614,0.23374034996930343
S100A10,MMP9,-0.1802995062827165,0.4886370925240031
S100A10,SERPINA1,-0.006781720198259735,0.9793913580054538
S100A10,SERPINE1,-0.09088642596460775,0.7286589052969585
S100A10,TNFAIP6,-0.5913580732285714,0.012411381981654031
S100A11,CRP,0.3616770679868129,0.1537310363068137
S100A11,CXCL10,0.4133452205563576,0.09911169974644725
S100A11,CXCL12,0.38646479817502744,0.12544351258685066
S100A11,MMP3,-0.613741885388796,0.008778322124882216
S100A11,MMP9,-0.02617305710412493,0.9205739630499784
S100A11,SERPINA1,-0.4299211637173399,0.0849934681394288
S100A11,SERPINE1,-0.03334296713781263,0.8989092174022557
S100A11,TNFAIP6,-0.33765131080660205,0.18501877792420224
S100A12,CRP,-0.09110862335695781,0.7280191422779205
S100A12,CXCL10,0.09110862335695781,0.7280191422779205
S100A12,CXCL12,0.08778252592585552,0.7376133645254191
S100A12,MMP3,-0.49999999999999994,0.040968955955836196
S100A12,MMP9,-0.5049577322120682,0.03869602503327896
S100A12,SERPINA1,0.47381127723681454,0.054693636016281105
S100A12,SERPINE1,-0.7466971892794804,0.0005740355936455131
S100A12,TNFAIP6,0.2763157894736842,0.28301148034400236
S100A13,CRP,-0.1057554278811059,0.6862393763336418
S100A13,CXCL10,0.3701439975838706,0.14362186570938937
S100A13,CXCL12,0.16222696138523832,0.5338936498982055
S100A13,MMP3,-0.2520075395118988,0.3291733098586299
S100A13,MMP9,0.022058872208213908,0.9330303015779675
S100A13,SERPINA1,-0.7754747974786163,0.00025454533087556616
S100A13,SERPINE1,0.2354523735583323,0.3629630497199715
S100A13,TNFAIP6,-0.5918358882476411,0.012323072707282617
S100A14,CRP,0.0625,0.811650149100106
S100A14,CXCL10,-0.0625,0.811650149100106
S100A14,CXCL12,0.3232772752936888,0.2056203704401648
S100A14,MMP3,0.038361525623982234,0.8837842285593059
S100A14,MMP9,-0.09498013695028208,0.7168996421624012
S100A14,SERPINA1,0.3867879070724306,0.12510070424117578
S100A14,SERPINE1,-0.06856622662527316,0.793722895187913
S100A14,TNFAIP6,0.11508457687194673,0.660060755968438
S100A16,CRP,-0.2115108557622118,0.41510825044494126
S100A16,CXCL10,0.0,1.0
S100A16,CXCL12,-0.3861269824706499,0.12580262460137845
S100A16,MMP3,-0.22909776319263528,0.3764301612988594
S100A16,MMP9,-0.04569337814558595,0.8617568131860411
S100A16,SERPINA1,-0.48398427076679595,0.04900680391774989
S100A16,SERPINE1,-0.03412353239975831,0.8965544514523004
S100A16,TNFAIP6,0.22909776319263528,0.3764301612988594
S100A2,CRP,0.0625,0.811650149100106
S100A2,CXCL10,-0.0625,0.811650149100106
S100A2,CXCL12,0.3232772752936888,0.2056203704401648
S100A2,MMP3,0.038361525623982234,0.8837842285593059
S100A2,MMP9,-0.09498013695028208,0.7168996421624012
S100A2,SERPINA1,0.3867879070724306,0.12510070424117578
S100A2,SERPINE1,-0.06856622662527316,0.793722895187913
S100A2,TNFAIP6,0.11508457687194673,0.660060755968438
S100A3,CRP,0.0625,0.811650149100106
S100A3,CXCL10,-0.0625,0.811650149100106
S100A3,CXCL12,0.3232772752936888,0.2056203704401648
S100A3,MMP3,0.038361525623982234,0.8837842285593059
S100A3,MMP9,-0.09498013695028208,0.7168996421624012
S100A3,SERPINA1,0.3867879070724306,0.12510070424117578
