Gene_Symbol,Gradient_Magnitude,Mean_Zscore,Zscore_Range,Quartile
ADAMTS5,0.04340648230068358,0.6623921329692773,0.1549219536911126,Q4_Late_Change
Megf8,0.04278509583303853,-0.21402724286601585,0.016094556501406815,Q4_Late_Change
CCL16,0.0404496367056446,-0.1356413468705344,0.045699591848948506,Q4_Late_Change
Adamtsl4,0.028260451432842396,-0.5002198161795864,0.08872450143813221,Q4_Late_Change
Sema4b,0.026980254248346984,-0.3140160256171717,0.04996194339827148,Q4_Late_Change
Pag1,0.026609903547758124,-0.4890800386563037,0.0100099015278039,Q4_Late_Change
CRELD2,0.024980059178849254,-0.08738805515267836,0.8133974157003233,Q4_Late_Change
CTSS,0.024548758760164213,-0.46392647113983987,0.7993534679483348,Q4_Late_Change
PLAT,0.021877473665020807,-0.09370217910267811,0.7123714325003273,Q4_Late_Change
FGF1,0.017142698399645693,-0.5299527111380197,0.5581983003550123,Q4_Late_Change
SERPINA3N,0.017003101068276617,0.07792548316836459,0.5536527503320652,Q4_Late_Change
ADAMTSL3,0.01681947727786904,-0.1039957926017364,0.5476736165153948,Q4_Late_Change
ADAMTSL1,0.012753862140150556,-0.3261174192035362,0.4152895888165058,Q4_Late_Change
EGFLAM,0.012229083308551648,-0.5106338255766136,0.39820180922477183,Q4_Late_Change
Lgals8,0.010735626740422199,-0.41860601739048453,0.03370480943778903,Q4_Late_Change
COLEC12,0.0107268382016073,0.3253978875078848,0.3492859007800302,Q4_Late_Change
C1QTNF2,0.01048208161909869,-0.33074075794252755,0.3413161689926439,Q4_Late_Change
LGALS9,0.010203576144738078,-0.40675642701696424,0.3322475102083962,Q4_Late_Change
SERPINB1A,0.009551468520607863,-0.03877862148333017,0.3110136671486994,Q4_Late_Change
LAMB3,0.00913566583070632,-0.3840299579905528,0.2974743544118529,Q4_Late_Change
LAMC2,0.009031096028270931,-0.4202461954099389,0.29406936619896207,Q4_Late_Change
ANXA8,0.008897913949112502,-0.33396472420592066,0.2897327087783541,Q4_Late_Change
TNFSF10,0.008633543806223387,-0.12065512345854913,0.2811243228063911,Q4_Late_Change
CRELD1,0.008236471521314796,-0.03590599607712272,0.26819490706408283,Q4_Late_Change
SERPINB6B,0.00817534352559191,-0.3169904481222999,0.2662044652723952,Q4_Late_Change
CTSH,0.006472258200833143,-0.12505359213667588,0.2107488239563629,Q4_Late_Change
CTSA,0.005811105650526659,0.10839370734084669,0.0937105358381462,Q4_Late_Change
NDNF,0.005043563099741356,-0.14447878470311284,0.1642278411703952,Q4_Late_Change
SVEP1,0.004821969669357044,-0.10777020625360065,0.1570123449091444,Q4_Late_Change
CRISPLD2,0.004713774453742949,-0.21437335010022704,0.1534893064670957,Q4_Late_Change
SERPINI2,0.004103377247877556,-0.5570371704830153,0.014645352175032378,Q4_Late_Change
Sema3b,0.0019650205586514377,-0.34694473516248286,0.006169238654813891,Q4_Late_Change
SFTPB,0.0015821597821754525,-0.1414452736110946,0.05151807963433652,Q4_Late_Change
BMPER,0.0008757307416953857,-0.13644317927587726,0.028515429729140895,Q4_Late_Change
HTRA4,0.0004953666715555485,-0.13923352267695444,0.01613006468809361,Q4_Late_Change
MBL1,6.032710888377626e-05,-0.11071095480989127,0.0019643634192892945,Q4_Late_Change
ASTL,3.469446951953614e-15,-4.880040555518632,0.0,Q4_Late_Change
Cxcl12,2.6794972490806757e-15,1.270371346807842,0.0,Q4_Late_Change
CST12,2.5994831287512454e-15,2.016918913604759,0.0,Q4_Late_Change
ADAMTS4,2.3540197569005272e-15,2.185897101582654,0.0,Q4_Late_Change
C17ORF58,2.3119527126080897e-15,2.2838105802419824,0.0,Q4_Late_Change
Col8a2,2.2924370735033506e-15,2.1255521960176216,0.0,Q4_Late_Change
C17orf58,2.2705361896191434e-15,-1.37429664956899,0.0,Q4_Late_Change
Parm1,2.106387980704838e-15,-1.7449069841166323,0.0,Q4_Late_Change
