Tissue,attention_weight
Skeletal_muscle_Gastrocnemius,0.0
Skeletal_muscle_TA,0.0
Skeletal_muscle_EDL,0.0
Skeletal_muscle_Soleus,0.0
Brain_Hippocampus,0.0
Heart_Decellularized_Tissue,0.0
Brain_Cortex,0.0
Skin dermis,0.0
Ovary_Cortex,0.4212145582041038
Ovary,0.26823347119466084
Kidney_Tubulointerstitial,0.2173210650060075
Lung,0.1530411897118002
Kidney_Glomerular,0.27568326441591584
Heart_Native_Tissue,0.37986521548284524
Intervertebral_disc_OAF,0.0
Intervertebral_disc_NP,0.0
Intervertebral_disc_IAF,0.0
