Gene_Symbol,gradient_magnitude,transition_index
A2m,0.19712198644784704,0.392229137193553
Acan,0.15556204103048535,0.4026297847614185
Adam22,0.09996676577118911,0.39869780131311033
Adam9,0.12430101636702652,0.4139976617031199
Aebp1,0.16917847178123074,0.26207861812386773
Agt,0.10689817727785667,0.4038315643431958
Ambp,0.27220825515628755,0.3288288183114224
Angpt1,0.11758283154465421,0.4021535484850872
Angptl1,0.13937822860221502,0.40984976471398543
Angptl7,0.34081357841779303,0.21935050272489684
Anxa1,0.2633701050448006,0.29671169832353317
Anxa2,0.16097375037212075,0.3103229773778696
Anxa4,0.1713454428344887,0.3793182843437368
Anxa5,0.25686809581349074,0.3703094739864355
Aspn,0.45221086514000775,0.19560823978821784
Bcan,0.09851005006995678,0.3988816610403652
Bdnf,0.1225639266694445,0.3878332545341244
Bgn,0.2301865307699803,0.32118161649884885
Brinp2,0.11091448754027375,0.3913987312242447
C1qa,0.27820034337777266,0.3009237986051723
C1qc,0.19355764046692217,0.3505618016013286
C1ql3,0.1535899139618602,0.35074879346294763
C1qtnf4,0.13234725459631622,0.3643466796622407
C1qtnf9,0.2237759639388352,0.2159475804730549
Cbln1,0.13267005188791678,0.3720812860123731
Cbln4,0.15010568970569052,0.3896399661368771
Cd109,0.13060495871895342,0.3591719443879887
Cd209d,0.11443773992817897,0.41505337899521255
Chad,0.24172359177733196,0.20210730645537905
Chadl,0.14121088287587757,0.40043586542493287
Chl1,0.17498876643490363,0.33754617158877315
Cilp,0.16885300011632556,0.3749313343420207
Cilp2,0.4659422893518437,0.17361181857764987
Clec2l,0.16125320369068233,0.3930771049102595
Coch,0.10746797364920496,0.4023294761241131
Col11a1,0.2143478867887822,0.20634980137518813
Col11a2,0.48626600522882213,0.19289177749520295
Col12a1,0.39727471744675524,0.26492058539015134
Col14a1,0.42136385731894066,0.40876380721247596
Col15a1,0.2297960016041066,0.3029173761018536
Col1a1,0.46881750695614005,0.2482534802675099
Col1a2,0.6032843872773929,0.2788769102201967
Col2a1,0.6151004489722469,0.19314732777435503
Col3a1,0.40208901204621494,0.23972949533730473
Col4a1,0.2773119502577977,0.32109853938826965
Col4a2,0.2935808302386519,0.2595768589553201
Col4a3,0.1745095068724364,0.3394078398595253
Col4a4,0.13272817149421967,0.3919233656370332
Col5a1,0.3489907928403401,0.2784350567236923
Col5a2,0.49469103350783844,0.1595233368366584
Col6a1,0.5002939494395535,0.285532027998404
Col6a2,0.4453472021884797,0.2862490405758617
Col6a3,0.13946354346841108,0.379762459221887
Col6a5,0.17595016739782662,0.3724130893837792
Col6a6,0.34251041797694376,0.3640446480342225
Col8a2,0.2211211999472353,0.2863876083917125
Colec11,0.09455222904031828,0.413854150175561
Comp,0.3049611473899052,0.2157737661736673
Cpn2,0.13025431642615073,0.3308351726985917
Crp,0.23310314497468082,0.32022874005486307
Cst3,0.18055527807851346,0.3742373201522014
Cstb,0.2596726161354259,0.313352414878315
Ctsa,0.10878254707155328,0.39588083457292955
Ctsb,0.2733373329496732,0.4042849909633325
Ctsc,0.24040821688965655,0.38107363167406333
Ctsf,0.5256777224667201,0.37873443367861814
Ctsh,0.2133211824969543,0.36344270180887356
Ctsl,0.22666750534559,0.24558880164272928
Ctss,0.3290706123580313,0.2866433291276018
Ctsz,0.21826602864290806,0.347866377827107
Cx3cl1,0.11145359248580405,0.41312913410497154
Cxcl12,0.17081644411136598,0.37421371942659626
Cyr61,0.32768561925747086,0.1337010352295688
Dpt,0.29856303762286224,0.25609273237464886
Dsp,0.17520833940007388,0.39399983091080165
Efemp1,0.27713855836668766,0.3882828471422534
Egfl7,0.11261043185794117,0.4061122694198731
Egln1,0.11319219704140658,0.40233294423357546
Elfn1,0.09290688453666153,0.4107629371103147
Elfn2,0.10448641177142669,0.39578518523426887
Eln,0.37556862522882284,0.21373572430258192
Emilin1,0.15796286819045283,0.3613849638061563
F13a1,0.20679387328860435,0.3709302937219425
F13b,0.18567011942102946,0.40754198614569614
Fbln2,0.1590275472697807,0.37385191722959776
