early_protein,late_protein,lag,f_stat,p_value,df_denom,df_num
Smoc2,FBN3,1,0.051136572950872275,0.8246138166731407,13.0,1.0
Smoc2,FBN3,2,0.03994598796554942,0.9609938548288353,10.0,2.0
Smoc2,FBN3,3,0.04357541224832306,0.9868824540706508,7.0,3.0
Smoc2,NPNT,1,0.013957069921079637,0.9077626043787586,13.0,1.0
Smoc2,NPNT,2,0.09096656201501267,0.9137950452271768,10.0,2.0
Smoc2,NPNT,3,0.4659363954951914,0.7151636224032627,7.0,3.0
Smoc2,DSP,1,0.037891729176649895,0.8486698200261152,13.0,1.0
Smoc2,DSP,2,0.07732501817339069,0.9261369174800318,10.0,2.0
Smoc2,DSP,3,1.6892085075233674,0.25533906686211005,7.0,3.0
Smoc2,ADAM15,1,0.08773503148787627,0.7717554193104761,13.0,1.0
Smoc2,ADAM15,2,0.12812489358155565,0.881164623616494,10.0,2.0
Smoc2,ADAM15,3,0.1253867527171081,0.9420935395903223,7.0,3.0
Smoc2,SDC2,1,0.0003593067931473246,0.985164536119677,13.0,1.0
Smoc2,SDC2,2,0.06438008817069475,0.9380339538615035,10.0,2.0
Smoc2,SDC2,3,0.05202851089560835,0.9830662150992193,7.0,3.0
Smoc2,COL28A1,1,0.009974195286802113,0.9219705401124093,13.0,1.0
Smoc2,COL28A1,2,0.2887656331593531,0.7552285708492714,10.0,2.0
Smoc2,COL28A1,3,0.48464919204746865,0.7034914459594732,7.0,3.0
Smoc2,PLXNB2,1,0.00011398726456667868,0.9916436676565431,13.0,1.0
Smoc2,PLXNB2,2,0.07852111498708553,0.925046809042918,10.0,2.0
Smoc2,PLXNB2,3,0.18857196621736713,0.9008878994844868,7.0,3.0
Smoc2,SERPIND1,1,0.2061948992329117,0.6572547578277879,13.0,1.0
Smoc2,SERPIND1,2,0.29322073361790113,0.7520556820306967,10.0,2.0
Smoc2,SERPIND1,3,0.07292645107358593,0.9726195255632815,7.0,3.0
Smoc2,WISP2,1,0.3699309086166992,0.5535204101612182,13.0,1.0
Smoc2,WISP2,2,0.08813263753851004,0.9163426521904158,10.0,2.0
Smoc2,WISP2,3,0.07921122111486208,0.9692442562382164,7.0,3.0
Smoc2,CTSG,1,0.4695289715911691,0.5052392910516357,13.0,1.0
Smoc2,CTSG,2,0.07175573379927645,0.9312330423547752,10.0,2.0
Smoc2,CTSG,3,0.12552827636822902,0.9420053376263252,7.0,3.0
Cyr61,FBN3,1,0.023353488533842746,0.8808878894809654,13.0,1.0
Cyr61,FBN3,2,0.27141509769444205,0.7677395984835347,10.0,2.0
Cyr61,FBN3,3,0.38713342356661673,0.7659674963116796,7.0,3.0
Cyr61,NPNT,1,0.010934796603582644,0.918313499499576,13.0,1.0
Cyr61,NPNT,2,0.5226539705799891,0.6082902534325227,10.0,2.0
Cyr61,NPNT,3,0.15560914920130814,0.9227758424538857,7.0,3.0
Cyr61,DSP,1,0.004036314653717802,0.9503093795597546,13.0,1.0
Cyr61,DSP,2,0.03296445053446882,0.9676776432885128,10.0,2.0
Cyr61,DSP,3,2.3059287239676243,0.1634957074034642,7.0,3.0
Cyr61,ADAM15,1,0.036154792699379296,0.8521331837228193,13.0,1.0
Cyr61,ADAM15,2,0.1727204088224402,0.8438300689294841,10.0,2.0
Cyr61,ADAM15,3,0.25488056615119487,0.8556256180531755,7.0,3.0
Cyr61,SDC2,1,9.176676408540344e-05,0.99250223232591,13.0,1.0
Cyr61,SDC2,2,0.018330657966001588,0.9818692377941352,10.0,2.0
Cyr61,SDC2,3,0.2640937844738762,0.8492926744230478,7.0,3.0
Cyr61,COL28A1,1,0.006156134696308003,0.9386561699503907,13.0,1.0
Cyr61,COL28A1,2,0.47676127477665753,0.634206905893429,10.0,2.0
Cyr61,COL28A1,3,2.2044467177968468,0.17534771497140103,7.0,3.0
Cyr61,PLXNB2,1,0.0034169418117244834,0.9542755016120832,13.0,1.0
Cyr61,PLXNB2,2,0.049993773289919934,0.9514715534710093,10.0,2.0
Cyr61,PLXNB2,3,0.35674057842263396,0.7861938107276112,7.0,3.0
Cyr61,SERPIND1,1,0.12951606706951205,0.7247133600142073,13.0,1.0
Cyr61,SERPIND1,2,1.4403351918958607,0.2820380258221486,10.0,2.0
