Gene_Symbol,gradient_magnitude,transition_index
A2M,0.22095331967648213,0.6120711415175001
ABI3BP,0.19462707230802678,0.6360649774824765
ADAM10,0.2652387998312706,0.7102180338406737
ADAM15,0.41315897349034403,0.8235605002788411
ADAM17,0.36036014478282447,0.7587379829466275
ADAM19,0.15843504032323658,0.5637909504823785
ADAMTS4,0.21570760605059677,0.6547167400677671
ADAMTSL4,0.5087892356933823,0.6383682493673163
ADIPOQ,0.15104289803290138,0.5864055858481972
AEBP1,0.22518500723133636,0.5779960990778098
AGRN,0.4896194776886887,0.5690652866072591
AGT,0.32608936622955753,0.5846954162188585
AMBP,0.2294024538946406,0.5813858165742104
ANGPTL4,0.13042319737068797,0.5725371355624149
ANXA1,0.19658030434673884,0.631220894735041
ANXA11,0.1934226917894302,0.5721706064500284
ANXA3,0.35977709958042503,0.7391050781971386
ARG1,0.3193537065951362,0.732817209000632
ASPN,0.21609895208555494,0.6271353369380146
BCAN,0.12705725469292295,0.5797743166285899
BGN,0.3386414962310097,0.6665770186835714
BMP1,0.12400066971507749,0.574049471755092
C17ORF58,0.21464650068781357,0.6914255027337963
C1QA,0.24305510890402307,0.7399664505919732
C1QB,0.19026421908695698,0.6142449988531699
C1QC,0.36284241761621616,0.7670007706430342
C1QTNF5,0.21684614862178744,0.6907016011283437
C1QTNF7,0.29323994565360106,0.6850391022335186
C7,0.1888179027291761,0.6532833978595738
CAP2,0.2577027957137127,0.7137514197334927
CD109,0.1438521445179514,0.5734120123198314
CHAD,0.1524774502658583,0.6044259385924409
CHRDL2,0.15866328343991068,0.6411527211757687
CILP,0.8267110400799461,0.6250985718850233
CILP2,0.5075520578969379,0.645519960081011
CLEC14A,0.2913053117844443,0.718498496603021
CLEC3A,0.2090536385232084,0.7050591282595572
CLEC3B,0.14641398148521978,0.5670700826110224
COL10A1,0.4003446015803037,0.6239185206122163
COL11A2,0.1555087848268067,0.6272815074520491
COL12A1,0.22482565039799607,0.5646991108855732
COL14A1,0.2909653105373717,0.6003441777270642
COL15A1,0.22931941405303466,0.6316760930347838
COL1A1,0.368273395076231,0.6084037432570654
COL1A2,0.24948501871956655,0.5620110638758812
COL21A1,0.16071062590172372,0.5943980833122507
COL28A1,0.3213590621064872,0.8047007637808226
COL3A1,0.2554151430085203,0.5676023042413112
COL4A1,0.17838098858718965,0.61283421838977
COL4A3,0.2351146566330797,0.5896316137842631
COL5A2,0.29621593755776904,0.5806470818791457
COL5A3,0.259846285857224,0.7033767686823599
COL6A1,0.250753144341034,0.5682191843813819
COL6A2,0.21360813241331889,0.5882624982952219
COL6A3,0.22090452328751087,0.596370545834078
COL6A4,0.27596850820683205,0.5979897555068976
COL6A6,0.41516037196685773,0.7648305905852167
COL8A1,0.3628089720340555,0.6432981313310826
COL8A2,0.20947929229697987,0.6762860847734713
COL9A1,0.14785577113928516,0.6034112755396112
CPN2,0.4442986803529113,0.7720982302143985
CRISPLD1,0.1394708831051028,0.6079405025764185
CRLF1,0.1622687242002458,0.5971569274640545
CSPG4,0.1474755859452591,0.5792279654851605
CST3,0.3145765783167112,0.5940057623168621
CTSB,0.30742132207462186,0.6813571968391725
CTSD,0.2544720580083344,0.5712551524619721
CTSG,0.425933494209348,0.7879992573498679
CTSZ,0.46592430966396026,0.6613819904444386
CXCL12,0.4224576906412469,0.6938210973764901
CXCL14,0.34682161747803447,0.7103785022481146
CYR61,0.14581394723557015,0.5879281974444595
DCN,0.3749954817454096,0.571068276381335
DPT,0.2733753571345877,0.6107012350836369
