protein_idx,mean_mse,Gene_Symbol
718,0.008877366005392864,SEMA3G
461,0.010752659249801328,LAMA3
108,0.011819036206387813,CCL14
614,0.012478071881209425,PDGFC
156,0.0127184972903599,COL4A5
692,0.01330864703758413,S100B
323,0.013805228874989006,FBN2
141,0.013952368984516727,COL16A1
762,0.014323772488543296,SFRP4
111,0.014394770790139308,CCL21
573,0.014748068082209291,NDNF
492,0.015055391120409998,LTBP2
252,0.015269444062284839,Cpn2
514,0.015284662305891058,Loxl2
821,0.015291380907871625,Serping1
661,0.015436354703251517,Plxnb1
565,0.015463356071254852,Mfap5
178,0.01550059040111613,CRELD1
635,0.015556620054505173,PRG2
875,0.01557712345030958,Tinagl1
805,0.01569294883548325,Serpina3k
624,0.01572065303601848,PLXDC2
666,0.015752503365644672,Postn
570,0.0157598043046712,Mmrn1
824,0.015911662489320622,Sfrp1
185,0.015973739523515534,CST12
811,0.01602094785367567,Serpinb6
687,0.016038141113375384,S100A7
69,0.016060247997285212,Anxa1
242,0.016101875074262483,Col5a2
199,0.016206421947660202,CTSL
105,0.01622978311664861,C1qtnf9
261,0.016297372986700018,Ctsa
902,0.0162974769080975,WNT4
839,0.016416184372757218,TGFB1
569,0.01649267227388453,Mmp2
578,0.016523835616961427,NID2;NID-2
165,0.016625141157751367,COL6A5
502,0.016637200032802692,Lamb2
325,0.016689032122485885,FCN1
554,0.016718869445911843,Masp2
861,0.01675096509247878,TNFSFM13;TNFSF13
109,0.01684689898370929,CCL16
693,0.017026400414901437,S100G
445,0.017079357880003237,Il16
695,0.01710889166239549,S100a1
206,0.01722204917436094,CXCL15
332,0.017493498056320302,FGF2
13,0.017515044520096505,ADAMTS16
203,0.01751504463961819,CXCL10
689,0.01751504463961819,S100A7L2
99,0.01751504463961819,C1QTNF8
148,0.01751504463961819,COL27A1
372,0.01751504463961819,GLDN
419,0.01751504463961819,IGFBP4
46,0.01751504463961819,ANXA8L2;ANXA8
427,0.01751504463961819,IL17D
785,0.017625833826899934,SULF2
764,0.017640911337529343,SFTPB
761,0.0176738444082685,SFRP2
63,0.0178941343754552,Agt
399,0.01792352394942204,HTRA4
342,0.017948181951340517,FRAS1
865,0.017963958654788312,TSKU
469,0.018003974453811508,LAMC2
172,0.018020878376308162,COL9A3
672,0.018081171703003652,REG3A
458,0.018194259039561816,Kng1
221,0.01820031327731429,Clec1a
125,0.018242233262672523,CLEC10A
304,0.018280453178491075,Eln
85,0.018297683569541614,BMPER
173,0.01832088918250356,COLEC12
466,0.01833701355765453,LAMB3
619,0.01847448089956073,PLAU
621,0.01847660160551307,PLOD1
765,0.01848839060330868,SFTPC
112,0.018687017651620622,CCL21C;CCL21B;CCL21A
266,0.01869948760195491,Ctsh
45,0.018715834680865066,ANXA8
47,0.01878107624322494,ANXA9
859,0.018795780281340945,TNFSF12
352,0.018833066065508528,Fbn1
425,0.018892416405433442,IL16
71,0.01889305746496076,Anxa2
550,0.01891747797054305,MST1;MST1L
886,0.01899660441445711,VWA3B
820,0.019034002910854653,Serpinf2
526,0.019035453868536476,MBL1
628,0.019048981480002825,PLXNB2;MKIAA0315
583,0.01908531298123869,NTN1
