S100,Crosslinker,Spearman_rho,P_value
S100A2,TGM5,1.0,0.0
S100A14,TGM5,1.0,0.0
S100A3,TGM5,1.0,0.0
S100A11,LOXL2,-0.7887649980021979,0.00010023405097035272
S100A12,TGM3,0.6911482839544804,0.0014910003524803703
S100A7A,TGM3,-0.6911482839544804,0.0014910003524803703
S100A8,TGM1,-0.6681595882055783,0.0024392356664714315
S100A10,LOXL2,-0.656384017118922,0.0030902789595383087
S100B,LOXL4,0.6413953251208546,0.0041187398497009465
S100A11,LOXL3,-0.628564507518729,0.005207102440705051
S100A8,TGM2,0.6129250232577926,0.006838731814823193
S100A7L2,LOXL4,-0.6116233559833635,0.006991301460396444
S100A7A,TGM1,0.6050536880293549,0.007803917288264372
S100A13,LOXL2,-0.5913336066473674,0.009747131910735073
S100A1,LOX,0.587865732112204,0.01029512543679142
S100A6,LOXL1,-0.5859641362360972,0.010605936329837154
S100A13,LOXL4,0.5809400399937964,0.011463400766032158
S100A4,TGM3,-0.5678882419624888,0.01395196121135881
S100A13,LOXL3,-0.566388957120603,0.014263348271556639
S100A11,LOXL4,0.5537635101850674,0.017110377082494424
S100A7L2,LOXL3,0.5455871787806285,0.019181681984524402
S100G,LOXL3,0.5455871787806285,0.019181681984524402
S100A1;S100A1,LOXL3,-0.5455871787806285,0.019181681984524402
S100P,LOXL1,0.5455871787806285,0.019181681984524402
S100A11,TGM2,0.54121816330207,0.0203666813605696
S100A7,LOXL1,0.5190793397491384,0.02728289325425566
S100A7A,TGM2,-0.5139940529625884,0.029102926012020157
S100A16,TGM1,0.508386040758277,0.03121776069042289
S100A9,TGM2,0.5083055924728388,0.03124893953608709
S100A14,TGM1,-0.5028842431250666,0.03340616071295336
S100A3,TGM1,-0.5028842431250666,0.03340616071295336
S100A1;S100A1,TGM1,-0.5028842431250666,0.03340616071295336
S100G,LOX,0.5028842431250666,0.03340616071295336
S100G,TGM1,0.5028842431250666,0.03340616071295336
S100A1;S100A1,LOX,-0.5028842431250666,0.03340616071295336
S100A2,TGM1,-0.5028842431250666,0.03340616071295336
S100A7,TGM3,0.49252325732398816,0.03784661413955277
S100A7,TGM5,0.467711978104925,0.05031477640503957
S100A9,TGM1,-0.4673723406810887,0.050504606434959874
S100A4,LOXL1,-0.45867727519118257,0.055551083421668306
S100A10,TGM2,0.4572502275916907,0.05641422867414958
S100B,TGM5,-0.45196500213054974,0.059698851969893454
S100A7L2,LOXL2,0.45196500213054974,0.059698851969893454
S100A10,LOXL3,-0.45174082424112916,0.059841264933135706
S100A2,LOX,0.44372139099270586,0.06510474057959188
S100A14,LOX,0.44372139099270586,0.06510474057959188
S100A3,LOX,0.44372139099270586,0.06510474057959188
S100P,TGM3,0.44372139099270586,0.06510474057959188
S100A6,LOXL2,-0.4363937454433634,0.07020834997361737
S100A1,TGM5,0.436232171512701,0.07032412098102094
S100A6,TGM3,-0.42569529766372316,0.07818317701986646
S100A4,TGM5,-0.4245138562335459,0.07910294991671082
S100A13,LOXL1,-0.42041242178024146,0.08235762631460096
S100A6,TGM1,0.4177135108325283,0.08455207657504268
S100B,TGM1,0.4174339079891425,0.0847818324181103
S100A3,LOXL1,0.4172137249498924,0.08496308197255692
S100A14,LOXL1,0.4172137249498924,0.08496308197255692
S100A2,LOXL1,0.4172137249498924,0.08496308197255692
S100A8,TGM3,0.41437365019616335,0.08732636434130374
S100A12,LOX,-0.40655781409087083,0.09407664511621897
S100A7L2,TGM2,-0.3973597071195132,0.10249476692360104
S100A3,TGM3,0.384558538860345,0.1150912978366362
S100A14,TGM3,0.384558538860345,0.1150912978366362
S100A7L2,LOX,-0.384558538860345,0.1150912978366362
S100A2,TGM3,0.384558538860345,0.1150912978366362
