S100_Protein,Importance
S100A9,0.2267529257300015
S100A10,0.16410803699705528
S100A1,0.15902878561884998
S100A11,0.10224427506151018
S100A8,0.0955264837593895
S100A7A,0.05083980721218773
S100A7L2,0.05011731613842944
S100A6,0.04577067374437022
S100A4,0.036729859917227325
S100B,0.028865300130424116
S100A13,0.017814496942781467
S100A16,0.01111756154141955
S100A3,0.005600750802372695
S100A2,0.0015200982344716145
S100A14,0.0013101137999211082
S100A5,0.001189265835859695
S100A12,0.0006809411010447782
S100A7,0.0005860618547375812
S100P,0.00019724557794617082
S100A1;S100A1,0.0
S100G,0.0
