latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8
-9.892694,4.240995,-6.8319025,-6.71225,-5.137378,-3.9709535,5.087803,9.771427
-9.971666,4.717424,-6.445897,-6.7974715,-4.7436585,-3.8861485,5.9079633,9.10154
-9.889632,4.3544025,-6.682041,-6.7083626,-5.864826,-4.565184,4.8529277,9.641443
-9.510967,4.442502,-7.644538,-7.2758055,-5.2276983,-2.5140748,4.715362,9.649644
-9.906948,4.726883,-7.295879,-6.976536,-6.4243145,-3.0820296,4.504569,9.078541
-9.922665,4.2786627,-6.8468313,-6.7090616,-5.9879827,-4.55331,4.6354446,9.663016
-9.562511,2.2921748,-4.1161838,-5.7996683,-6.373508,-3.6914887,5.7860374,11.007028
-9.678254,4.839452,-7.4597373,-7.2371016,-5.516885,-4.2692027,4.71286,9.344644
-9.259609,3.9043522,-6.4035797,-7.083869,-5.7722573,-3.1134512,5.1546707,10.14925
-9.8069725,4.5158587,-6.8287067,-6.9027967,-5.656152,-4.348387,4.986493,9.485778
-9.815816,4.3659377,-5.4889193,-6.7372894,-6.4662867,-4.6870127,5.7318707,9.040255
-10.091957,4.8447943,-6.1249247,-6.719105,-5.5320835,-6.278249,5.6195307,8.960792
-9.95065,4.543542,-6.4938703,-6.7378917,-5.893967,-4.6354775,5.1345806,9.305789
-9.662653,4.322029,-6.713294,-6.9535875,-5.67735,-4.3046913,4.99621,9.6867485
-10.753334,4.244802,-6.7017193,-5.82859,-4.6770496,-4.0181775,5.1909037,9.4576025
