,LOXL3,CAMK1,CAMK2G,CAMK2D,S100A9,S100A8,CAMK2A,CALM1,S100B,CALM2,LOXL4,TGM1,LOX,LOXL2,S100A10,CAMK2B,CALM3,TGM2,TGM3
GSM289084,,6.753066286,9.885829405,3.5575303559999996,3.162170403,4.743433435,6.536001912,12.529791774,13.04725166,13.42665,,2.835225365,2.9517359865,,5.244167841,11.92214572,,4.5580962435,
GSM289085,,6.891017859,9.836941818,3.516269331,3.056695371,4.624620785,6.626254918999999,12.488295947800001,13.15598127,13.6094089,,2.833555346,2.925985019,,5.22447098,11.973366330000001,,4.726937426,
GSM289086,,6.165827391,9.769930501,3.554339570333333,3.152301779,4.627895147,7.1775731415,12.438099103199999,13.13375832,13.60480682,,2.832450806,2.9510896134999998,,5.800894708,11.839683185,,4.753390143,
GSM289087,,6.888885552,9.631858791,3.5281859339999997,3.10489708,4.304878085,7.112769828,12.578156896,13.29460312,13.71298219,,2.851159312,2.9398431929999997,,6.025299611,11.84295817,,4.674354113,
GSM289088,,6.285261859,9.616698741,3.649572300333334,3.13538314,4.618965619,6.838772776000001,12.4948313122,13.16256748,13.72551496,,2.820072588,2.94632777,,5.841375621,11.870156909999999,,4.941492093000001,
GSM289089,,6.576769081,9.931741448,3.6607512730000002,3.143664076,4.641561106,7.534631242,12.522470396,13.00459797,13.48217709,,2.834777039,2.9448781385,,4.689099353,11.96925082,,4.541408924500001,
GSM289090,,6.647602741,10.02431897,3.464878748,3.141842461,4.645083902,6.646631459,12.5419663298,13.03645871,13.71888591,,2.830222598,2.9320528405,,4.91329046,11.956676765000001,,4.6154966385,
GSM289091,,6.269878694,9.728999505,3.550202500333333,3.11827638,4.605552978,7.684066233,12.5276806914,13.15078947,13.71873858,,2.830789233,2.9424574765,,5.636793329,11.963155315,,4.5308400735,
GSM289092,,6.565393513,10.02627584,3.543252166333333,3.135272815,4.543660542,7.475492001499999,12.518360777800002,13.12998847,13.59732183,,2.836002415,2.9273566145,,5.357486802,11.92801477,,4.4303729055,
GSM289093,,6.203140188,9.768824272,3.4802648106666667,3.269066375,4.802025031,7.117373821499999,12.4486499092,13.177284,13.58753989,,2.813498129,2.9732638015,,5.484229238,11.818062885,,4.5111323599999995,
GSM289094,,6.841754157,9.878480563,3.4807320080000004,3.102793932,4.584240605,7.2516957575,12.599185731999999,13.04870588,13.59040054,,2.814994965,2.978712288,,5.786100419,11.886336295,,4.883291967,
GSM289095,,6.354220546,10.04860282,3.5068210903333337,3.157116732,4.842593333,7.147296003499999,12.6008876066,13.15940079,13.62091578,,2.808794296,2.9210445755,,5.111673236,11.954134849999999,,4.502313813500001,
GSM289096,,6.209397532,9.961389381,3.5583063083333335,3.145052569,4.743721557,7.038694939000001,12.5637161414,12.95586873,13.49986401,,2.833520634,2.940812843,,5.322022772,12.03168853,,4.509219654,
GSM289097,,6.202272261,9.941275679,3.570146402,3.134139084,4.713578854,7.6264048525,12.601467981199999,12.84999075,13.44934356,,2.827365307,2.932744711,,5.212686448,11.988264274999999,,4.5154556095,
