,CALM1_imputed,CALM2_imputed,CAMK1_imputed,CAMK2A_imputed,CAMK2B_imputed,CAMK2D_imputed,CAMK2G_imputed
Brain_Cortex,13.203144642689706,12.096534651551172,7.161084940204419,9.731944484593704,13.08154787262079,3.9745992874693257,11.699766846544962
Brain_Hippocampus,13.18515562465817,12.272728190348515,7.227805267725074,9.676234753624174,12.965697548540358,3.954398937771205,11.36883869515568
Heart_Decellularized_Tissue,13.241067292924372,12.017665194730599,7.258083053157631,9.770673713336818,13.172035355651804,3.994401434379619,11.850726883844043
Heart_Native_Tissue,13.15472417339067,11.93465648954053,6.187966907307349,9.665315725873972,13.043625719012859,3.943119985767111,11.753051783257236
Intervertebral_disc_IAF,13.19756352661074,11.855250735496966,6.326523051845724,9.538541189021785,13.177179049282291,3.9561534274015147,11.969153085514797
Intervertebral_disc_NP,13.23712715118403,11.994680076532442,7.1974092112860495,9.791698437141195,13.172559589883203,3.9948299042090665,11.877031501934256
Intervertebral_disc_OAF,13.232938850106589,12.03643868834274,7.1730727874761975,9.828329775047283,13.130198148517676,3.9914431715735095,11.765030117150106
Kidney_Glomerular,13.209832347402406,12.028670869276274,6.960077656395567,9.791311803558425,13.096804229813316,3.9784319961063916,11.739981569108194
Kidney_Tubulointerstitial,13.182161878008346,11.960215274388888,6.536659222333337,9.702715958609636,13.085257914889253,3.960003253137359,11.78841360958942
Lung,13.226349034928184,12.045894216526804,7.122391725517067,9.785217635421878,13.120540113707872,3.985213733507512,11.745895013190976
Ovary,13.23687995631526,12.151270299529266,7.215226105352645,9.820880344159876,13.062265983951168,3.982795366233683,11.514653067485854
Ovary_Cortex,13.286934863987199,12.281492715976324,8.088516600463594,10.036000792980884,13.080935435388255,4.022267339942991,11.440583986560473
Skeletal_muscle_Gastrocnemius,13.243651807156226,12.067644492201001,7.272624369237159,9.782837710346946,13.13964902904678,3.991525388788592,11.73373533554681
Skeletal_muscle_Soleus,13.218265119190834,12.04913793176001,7.087304770099837,9.817279437578605,13.100577155542954,3.983964884103243,11.725689824580021
Skin dermis,13.172356138004572,12.291993039077903,7.7055859275366245,9.412292752457377,13.053365338817072,3.951962942566312,11.635704040531241
