source,query,title,authors,journal,year,doi,identifier,url,abstract,highlights
PubMed,CAMK2 fibrosis collagen,"Electrical, structural, and autonomic atrial remodeling underlies atrial fibrillation in inflammatory atrial cardiomyopathy.",,Frontiers in cardiovascular medicine,2022,10.3389/fcvm.2022.1075358,36741841,https://pubmed.ncbi.nlm.nih.gov/36741841/,"There is growing evidence indicating a close relationship between inflammation and atrial fibrillation (AF). Although underlying inflammatory atrial cardiomyopathy may contribute to the development of AF, the arrhythmogenic remodeling caused by atrial inflammation has not been elucidated in detail. Herein, we examined electrical, structural, and autonomic changes in the atria in a mouse model of autoimmune myocarditis. BALB/c mice were immunized with cardiac myosin peptide (MyHC-α<sub>614-629</sub>) conjugated with complete Freund's adjuvant on days 0 and 7. Susceptibility to AF was assessed using right-atrial burst pacing. The mice immunized with MyHC-α<sub>614-629</sub> showed an inflammatory atrial cardiomyopathy phenotype, with enlarged atria; a high degree of inflammatory cell infiltration primarily consisting of CD4<sup>+</sup> T cells, CD8<sup>+</sup> T cells, Ly6G<sup>low</sup>CD11b<sup>+</sup> macrophages, and CD11c<sup>+</sup> dendritic cells; and severe interstitial fibrosis with collagen deposition. These mice demonstrated significantly enhanced susceptibility to AF, as indicated by their increased AF induction rate and duration. In addition, the expression of potassium channels (<i>Kcnh2, Kcnd3</i>, and <i>Kcnj2</i>) and calcium handling-associated genes (<i>Cacna1c</i>, <i>Camk2</i>, <i>Ryr2</i>, and <i>Atp2a2</i>) was downregulated. Connexin 40 expression was significantly downregulated, leading to frequent lateralization to the inflamed atrium. Sympathetic and parasympathetic innervation and neurotrophin expression (nerve growth factor and brain-derived neurotrophic factor) were upregulated in the inflamed atria. Inflammatory atrial cardiomyopathy promotes susceptibility to AF via arrhythmogenic electrical, structural, and autonomic remodeling of the atria.","In addition, the expression of potassium channels (<i>Kcnh2, Kcnd3</i>, and <i>Kcnj2</i>) and calcium handling-associated genes (<i>Cacna1c</i>, <i>Camk2</i>, <i>Ryr2</i>, and <i>Atp2a2</i>) was downregulated."
PubMed,S100 calcium signaling aging,S100b treatment overcomes RAGE signaling deficits in myoblasts on advanced glycation end-product cross-linked collagen and promotes myogenic differentiation.,,American journal of physiology. Cell physiology,2024,10.1152/ajpcell.00502.2023,38314727,https://pubmed.ncbi.nlm.nih.gov/38314727/,"Advanced glycation end-products (AGEs) stochastically accrue in skeletal muscle and on collagen over an individual's lifespan, stiffening the muscle and modifying the stem cell (MuSC) microenvironment while promoting proinflammatory, antiregenerative signaling via the receptor for advanced glycation end-products (RAGEs). In the present study, a novel in vitro model was developed of this phenomenon by cross linking a 3-D collagen scaffold with AGEs and investigating how myoblasts responded to such an environment. Briefly, collagen scaffolds were incubated with d-ribose (0, 25, 40, 100, or 250 mM) for 5 days at 37°C. C2C12 immortalized mouse myoblasts were grown on the scaffolds for 6 days in growth conditions for proliferation, and 12 days for differentiation and fusion. Human primary myoblasts were also used to confirm the C2C12 data. AGEs aberrantly extended the DNA production stage of C2C12s (but not in human primary myoblasts) which is known to delay differentiation in myogenesis, and this effect was prevented by RAGE inhibition. Furthermore, the differentiation and fusion of myoblasts were disrupted by AGEs, which were associated with reductions in integrins and suppression of RAGE. The addition of S100b (RAGE agonist) recovered the differentiation and fusion of myoblasts, and the addition of RAGE inhibitors (FPS-ZM1 and Azeliragon) inhibited the differentiation and fusion of myoblasts. Our results provide novel insights into the role of the AGE-RAGE axis in skeletal muscle aging, and future work is warranted on the potential application of S100b as a proregenerative factor in aged skeletal muscle.<b>NEW & NOTEWORTHY</b> Collagen cross-linked by advanced glycation end-products (AGEs) induced myoblast proliferation but prevented differentiation, myotube formation, and RAGE upregulation. RAGE inhibition occluded AGE-induced myoblast proliferation, while the delivery of S100b, a RAGE ligand, recovered fusion deficits.","The addition of S100b (RAGE agonist) recovered the differentiation and fusion of myoblasts, and the addition of RAGE inhibitors (FPS-ZM1 and Azeliragon) inhibited the differentiation and fusion of myoblasts. ; Our results provide novel insights into the role of the AGE-RAGE axis in skeletal muscle aging, and future work is warranted on the potential application of S100b as a proregenerative factor in aged skeletal muscle.<b>NEW & NOTEWORTHY</b> Collagen cross-linked by advanced glycation end-products (AGEs) induced myoblast proliferation but prevented differentiation, myotube formation, and RAGE upregulation. ; RAGE inhibition occluded AGE-induced myoblast proliferation, while the delivery of S100b, a RAGE ligand, recovered fusion deficits."
PubMed,S100 calcium signaling aging,Deficiency of S100 calcium binding protein A9 attenuates vascular dysfunction in aged mice.,,Redox biology,2023,10.1016/j.redox.2023.102721,37163872,https://pubmed.ncbi.nlm.nih.gov/37163872/,"S100 calcium-binding protein A9 (S100A9) is a danger-associated molecular pattern molecule that mediates the inflammatory response. Inflammation is essential in aging-related cardiovascular diseases. However, less is known regarding the role of S100A9 in vascular aging. S100A9 null mice were used to investigate the role of S100A9 in aging-related pathologies. Artery rings were used to measure the functional characteristics of vascular with a pressurized myograph. Telomere length, Sirtuin activity, oxidative stress, and endothelial nitric oxide synthetase (eNOS) activity were used to elevate vascular senescence. Intraperitoneal glucose tolerance (IPGTT) and insulin sensitivity test (IST) were employed to investigate the effects of S100A9 on insulin resistance. Inflammation response was reflected by the concentration of inflammatory cytokines. The Toll-like receptor 4 (TLR4) and receptor for advanced glycation end products (RAGE) inhibitors were used to identify the downstream molecular mechanisms of S100A9 in aging-induced senescence in endothelial cells. S100A9 expression in vascular increased with aging in mice and humans. Deficiency of S100A9 alleviated vascular senescence in aged mice, as evidenced by increased telomere length, Sirtuin activity, and eNOS activity. Meanwhile, S100A9 knockout improved endothelium-dependent vasodilatation and endothelial continuity in aged mice. Moreover, the increased insulin resistance, oxidative stress, and inflammation were mitigated by S100A9 deletion in aged mice. In vitro, S100A9 induced senescence in endothelial cells, and that effect was blunted by TLR4 but not RAGE inhibitors. The present study suggested that S100A9 may contribute to aging-related pathologies and endothelial dysfunction via the TLR4 pathway. Therefore, targeting S100A9/TLR4 signaling pathway may represent a crucial therapeutic strategy to prevent age-related cardiovascular diseases.","S100 calcium-binding protein A9 (S100A9) is a danger-associated molecular pattern molecule that mediates the inflammatory response. ; However, less is known regarding the role of S100A9 in vascular aging. ; S100A9 null mice were used to investigate the role of S100A9 in aging-related pathologies."
PubMed,S100 calcium signaling aging,The Heart's Pacemaker Mimics Brain Cytoarchitecture and Function: Novel Interstitial Cells Expose Complexity of the SAN.,,JACC. Clinical electrophysiology,2022,10.1016/j.jacep.2022.07.003,36182566,https://pubmed.ncbi.nlm.nih.gov/36182566/,"The sinoatrial node (SAN) of the heart produces rhythmic action potentials, generated via calcium signaling within and among pacemaker cells. Our previous work has described the SAN as composed of a hyperpolarization-activated cyclic nucleotide-gated potassium channel 4 (HCN4)-expressing pacemaker cell meshwork, which merges with a network of connexin 43<sup>+</sup>/F-actin<sup>+</sup> cells. It is also known that sympathetic and parasympathetic innervation create an autonomic plexus in the SAN that modulates heart rate and rhythm. However, the anatomical details of the interaction of this plexus with the pacemaker cell meshwork have yet to be described. This study sought to describe the 3-dimensional cytoarchitecture of the mouse SAN, including autonomic innervation, peripheral glial cells, and pacemaker cells. The cytoarchitecture of SAN whole-mount preparations was examined by three-dimensional confocal laser-scanning microscopy of triple immunolabeled with combinations of antibodies for HCN4, S100 calcium-binding protein B (S100B), glial fibrillary acidic protein (GFAP), choline acetyltransferase, or vesicular acetylcholine transporter, and tyrosine hydroxylase, and transmission electron microscopy. The SAN exhibited heterogeneous autonomic innervation, which was accompanied by a web of peripheral glial cells and a novel S100B<sup>+</sup>/GFAP<sup>-</sup> interstitial cell population, with a unique morphology and a distinct distribution pattern, creating complex interactions with other cell types in the node, particularly with HCN4-expressing cells. Transmission electron microscopy identified a similar population of interstitial cells as telocytes, which appeared to secrete vesicles toward pacemaker cells. Application of S100B to SAN preparations desynchronized Ca<sup>2+</sup> signaling in HCN4-expressing cells and increased variability in SAN impulse rate and rhythm. The autonomic plexus, peripheral glial cell web, and a novel S100B<sup>+</sup>/GFAP<sup>-</sup> interstitial cell type embedded within the HCN4<sup>+</sup> cell meshwork increase the structural and functional complexity of the SAN and provide a new regulatory pathway of rhythmogenesis.","The cytoarchitecture of SAN whole-mount preparations was examined by three-dimensional confocal laser-scanning microscopy of triple immunolabeled with combinations of antibodies for HCN4, S100 calcium-binding protein B (S100B), glial fibrillary acidic protein (GFAP), choline acetyltransferase, or vesicular acetylcholine transporter, and tyrosine hydroxylase, and transmission electron microscopy. ; The SAN exhibited heterogeneous autonomic innervation, which was accompanied by a web of peripheral glial cells and a novel S100B<sup>+</sup>/GFAP<sup>-</sup> interstitial cell population, with a unique morphology and a distinct distribution pattern, creating complex interactions with other cell types in the node, particularly with HCN4-expressing cells. ; Application of S100B to SAN preparations desynchronized Ca<sup>2+</sup> signaling in HCN4-expressing cells and increased variability in SAN impulse rate and rhythm."
PubMed,S100 calcium signaling aging,Cigarette smoke induction of S100A9 contributes to chronic obstructive pulmonary disease.,,American journal of physiology. Lung cellular and molecular physiology,2020,10.1152/ajplung.00207.2020,32964723,https://pubmed.ncbi.nlm.nih.gov/32964723/,"S100 calcium-binding protein A9 (S100A9) is elevated in plasma and bronchoalveolar lavage fluid (BALF) of patients with chronic obstructive pulmonary disease (COPD), and aging enhances S100A9 expression in several tissues. Currently, the direct impact of S100A9-mediated signaling on lung function and within the aging lung is unknown. Here, we observed that elevated S100A9 levels in human BALF correlated with age. Elevated lung levels of S100A9 were higher in older mice compared with in young animals and coincided with pulmonary function changes. Both acute and chronic exposure to cigarette smoke enhanced S100A9 levels in age-matched mice. To examine the direct role of S100A9 on the development of COPD, <i>S100a9</i><sup>-/-</sup> mice or mice administered paquinimod were exposed to chronic cigarette smoke. S100A9 depletion and inhibition attenuated the loss of lung function, pressure-volume loops, airway inflammation, lung compliance, and forced expiratory volume in 0.05 s/forced vital capacity, compared with age-matched wild-type or vehicle-administered animals. Loss of <i>S100a9</i> signaling reduced cigarette smoke-induced airspace enlargement, alveolar remodeling, lung destruction, ERK and c-RAF phosphorylation, matrix metalloproteinase-3 (MMP-3), matrix metalloproteinase-9 (MMP-9), monocyte chemoattractant protein-1 (MCP-1), interleukin-6 (IL-6), and keratinocyte-derived chemokine (KC) release into the airways. Paquinimod administered to nonsmoked, aged animals reduced age-associated loss of lung function. Since fibroblasts play a major role in the production and maintenance of extracellular matrix in emphysema, primary lung fibroblasts were treated with the ERK inhibitor LY3214996 or the c-RAF inhibitor GW5074, resulting in less S100A9-induced MMP-3, MMP-9, MCP-1, IL-6, and IL-8. Silencing Toll-like receptor 4 (TLR4), receptor for advanced glycation endproducts (RAGE), or extracellular matrix metalloproteinase inducer (EMMPRIN) prevented S100A9-induced phosphorylation of ERK and c-RAF. Our data suggest that S100A9 signaling contributes to the progression of smoke-induced and age-related COPD.","S100 calcium-binding protein A9 (S100A9) is elevated in plasma and bronchoalveolar lavage fluid (BALF) of patients with chronic obstructive pulmonary disease (COPD), and aging enhances S100A9 expression in several tissues. ; Currently, the direct impact of S100A9-mediated signaling on lung function and within the aging lung is unknown. ; Here, we observed that elevated S100A9 levels in human BALF correlated with age."
PubMed,S100 calmodulin binding,CXCL4-Induced PBMCs Modulate Vascular Extracellular Matrix via Wnt5a-Dependent Matrix Metalloproteinase-7 and Calcifying Extracellular Vesicle Release.,,"Arteriosclerosis, thrombosis, and vascular biology",2025,10.1161/ATVBAHA.124.322067,40836918,https://pubmed.ncbi.nlm.nih.gov/40836918/,"The role of macrophage heterogeneity has become increasingly well-recognized in the study of vascular inflammatory responses. The CXCL4 (chemokine [C-X-C motif] ligand 4)-induced monocyte/macrophage phenotype has been implicated in atherosclerotic plaque destabilization, a key process preceding plaque rupture. Monocyte-derived macrophages differentiated with CXCL4 exhibit a unique transcriptome characterized by upregulation of S100A8 (S100 calcium-binding protein A8/calgranulin A) and MMP7 (matrix metalloproteinase-7). However, the mechanisms involved in CXCL4-induced monocyte-mediated vascular inflammation are unknown. Single-cell RNA sequencing data were examined for CXCL4-dependent transcriptional signatures in plaque macrophages. Human peripheral blood-derived monocytes (PBMCs) differentiated with CXCL4 were characterized in terms of osteogenic signatures and calcifying extracellular vesicle (EV) release. Association of the CXCL4-induced phenotype with the Wnt (wingless-type) pathway was investigated, and CXCL4-induced PBMC-derived EV were analyzed for their calcification potential in ECM (extracellular matrix) hydrogels and their ability to elicit an inflammatory response in vascular smooth muscle cells. In vitro findings were verified histologically in human carotid artery plaques. In human plaque macrophages, single-cell sequencing revealed a CXCL4-susceptible subpopulation bearing a distinct proinflammatory transcriptional signature. CXCL4-differentiated PBMCs exhibited a marked induction of S100A8, MMP7, and osteogenic marker transcription concomitant with augmented release of calcifying EV enriched with MMP7, S100A8, Anx5 (annexin 5), and ALP (alkaline phosphatase). Under osteogenic conditions, PBMCs and their secreted EV independently increased the calcification of the ECM in vitro. Analysis of inflammatory pathway activation identified the Wnt5a-CaMKII (wingless-type 5a-calcium/calmodulin-dependent protein kinase II) signaling axis to be linked to the CXCL4-induced osteogenic PBMC phenotype, EV calcification potential, and enrichment with MMP7 and S100A8. In addition, CXCL4-polarized PBMC-derived EV stimulated inflammatory gene expression in vascular smooth muscle cells. In human carotid artery plaques, CXCL4-induced macrophage abundance coincided with Wnt5a-CaMKII pathway activation and progressive plaque calcification. This study introduces a novel mechanism driving monocyte-mediated ECM remodeling in procalcific inflammatory responses through Wnt5a-CaMKII-activated secretion of MMP7<sup>+</sup>S100A8<sup>+</sup> calcifying EV by CXCL4-induced proinflammatory monocytes.","Monocyte-derived macrophages differentiated with CXCL4 exhibit a unique transcriptome characterized by upregulation of S100A8 (S100 calcium-binding protein A8/calgranulin A) and MMP7 (matrix metalloproteinase-7). ; CXCL4-differentiated PBMCs exhibited a marked induction of S100A8, MMP7, and osteogenic marker transcription concomitant with augmented release of calcifying EV enriched with MMP7, S100A8, Anx5 (annexin 5), and ALP (alkaline phosphatase). ; Analysis of inflammatory pathway activation identified the Wnt5a-CaMKII (wingless-type 5a-calcium/calmodulin-dependent protein kinase II) signaling axis to be linked to the CXCL4-induced osteogenic PBMC phenotype, EV calcification potential, and enrichment with MMP7 and S100A8."
PubMed,S100 calmodulin binding,VDAC1-NF-κB/p65-mediated S100A16 contributes to myocardial ischemia/reperfusion injury by regulating oxidative stress and inflammatory response via calmodulin/CaMKK2/AMPK pathway.,,European journal of pharmacology,2025,10.1016/j.ejphar.2024.177158,39613175,https://pubmed.ncbi.nlm.nih.gov/39613175/,"Myocardial injury triggers intense inflammatory reactions and oxidative stress responses. S100 calcium-binding protein A16 (S100A16), a multi-functional calcium (Ca<sup>2+</sup>)-binding protein, participates in inflammatory responses and contributes to ischemia/reperfusion (I/R) injury. Nevertheless, the precise mechanism by which S100A16 operates in myocardial I/R injury remains uncertain. Cardiac I/R injury was produced by ligation/release of the left anterior descending artery, and mouse cardiac cells were subjected to hypoxia/reoxygenation (H/R) to determine the biological effects in vitro. We demonstrated that S100A16 was upregulated in the ischemic hearts and cardiac cells after I/R and H/R injury. Adenovirus-mediated S100A16 inhibition led to a considerable improvement in cardiac function with a reduced infarct size, accompanied by a reduction in cardiomyocyte apoptosis. Similar effects of S100A16 inhibition on inflammation and reactive oxygen species (ROS) production were observed in cultured cardiomyocytes. Importantly, we showed that I/R and H/R treatment upregulated the expression of voltage-dependent anion channel 1 (VDAC1), which subsequently activated NF-κB/p65 to facilitate the binding of NF-κB/p65 to the S100A16 promoter, thereby activating the transcription and expression of S100A16. Mechanically, S100A16 responded to increasing Ca<sup>2+</sup> and interacted with calmodulin (CaM) to regulate the activation of calcium/calmodulin-dependent protein kinase 2 (CAMKK2)/AMPK pathway. In conclusion, VDAC1 sustained the NF-κB p65 pathway activation to elicit increased S100A16 expression, contributing to myocardial damage and heart failure post-I/R via the CaM/CaMKK2/AMPK pathway. This study revealed a crucial role of the VDAC1-S100A16 axis in the process of myocardial I/R injury, providing novel molecular targets for the treatment of cardiac conditions associated with I/R injury.","S100 calcium-binding protein A16 (S100A16), a multi-functional calcium (Ca<sup>2+</sup>)-binding protein, participates in inflammatory responses and contributes to ischemia/reperfusion (I/R) injury. ; Nevertheless, the precise mechanism by which S100A16 operates in myocardial I/R injury remains uncertain. ; We demonstrated that S100A16 was upregulated in the ischemic hearts and cardiac cells after I/R and H/R injury."
PubMed,S100 calmodulin binding,"Unveiling the intricate role of S100A1 in regulating RyR1 activity: A commentary on ""Structural insights into the regulation of RyR1 by S100A1"".",,Cell calcium,2024,10.1016/j.ceca.2024.102947,39226841,https://pubmed.ncbi.nlm.nih.gov/39226841/,"S100A1, a calcium-binding protein, plays a crucial role in regulating Ca<sup>2+</sup> signaling pathways in skeletal and cardiac myocytes via interactions with the ryanodine receptor (RyR) to affect Ca<sup>2+</sup> release and contractile performance. Biophysical studies strongly suggest that S100A1 interacts with RyRs but have been inconclusive about both the nature of this interaction and its competition with another important calcium-binding protein, calmodulin (CaM). Thus, high-resolution cryo-EM studies of RyRs in the presence of S100A1, with or without additional CaM, were needed. The elegant work by Weninger et al. demonstrates the interaction between S100A1 and RyR1 through various experiments and confirms that S100A1 activates RyR1 at sub-micromolar Ca<sup>2+</sup> concentrations, increasing the open probability of RyR1 channels.","S100A1, a calcium-binding protein, plays a crucial role in regulating Ca<sup>2+</sup> signaling pathways in skeletal and cardiac myocytes via interactions with the ryanodine receptor (RyR) to affect Ca<sup>2+</sup> release and contractile performance. ; Biophysical studies strongly suggest that S100A1 interacts with RyRs but have been inconclusive about both the nature of this interaction and its competition with another important calcium-binding protein, calmodulin (CaM). ; Thus, high-resolution cryo-EM studies of RyRs in the presence of S100A1, with or without additional CaM, were needed."
PubMed,S100 calmodulin binding,"ML218 modulates calcium binding protein, oxidative stress, and inflammation during ischemia-reperfusion brain injury in mice.",,European journal of pharmacology,2024,10.1016/j.ejphar.2024.176919,39179092,https://pubmed.ncbi.nlm.nih.gov/39179092/,"Cerebral ischemia disrupts calcium homeostasis in the brain causing excitotoxicity, oxidative stress, inflammation, and neuronal cell apoptosis. During ischemic conditions, T-type calcium channel channels contribute to increase in intracellular calcium ions in both neurons and glial cells therefore, the current study hypothesizes the antagonism of these channels using ML218, a novel specific T-Type inhibitor in experimental model of cerebral ischemia-reperfusion (CI/R) brain injury. CI/R injury was induced in Swiss Albino mice by occlusion of common carotid arteries followed by reperfusion. Animals were assessed for learning and memory (MWM), motor coordination (Rota rod), neurological function (neurological deficit score), cerebral infarction, edema, and histopathological alterations. Biochemical assessments were made for calcium binding proteins (Calmodulin- CaM, calcium/calmodulin-dependent protein kinase II-CaMKII, S100B), oxidative stress (4-hydroxy 2-nonenal-4-HNE, glutathione-GSH, inflammation (nuclear factor kappa-light-chain-enhancer of activated B-p65-NF-kB, tumor necrosis factor-TNF-α, interleukin-IL-10) inducible nitric oxide synthase (iNOS) levels, and acetylcholinesterase activity (AChE) in brain supernatants. Furthermore, serum levels of NF-kB, iNOS, and S100B were also assessed. CI/R animals showed impairment in learning, memory, motor coordination, and neurological function along with increase in cerebral infarction, edema, and histopathological alterations. Furthermore, increase in brain calcium binding proteins, oxidative stress, inflammation, and AChE activity along with serum NF-kB, iNOS, and S100B levels were recorded in CI/R animals. Administration of ML218 (5 mg/kg and 10 mg/kg; i.p.) was observed to recuperate CI/R induced impairments in behavioral, biochemical, and histopathological analysis. Hence, it may be concluded that ML218 mediates neuroprotection during CI/R via decreasing brain and serum calcium binding proteins, inflammation, iNOS, and oxidative stress markers.","Biochemical assessments were made for calcium binding proteins (Calmodulin- CaM, calcium/calmodulin-dependent protein kinase II-CaMKII, S100B), oxidative stress (4-hydroxy 2-nonenal-4-HNE, glutathione-GSH, inflammation (nuclear factor kappa-light-chain-enhancer of activated B-p65-NF-kB, tumor necrosis factor-TNF-α, interleukin-IL-10) inducible nitric oxide synthase (iNOS) levels, and acetylcholinesterase activity (AChE) in brain supernatants. ; Furthermore, serum levels of NF-kB, iNOS, and S100B were also assessed. ; Furthermore, increase in brain calcium binding proteins, oxidative stress, inflammation, and AChE activity along with serum NF-kB, iNOS, and S100B levels were recorded in CI/R animals."
PubMed,S100 calmodulin binding,Conjunctival leiomyosarcoma: A clinico-pathological study with in deep molecular characterization.,,"Pathology, research and practice",2024,10.1016/j.prp.2024.155182,38335782,https://pubmed.ncbi.nlm.nih.gov/38335782/,"Primary and metastatic leiomyosarcomas (LMS) involving the orbital region are well known to occur however, the conjunctiva represents an extremely rare site of occurrence. A 97-year-old male was referred to the Ocular Oncology Unit due to a rapidly growing painful mass (16×12×20 mm) in the nasal conjunctiva of his left eye. Wide excision followed by radiotherapy was performed. Based on the microscopic features (hypercellular neoplasm composed of spindle cells with cigar shaped and blunt ended nuclei with brightly eosinophilic fibrillary cytoplasm) and immunohistochemical findings (positive staining for Vimentin, Desmin, Caldesmon, and SMA and negative staining for AE1/AE3, EMA, CD117, S100, MelanA, SOX10, HMB45, TLE1, CD99, EMA and AE1 / AE3) the final diagnosis of grade 2 leyomiosarcoma was rendered. Moreover, 'in deep' DNA sequencing (>500 genes analysis) revealed a neoplasm with high TMB: 64 muts/Mb and numerous VUS and several pathogenic/oncogenic molecular alterations, including CNV loss or gain in > 10 genes. At the last follow-up visit, residual disease was observed in the superior fornix, at the nasal limbus and the cornea. At the time of writing, after a follow-up of 2 month the patients is still alive without evidence of metastatic disease. An uncommon molecular finding observed in our case was the presence of TSC1 gene mutation usually associated with soft tissue and gynecological PEComas. Our finding may harbor important therapeutic implications since the inactivation of the tumor suppressor genes TSC1 and TSC2 lead to upregulation of mTOR signaling, providing the rationale for target therapy with mTOR inhibitors. Additional studies on larger series are needed to validate our findings.","Based on the microscopic features (hypercellular neoplasm composed of spindle cells with cigar shaped and blunt ended nuclei with brightly eosinophilic fibrillary cytoplasm) and immunohistochemical findings (positive staining for Vimentin, Desmin, Caldesmon, and SMA and negative staining for AE1/AE3, EMA, CD117, S100, MelanA, SOX10, HMB45, TLE1, CD99, EMA and AE1 / AE3) the final diagnosis of grade 2 leyomiosarcoma was rendered."
