effect_type,S100,CALM,CAMK,Target,total_effect,direct_effect,indirect_effect,mediated_pct,p_value
S100→CALM→Target,S100A8,CALM1,,LOX,-0.044645605469729954,-0.11193247516263159,0.06728686969290085,-150.71330982065376,0.3168
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,LOX,-0.044645605469729954,-0.46409717022107655,-0.013848504436589373,31.01874034607675,0.4828
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,LOX,-0.044645605469729954,-0.09859710176036295,-0.10110625797864721,226.46407617250927,0.3146
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,LOX,-0.044645605469729954,0.06917530653949087,0.15028565194258092,-336.6191372283565,0.1164
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,LOX,-0.044645605469729954,-0.12309215998277084,0.055185636194145425,-123.60821544140931,0.6612
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,LOX,-0.044645605469729954,0.05354945298161235,0.06346932482418774,-142.16253572195455,0.168
S100→CALM→Target,S100A8,CALM1,,LOXL2,-0.05523371319765397,-0.1532485978679456,0.09801488467029018,-177.45481698748677,0.254
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,LOXL2,-0.05523371319765397,-0.3470942035680364,-0.007622773572193405,13.800943537718153,0.7618
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,LOXL2,-0.05523371319765397,-0.1432201689102142,-0.07603363585968055,137.65801981770446,0.326
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,LOXL2,-0.05523371319765397,0.1541103055458654,0.25505051602848944,-461.7660143829015,0.0646
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,LOXL2,-0.05523371319765397,-0.2372873585200774,0.415579162521852,-500.0,0.3612
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,LOXL2,-0.05523371319765397,0.16789048552655048,0.12317043332937612,-222.9986473815556,0.121
S100→CALM→Target,S100A8,CALM1,,LOXL3,-0.028101220712115658,-0.08526695310128407,0.057165732389167896,-203.42793281048205,0.0494
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,LOXL3,-0.028101220712115658,-0.14670633968291835,-0.0024160389431310933,8.597629860575537,0.6976
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,LOXL3,-0.028101220712115658,-0.08260503760458474,-0.0201821356484023,71.81942683258919,0.6146
