method,Tissue,pseudo_time_score,normalized_pseudo_time,rank,fallback_used
diffusion,Intervertebral_disc_OAF,-17.496566552110444,0.0,1,False
diffusion,Intervertebral_disc_IAF,-3.224331463060397,0.0625,2,False
diffusion,Intervertebral_disc_NP,-3.0311110698855597,0.125,3,False
diffusion,Ovary_Cortex,0.7337870027336397,0.1875,4,False
diffusion,Ovary,0.7842602590665654,0.25,5,False
diffusion,Kidney_Tubulointerstitial,0.8215048044798734,0.3125,6,False
diffusion,Brain_Cortex,0.9602768894130125,0.375,7,False
diffusion,Heart_Decellularized_Tissue,0.9949682576592086,0.4375,8,False
diffusion,Skeletal_muscle_EDL,1.2060873874662636,0.5,9,False
diffusion,Kidney_Glomerular,1.2657497594547444,0.5625,10,False
diffusion,Brain_Hippocampus,1.3166628768293225,0.625,11,False
diffusion,Skeletal_muscle_TA,1.484394185777601,0.6875,12,False
diffusion,Skeletal_muscle_Gastrocnemius,1.5841315667673221,0.75,13,False
diffusion,Skeletal_muscle_Soleus,1.6752430492960808,0.8125,14,False
diffusion,Lung,1.7682099041322572,0.875,15,False
diffusion,Skin dermis,2.069218674015242,0.9375,16,False
diffusion,Heart_Native_Tissue,6.840753119445524,1.0,17,False
pca,Skeletal_muscle_Gastrocnemius,-6.266511489788244,0.0,1,False
pca,Skeletal_muscle_TA,-6.2038714961836305,0.0625,2,False
pca,Skeletal_muscle_EDL,-6.177445900115631,0.125,3,False
pca,Skeletal_muscle_Soleus,-5.807977411675611,0.1875,4,False
pca,Brain_Hippocampus,-3.3527934036660976,0.25,5,False
pca,Heart_Decellularized_Tissue,-3.323635532905406,0.3125,6,False
pca,Brain_Cortex,-3.0730255183790067,0.375,7,False
pca,Skin dermis,-2.5874662623965077,0.4375,8,False
pca,Ovary_Cortex,-0.8579054611951111,0.5,9,False
pca,Ovary,0.05427730893201392,0.5625,10,False
pca,Kidney_Tubulointerstitial,0.1415340864315596,0.625,11,False
pca,Lung,0.3979366359114226,0.6875,12,False
pca,Kidney_Glomerular,2.156344420686289,0.75,13,False
pca,Heart_Native_Tissue,3.242931805698433,0.8125,14,False
pca,Intervertebral_disc_OAF,8.168673397687495,0.875,15,False
pca,Intervertebral_disc_NP,11.473048103990097,0.9375,16,False
pca,Intervertebral_disc_IAF,12.01588671696793,1.0,17,False
slingshot,Intervertebral_disc_OAF,0.0,0.0,1,True
slingshot,Intervertebral_disc_NP,6.826703629978641,0.0625,2,True
slingshot,Intervertebral_disc_IAF,7.23764412398003,0.125,3,True
slingshot,Ovary_Cortex,33.517596039701004,0.1875,4,True
slingshot,Kidney_Tubulointerstitial,35.71452744348431,0.25,5,True
slingshot,Skeletal_muscle_TA,37.07631920986251,0.3125,6,True
slingshot,Kidney_Glomerular,37.65773433843162,0.375,7,True
slingshot,Skeletal_muscle_EDL,38.72852291741076,0.4375,8,True
slingshot,Skeletal_muscle_Gastrocnemius,39.48953004150747,0.5,9,True
slingshot,Ovary,40.07877873533771,0.5625,10,True
slingshot,Skeletal_muscle_Soleus,40.97330844885876,0.625,11,True
slingshot,Heart_Decellularized_Tissue,44.46332136282749,0.6875,12,True
slingshot,Skin dermis,44.98382221787688,0.75,13,True
slingshot,Lung,51.62965619697239,0.8125,14,True
slingshot,Brain_Cortex,69.6474698567556,0.875,15,True
slingshot,Brain_Hippocampus,79.46025031634703,0.9375,16,True
slingshot,Heart_Native_Tissue,82.23154953343649,1.0,17,True
velocity,Kidney_Tubulointerstitial,1.0186552936067486,0.0,1,False
velocity,Heart_Decellularized_Tissue,1.186435355652691,0.0625,2,False
velocity,Brain_Hippocampus,1.2435209927769084,0.125,3,False
velocity,Intervertebral_disc_NP,1.3483618382854905,0.1875,4,False
velocity,Ovary,1.4459533416596355,0.25,5,False
velocity,Ovary_Cortex,1.4459533416596355,0.3125,6,False
velocity,Intervertebral_disc_IAF,1.525625717205399,0.375,7,False
velocity,Heart_Native_Tissue,1.6346478411541696,0.4375,8,False
velocity,Skeletal_muscle_Soleus,1.6514273463924554,0.5,9,False
velocity,Intervertebral_disc_OAF,1.6733080492072432,0.5625,10,False
velocity,Kidney_Glomerular,1.8016542607808284,0.625,11,False
velocity,Skeletal_muscle_Gastrocnemius,1.898364551698276,0.6875,12,False
velocity,Skeletal_muscle_TA,1.9552397727644704,0.75,13,False
velocity,Brain_Cortex,1.988000393684284,0.8125,14,False
velocity,Skin dermis,2.0911292481653034,0.875,15,False
velocity,Skeletal_muscle_EDL,2.1738021055823498,0.9375,16,False
velocity,Lung,4.285588788401428,1.0,17,False
