Protein,Importance
Ctss,0.03784711714479771
ANXA4,0.027100343483792914
S100A9,0.02127659574468085
Ctsl,0.01843971631205674
Serpina1e,0.015957446808510634
F13b,0.01595744680851063
Col3a1,0.01595744680851063
COL16A1,0.01514893617021276
Emilin1,0.015088336554257937
Col4a1,0.014760638297872343
Adam9,0.01376320621344643
SERPINF1,0.01373451889488727
Fgb,0.013002364066193855
Gpc4,0.012715298885511648
SERPINA1,0.011718575495567207
Anxa5,0.011337088026700038
S100A8,0.011190285026093932
Serpina1b,0.010755308322566954
ANXA11,0.010638297872340432
FBLN5,0.010638297872340425
Serpinb6a,0.010638297872340425
Mmp17,0.010638297872340425
Spock1,0.010638297872340425
SERPINC1,0.010638297872340425
Col14a1,0.010638297872340425
ZP4,0.010638297872340425
Mmrn2,0.010638297872340425
Adam11,0.010638297872340425
Parm1,0.010638297872340425
Cstb,0.010638297872340425
Sema4f,0.01063829787234042
Serpina6,0.01063829787234042
Smoc2,0.01063829787234042
FLG,0.010638297872340415
Mfge8,0.010638297872340413
Sparcl1,0.009928114092087442
Tnc,0.009448161507768548
S100A16,0.009376126938333935
Gpc1,0.009219858156028366
S100a9,0.009219858156028361
FGB,0.009096171731167078
Angptl7,0.00904367390726348
Fn1,0.008968199496682677
Itih1,0.008938951467111666
COL5A1,0.008435540359085815
Lama5,0.008296042222589558
Anxa1,0.008213391739674593
Tinagl1,0.00813051053270683
Col4a2,0.008120567375886524
COL3A1,0.008113956004327448
Anxa6,0.007992362247681392
Serpinh1,0.007978723404255319
MATN2,0.00790583769307173
Cbln1,0.00754207684979358
ANXA6,0.007396149949341438
COL11A2,0.007116996478698603
F2,0.007069754915162939
MASP2,0.006820441439650029
Fgf1,0.006581319870176705
COL6A1,0.006581319870176705
COL14A1,0.006581319870176705
Cst3,0.0065813198701767045
Ogfod1,0.0065813198701767045
Tnr,0.0065813198701767045
DCN,0.0065813198701767045
Sema4d,0.006127659574468088
Fbn2,0.00610027885734361
Lama4,0.005991463688585092
Ngly1,0.0058711360899237255
SERPINB1,0.005871136089923724
Acan,0.005871136089923722
Serpine2,0.005871136089923721
S100A13,0.005319148936170215
Mstn,0.005319148936170214
Plxnb1,0.005319148936170214
Lman1,0.005319148936170213
Kera,0.00531914893617021
CSTB,0.00531914893617021
A2M,0.005319148936170208
COL12A1,0.005319148936170208
KNG1,0.005106382978723405
ADAMTSL4,0.005077369439071564
COL5A2,0.004767161782416705
Adam22,0.004767161782416703
AGRN,0.004767161782416703
S100A10,0.004767161782416702
LMAN1,0.0047671617824167
S100A7,0.0047671617824167
Col12a1,0.004755649352513854
Nid2,0.004613067218979477
Anxa2,0.004559613344788365
F12,0.004559613344788355
