Protein,Phase_I,Phase_II,Delta_Phase_II_vs_I,Upregulated_Phase_II,Upregulated_Phase_I
1810010H24Rik,,1.0570918300333907,,False,False
A2M,0.6465248324259854,0.5695427542948006,-0.07698207813118474,False,True
A2m,0.7801521309574422,0.5049995667767594,-0.2751525641806828,False,True
ABI3BP,-0.1623987702716318,-0.5178984701267044,-0.3554996998550726,False,True
ACAN,,-0.2731350581547662,,False,False
ADAM17,,-2.192526798443353,,False,False
ADAMTS2,,-0.1175834778104222,,False,False
ADAMTSL2,,-0.1098854176526398,,False,False
ADIPOQ,,0.035088766277072,,False,False
AEBP1,-0.7989389388037133,-0.1131137643648668,0.6858251744388465,True,False
AGRN,-3.91066515747497,-0.5360866740852753,3.3745784833896946,True,False
AGT,-2.9335641011337934,0.0135175405180935,2.947081641651887,True,False
AMBP,-0.4812162765490885,1.053743202766284,1.5349594793153725,True,False
ANGPTL2,,0.2096693484952126,,False,False
ANGPTL3,,-0.1158404085474936,,False,False
ANGPTL4,,0.3876012242905445,,False,False
ANGPTL5,,-0.0186025262546253,,False,False
ANGPTL7,,-0.2540647735359913,,False,False
ANXA1,-0.0544618435842869,-0.5014434203613034,-0.4469815767770165,False,True
ANXA11,0.203810162101805,-0.1111466145254754,-0.3149567766272804,False,True
ANXA2,-0.098115664770601,-0.5274843595658373,-0.42936869479523626,False,True
ANXA3,,1.9920988580493133,,False,False
ANXA4,1.3198777097724466,-0.5390651610396782,-1.8589428708121247,False,True
ANXA5,1.3713612027354216,-0.3031658214287127,-1.6745270241641343,False,True
ANXA6,1.253466524656303,-0.4730704567503946,-1.7265369814066975,False,True
ANXA7,0.1659057258853618,-0.2982023375093597,-0.4641080633947215,False,True
ASPN,,-0.6306962696874884,,False,False
Abi3bp,,-0.3372500031056432,,False,False
Acan,0.5348342515358782,,,False,False
Adam10,0.1092063008557944,0.1567584005867132,0.0475520997309188,True,False
Adam11,-0.2364947512212827,,,False,False
Adam17,,0.0474367445845224,,False,False
Adam22,-0.5361679016415589,,,False,False
Adam23,-0.0648327612785866,,,False,False
Adam9,-0.3865282281436358,,,False,False
Adamtsl1,,0.063216570311938,,False,False
Adamtsl3,,0.4094482228814463,,False,False
Adamtsl4,,-5.624072040463722,,False,False
Adamtsl5,,0.0564390912681974,,False,False
Adipoq,-0.3693576596233578,-0.2976769874384088,0.071680672184949,True,False
Aebp1,-0.5843214279810888,0.1341585736843435,0.7184800016654322,True,False
Agrn,0.2257190303824124,-2.696820153894304,-2.9225391842767166,False,True
Agt,-0.4855916732384283,,,False,False
Ambp,0.2159848446895809,1.0323700116149983,0.8163851669254174,True,False
Angpt1,,0.4638802086602245,,False,False
Angpt2,,0.5291603673993851,,False,False
Angptl2,,0.7001788924378581,,False,False
Angptl7,2.1610780492843524,,,False,False
Anxa1,0.0328807908941625,0.0521251524718951,0.0192443615777326,True,False
Anxa11,-0.3932636397765737,0.1123090566457496,0.5055726964223233,True,False
Anxa2,-0.40165167995446216,0.0585720562374374,0.46022373619189955,True,False
Anxa3,0.0720450375033354,0.0788317942410828,0.00678675673774741,True,False
Anxa4,0.8546521382106097,0.0111297029312767,-0.843522435279333,False,True
Anxa5,0.31587425445424966,0.0418183365369333,-0.27405591791731637,False,True
Anxa6,-0.5682507126232108,-0.031657162847171655,0.5365935497760391,True,False
Anxa7,-0.5392037906359065,0.0105042160978537,0.5497080067337602,True,False
Anxa8,,-0.0623403097262137,,False,False
Anxa9,,-0.0551622996400213,,False,False
Aspn,2.604202857141108,-0.0987241655519899,-2.702927022693098,False,True
BC048546,-0.4612437598378333,,,False,False
BCAN,,-0.2010937477260973,,False,False
BGN,-0.4857961386878002,-0.3585910613591652,0.127205077328635,True,False
BMP1,,-0.5019391738490555,,False,False
BMP3,,-0.1696935150175916,,False,False
BMP6,,-0.1196269736869271,,False,False
Bcan,-0.5114037347206094,,,False,False
Bdnf,-0.9203196369119008,,,False,False
